"hfpxzc href","qBF1Pd","MW4etd","UY7F9","AJB7ye","AJB7ye 2","W4Efsd","W4Efsd 2","doJOZc","W4Efsd 3","W4Efsd 4","W4Efsd 5","FQ2IWe src","Jn12ke src","ah5Ghc","A1zNzb href","J8zHNe","bbPy1","W4Efsd 6","ah5Ghc 2"
"https://www.google.com/maps/place/Inangba+Coffee+Shop/data=!4m7!3m6!1s0x2e68e65eb16982bb:0xbf5edd95f5b49264!8m2!3d-6.8914343!4d107.6030908!16s%2Fg%2F11cjhz9wb9!19sChIJu4JpsV7maC4RZJK09ZXdXr8?authuser=0&hl=id&rclk=1","Inangba Coffee Shop","4,5","(150)","·","Rp 25–50 rb","Kedai Kopi","·","","·","Jl. Bapa Husen No.6C","Tutup","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFEqwRTiYYuQ3W_ynPI6KTQSY94Gmi77KoESB8UgCCmFHUwcBK0YOljLZn3ZopAcH7Gsm7dnCC7LiO8pgkUxrE9JDx9m_94TMCJRc-wi9m8qNW_Bl_3K-hjXfDbbhDXHxb62nmS-Q=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Nyaman banget buat makan bareng teman atau keluarga""","","","","· Buka Sel pukul 08.00",""
"https://www.google.com/maps/place/Kedai+Kopi+ERKY+-+Pitkitdro+%7C+Coffee+%26+Daily+Fuel/data=!4m7!3m6!1s0x2e68e7c1c66f3ef1:0x33c56fe3b8b1d61c!8m2!3d-6.8984158!4d107.6412619!16s%2Fg%2F11nwv3sng6!19sChIJ8T5vxsHnaC4RHNaxuONvxTM?authuser=0&hl=id&rclk=1","Kedai Kopi ERKY - Pitkitdro | Coffee & Daily Fuel","5,0","(117)","·","Rp 25–50 rb","Kedai Kopi","·","","Jl. Pikitdro I No.16","","Segera tutup","https://lh3.googleusercontent.com/gps-cs-s/APNQkAHFHp0zNEek5X_gYICMXRlAh_ProUQKkRmnUhTxk0odxpyGivNaJdYAm610wpLQ90t-gcJNfV9z4hBLEdLW_L99ayaDA0wMaFGRlsb6tCSxFn9DSCwwzpRrYR37eFsZjI843BDrJ_GMT95u=w80-h106-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Kopinya cocok banget untuk orang yg punya lambung sensitif.""","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTFud3Yzc25nNhgAOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=lqb4aan_Au-MnesPz7W6kQw&ei=lqb4aan_Au-MnesPz7W6kQw&fo_s=OA&opi=79508299&ebb=1&cs=0&foub=mcpp","Pesan online","","· 22.00 · Buka Sel pukul 09.00",""
"https://www.google.com/maps/place/Kedai+Azky+Barokah/data=!4m7!3m6!1s0x2e68e7c5ddf29df9:0x2f9d276453e846b0!8m2!3d-6.8581393!4d107.5913894!16s%2Fg%2F11h_bqpvlc!19sChIJ-Z3y3cXnaC4RsEboU2QnnS8?authuser=0&hl=id&rclk=1","Kedai Azky Barokah","4,9","(8)","","","Toko Makanan","·","","Jl. Cilimus, RT.07/RW.06","","Segera tutup","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFM46fMbWRAuTvj3duTX8Nm3kYMSuGG_miPo13flCYN3uuBhbPlFpYPEwxfAkV1mtbDpm9Rz_6WbChZH5-qXpDcgr70cZyP46eu9nnPbXcb-ARd507dLwk5aROVdzRiqNMW9G8=w163-h92-k-no","","Pesan antar","","","","· 22.00 · Buka Sel pukul 12.00",""
"https://www.google.com/maps/place/Kedai+Makan+Tiga+Paman/data=!4m7!3m6!1s0x2e68e7313a3284d9:0x729ee3fea8bb3e71!8m2!3d-6.9049147!4d107.6180872!16s%2Fg%2F11vzf6ls02!19sChIJ2YQyOjHnaC4RcT67qP7jnnI?authuser=0&hl=id&rclk=1","Kedai Makan Tiga Paman","4,9","(2.542)","","","China","·","","·","Jl. Progo No.12","Segera tutup","https://lh3.googleusercontent.com/gps-cs-s/APNQkAHr6w_5kZ7r40IiNHIyzr8Vru1xsZNMO-wc16uS5WW6zQoozxDrB1aZgSFS3nG9D4tSXnFCwwUrVIW7pzy6sy7v3HUkg_LfO1lCGV1JRtBH6OmYTuos9-cloORX-NNNg6Mz1-FMNw40WnYE=w80-h97-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Makanan enak, tempatnya bersih, ambience nyaman, dan pelayanan gercep 👍🏻""","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTF2emY2bHMwMhgBOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=lqb4aan_Au-MnesPz7W6kQw&ei=lqb4aan_Au-MnesPz7W6kQw&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online","","· 22.00 · Buka Sel pukul 07.00",""
"https://www.google.com/maps/place/Kedai+H2W/data=!4m7!3m6!1s0x2e68e70003cb5df7:0x1aa44acd8bbbd470!8m2!3d-6.8545606!4d107.5918358!16s%2Fg%2F11wjddv0jn!19sChIJ913LAwDnaC4RcNS7i81KpBo?authuser=0&hl=id&rclk=1","Kedai H2W","3,3","(22)","·","Rp 1–25.000","Masakan Asia","·","","Jl. Terusan Sersan Bajuri No.43","","Buka 24 jam","https://lh3.googleusercontent.com/gps-cs-s/APNQkAEDHXTjUgWq-zQf_mC0DESCC8odMkh2Op1WEh2dQprU55p-lUE2fM3I5RPMVPNO3RhSpKTJhziHKXbcUfelUL0vkOHM7ssAewiLwPXf8CAHJ4cH6KM4wk3hD4mhDvGciDUiojrhMjwCRGep=w163-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Mantap, makanan nya enak tapi murah juga""","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTF3amRkdjBqbhgBOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=lqb4aan_Au-MnesPz7W6kQw&ei=lqb4aan_Au-MnesPz7W6kQw&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online","","",""
"https://www.google.com/maps/place/Warung+Kopi+Idola+Libas+G/data=!4m7!3m6!1s0x2e68e7afd3602e7b:0x43539f2d81d7d2ef!8m2!3d-6.896219!4d107.6304888!16s%2Fg%2F11b6jb3f2z!19sChIJey5g06_naC4R79LXgS2fU0M?authuser=0&hl=id&rclk=1","Warung Kopi Idola Libas G","4,6","(312)","·","Rp 1–25.000","Kedai Kopi","·","","·","Jl. Rereng Suliga No.25","Buka 24 jam","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFGkPHBNhIorJKULf0VFJjHTANvJ8nIbhMCZ1XTKJ1GcbXtN9kTTNdz9r4H-yNxt6DJLHwa4r3wAVraBqXUKq4QujBJ_RDY1Wk0MYd4P_FfY02Xte0DOzYX3cg_qDsh1abWPyhVPQ=w80-h106-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""makanannya murah meriah, namun rasa gak murahan""","","","","",""
"https://www.google.com/maps/place/Kedai+Kopi+Boscha/data=!4m7!3m6!1s0x2e68e65f041c2109:0x99eeff1947af5fa9!8m2!3d-6.8895053!4d107.6011849!16s%2Fg%2F11c2ksv26t!19sChIJCSEcBF_maC4RqV-vRxn_7pk?authuser=0&hl=id&rclk=1","Kedai Kopi Boscha","4,7","(190)","·","Rp 25–50 rb","Kedai Kopi","·","","Jl. Boscha No.6","","Buka","https://lh3.googleusercontent.com/gps-cs-s/APNQkAHnpBcG0Xy7H_YtwJWaY-YMXNJyRDUj7HEuE82ixd9AywIz1kkTFAczgS2xWyncrK8ir-6Xh6mXRXmWnADHXQBs93Xeg9_r97g1YonaoTuKpetuElAxanbSQ1D4L8rvmx8jRXsB=w163-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Tempatnya strategis, dekat dengan jalan Cipaganti dan jalan Sederhana.""","","","","· Tutup pukul 23.00",""
"https://www.google.com/maps/place/Kedai+roti+ibu+saya/data=!4m7!3m6!1s0x2e68e7dbe7be4003:0x50cbd45a746b54f0!8m2!3d-6.8977466!4d107.6099555!16s%2Fg%2F11l6zhb7f6!19sChIJA0C-59vnaC4R8FRrdFrUy1A?authuser=0&hl=id&rclk=1","Kedai roti ibu saya","3,5","(1.099)","·","Rp 1–25.000","Restoran","·","","Jl. Tamansari No.66","","Segera tutup","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFRPbiGBz4z3fE2bPRdQLqPIAQqzrrxsF9sUsyS-UTSqcm29tqgxpJsHZhTWWp16ZdKN_g827Svmcqu8iCKFw2R0BrH3jeVsAFV_qULAYlVKaEpaWSz4oWO7ZCrjnWh1_5tbw=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Makanan enak, murah bgt terjangkau, mushola bersih, parkir luas.""","","","","· 21.30 · Buka Sel pukul 08.00",""
"https://www.google.com/maps/place/STAYSLOW/data=!4m7!3m6!1s0x2e68e7e89765807f:0xa43f02195b97541d!8m2!3d-6.876107!4d107.5786338!16s%2Fg%2F11q95n5sfk!19sChIJf4Bll-jnaC4RHVSXWxkCP6Q?authuser=0&hl=id&rclk=1","STAYSLOW","4,9","(33)","·","Rp 1–25.000","Kedai Kopi","·","","Jl. Sariasih No.18 blok 3","","Buka","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFh1LXh32WSLYt-Q7LaIpMHU_dF_A1o9BvAu9i1Dh9zg4Hl6xxqpSAvL0QfLmXaz2unPEwBv7vfmQrSqtyBxZXyw2ShHTYYR05l1PClcNpNd3szmMdBMrBFOWSVquiq-CZs0pZRXg=w80-h106-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""tempat nya enak
skena abies
pelayanan good ramah baik""","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTFxOTVuNXNmaxgBOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=lqb4aan_Au-MnesPz7W6kQw&ei=lqb4aan_Au-MnesPz7W6kQw&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online","","· Tutup pukul 23.00",""
"https://www.google.com/maps/place/KEDAI+MAK-NYAK/data=!4m7!3m6!1s0x2e68e7319edd5fdb:0x141d5685e3fc2330!8m2!3d-6.8894736!4d107.6017392!16s%2Fg%2F11g_rlsf61!19sChIJ21_dnjHnaC4RMCP844VWHRQ?authuser=0&hl=id&rclk=1","KEDAI MAK-NYAK","3,7","(108)","·","Rp 25–50 rb","Restoran","·","","·","Jl. Boscha V No.73","Buka 24 jam","https://lh3.googleusercontent.com/gps-cs-s/APNQkAE9A8ysn9K2DR7le09kTgy5rj3PzAVECkjcfN8s0_-eVFhC68Ly0RR2Xv4kWgvRdH2ytBR0Tf1McYClMjkIdry1fWRvFjO2pKB24U68K_v9A_3LXIbSd2_6VNsk1WHixvpe8_GlBQ=w95-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Murah dan bersih""","","","","",""
