"hfpxzc href","qBF1Pd","MW4etd","UY7F9","W4Efsd","W4Efsd 2","W4Efsd 3","W4Efsd 4","W4Efsd 5","W4Efsd 6","UsdlK","Cw1rxd","R8c4Qb","Jn12ke src","ah5Ghc"
"https://www.google.com/maps/place/Fa+Digital+Photocopy+%26+Printing/data=!4m7!3m6!1s0x2e68e6bc46d96495:0x80ae5f3494b5e894!8m2!3d-6.8637231!4d107.590292!16s%2Fg%2F11bbwzb70c!19sChIJlWTZRrzmaC4RlOi1lDRfroA?authuser=0&hl=id&rclk=1","Fa Digital Photocopy & Printing","5,0","(4)","Toko Fotokopi","·","Jl. Gegerkalong Girang No.30","Tutup","· Buka Sel pukul 08.00","·","0813-9499-7669","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Terlihat penuh warna dan lengkap."""
"https://www.google.com/maps/place/Raja+Photocopy/data=!4m7!3m6!1s0x2e68e6be8964e6c9:0xabd0e5b0af482b22!8m2!3d-6.8648342!4d107.5938255!16s%2Fg%2F11b6hhk991!19sChIJyeZkib7maC4RIitIr7Dl0Ks?authuser=0&hl=id&rclk=1","Raja Photocopy","5,0","(1)","Toko Fotokopi","·","Jl. Gegerkalong Girang No.4","Segera tutup","· 21.00 · Buka Sel pukul 07.00","·","(022) 92039086","","Rute","",""
"https://www.google.com/maps/place/Prima+Photo+Copy/data=!4m7!3m6!1s0x2e68e6be80e71d05:0x7fbb712b26b2f9e9!8m2!3d-6.8644236!4d107.5922253!16s%2Fg%2F11b60561vn!19sChIJBR3ngL7maC4R6fmyJitxu38?authuser=0&hl=id&rclk=1","Prima Photo Copy","4,9","(14)","Pemasok peralatan percetakan","·","·","Tutup","· Buka Sel pukul 07.00","Jl. Gegerkalong Girang No.29-31","(022) 2013689","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Lengkap dan murah"""
"https://www.google.com/maps/place/ADR+fotocopy/data=!4m7!3m6!1s0x2e68e68e066619e7:0x9aa8956dd2517bb8!8m2!3d-6.8575515!4d107.5939306!16s%2Fg%2F11bbwywk6d!19sChIJ5xlmBo7maC4RuHtR0m2VqJo?authuser=0&hl=id&rclk=1","ADR fotocopy","5,0","(1)","Toko Fotokopi","·","Jl. Sersan Bajuri No.10","Buka","· Tutup pukul 23.00","·","0821-2002-4211","","Rute","",""
"https://www.google.com/maps/place/Fotokopi+Jaya+Abadi/data=!4m7!3m6!1s0x2e68e65388865c6f:0x1727b5d00ae5af84!8m2!3d-6.8920519!4d107.6177354!16s%2Fg%2F11bbwywr4q!19sChIJb1yGiFPmaC4RhK_lCtC1Jxc?authuser=0&hl=id&rclk=1","Fotokopi Jaya Abadi","4,5","(1.242)","Toko Fotokopi","·","·","Buka 24 jam","","Jl. Dipati Ukur No.269","","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Pegawai ramah, kualitas"
"https://www.google.com/maps/place/Pelita+Karya+Fotocopy+%26+Digital+Printing+%2824+Jam%29/data=!4m7!3m6!1s0x2e68e7102f9c5f89:0xd47a75c92fba02a2!8m2!3d-6.8859561!4d107.614857!16s%2Fg%2F11rhvtd7n0!19sChIJiV-cLxDnaC4RogK6L8l1etQ?authuser=0&hl=id&rclk=1","Pelita Karya Fotocopy & Digital Printing (24 Jam)","4,8","(78)","Toko Fotokopi","·","Jl. Dipati Ukur No.122 B","Buka 24 jam","","·","0821-1863-3397","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""gercep banget dan bisa diambil via gosend, sangat membantu"""
"https://www.google.com/maps/place/Koko+Fotocopy+%2824+Jam%29/data=!4m7!3m6!1s0x2e68e8dde144e90f:0x90ae6b9d78ebb0a0!8m2!3d-6.8755665!4d107.6060869!16s%2Fg%2F11ggz6v0ny!19sChIJD-lE4d3oaC4RoLDreJ1rrpA?authuser=0&hl=id&rclk=1","Koko Fotocopy (24 Jam)","4,9","(64)","Layanan cetak digital","·","·","Buka 24 jam","","Jl. Bukit Jarian No.44 A","0895-6052-88878","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Fotocopynya bagus bgt, layanannya juga cepat dan pelayanan yg baik bgt!"""
"https://www.google.com/maps/place/Bintang+Fotocopy/data=!4m7!3m6!1s0x2e68e6ba1b90b1d9:0x7d6b9a5e01e3809a!8m2!3d-6.8568637!4d107.5918469!16s%2Fg%2F11c7szy_c3!19sChIJ2bGQG7rmaC4RmoDjAV6aa30?authuser=0&hl=id&rclk=1","Bintang Fotocopy","4,8","(4)","Toko Percetakan","·","Jl. Cilimus","Segera tutup","· 21.00 · Buka Sel pukul 07.00","·","0815-7374-1129","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Jasa"
"https://www.google.com/maps/place/Gaga+Photo+Copy+Jilid+Laminating/data=!4m7!3m6!1s0x2e68e6bc2b882405:0x4040e160109375a8!8m2!3d-6.8643926!4d107.5918437!16s%2Fg%2F11gnr9b_zv!19sChIJBSSIK7zmaC4RqHWTEGDhQEA?authuser=0&hl=id&rclk=1","Gaga Photo Copy Jilid Laminating","5,0","(1)","Toko Fotokopi","·","Jl. Gegerkalong Girang No.35","","","","","","Rute","",""
"https://www.google.com/maps/place/Juwita+Fotocopy/data=!4m7!3m6!1s0x2e68e7e282501ff3:0xe0b81b2efbb9f55f!8m2!3d-6.8671875!4d107.5930548!16s%2Fg%2F11pd871vmv!19sChIJ8x9QguLnaC4RX_W5-y4buOA?authuser=0&hl=id&rclk=1","Juwita Fotocopy","4,0","(2)","Toko Fotokopi","·","Gg. H. Ridho Jl. Dr. Setiabudi No.34","Segera tutup","· 21.00 · Buka Sel pukul 07.00","·","0896-3846-8690","","Rute","",""
