"hfpxzc href","qBF1Pd","MW4etd","UY7F9","W4Efsd","W4Efsd 2","W4Efsd 3","W4Efsd 4","W4Efsd 5","FQ2IWe src","Jn12ke src","ah5Ghc","ah5Ghc 2","ah5Ghc 3","A1zNzb href","J8zHNe","bbPy1"
"https://www.google.com/maps/place/Toko+Eskrim+Bandung+Cimahi/data=!4m7!3m6!1s0x2e68e5d1a22510ed:0x9b0d2c33f55c1fa7!8m2!3d-6.9122742!4d107.5368885!16s%2Fg%2F11lcsl3tw_!19sChIJ7RAlotHlaC4Rpx9c9TMsDZs?authuser=0&hl=id&rclk=1","Toko Eskrim Bandung Cimahi","4,9","(112)","Es Krim","·","Jalan Raya Nanjung No.116 Kp. Cibodas, RT.01/RW.11","Tutup","· Buka Sel pukul 09.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAEZet5L-v_S0EasdZdZTlVB_kuaZbFUihwIBYHIEJU7xw2DlPn3CXqltB74eY3z0QcL7lZwq45LDsP2t8UyXwznvtaE2D0QpwwUsL2mNpb-179PIXsr2FhVknzHgO4ZGu_DPHlR=w80-h142-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Varian rasa eskrimnya banyak banget untuk produk aice""","","","","",""
"https://www.google.com/maps/place/Ice+Cream+Pisang+Ijo+15/data=!4m7!3m6!1s0x2e68e7cf2e50da7b:0xc898d837d5be5fdf!8m2!3d-6.8634963!4d107.5895429!16s%2Fg%2F11l6bj3_3w!19sChIJe9pQLs_naC4R31--1TfYmMg?authuser=0&hl=id&rclk=1","Ice Cream Pisang Ijo 15","5,0","(1)","Es Krim","·","Jl. Gegerkalong Girang No.40B","Buka 24 jam","","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFlH-U-91aE51SvqAV7nGFGOkj1tBpCfPgYfwcEoT7RLZFGBoEscaAtpHeyx4pk-OFHlW-ypz7THKTQnL8VyEtgu1d2jJxeFxbNgNSWSrcWKj_0lGwII6k_9yqn3ID-O0YoMRwLvi1MH14D=w80-h106-k-no","","Bawa pulang","","","","",""
"https://www.google.com/maps/place/PappaMe+Gelateria+Italiana/data=!4m7!3m6!1s0x2e68e72ba400c09b:0x3cd07ada7cb4a4d4!8m2!3d-6.8686242!4d107.5937244!16s%2Fg%2F11q1v96tzs!19sChIJm8AApCvnaC4R1KS0fNp60Dw?authuser=0&hl=id&rclk=1","PappaMe Gelateria Italiana","5,0","(5)","Es Krim","·","Jl. Dr. Setiabudi No.206c","Tutup","· Buka Sel pukul 09.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAEeZou2KOSDyO5fDJvTXoqzgvKgyNrNVNi00ioJHTF6t0OY-ijpc5l5umdR6JX7n56gZ33at7q0PhckzDjNiuFXyg0DpW6wOOycWELvtdUSW214ApMFW4SfGGm8mag_ADFaUFYiMQ=w80-h142-k-no","","Makan di tempat","Bawa pulang","Pesan antar","","",""
"https://www.google.com/maps/place/MIXUE+UPI+GERLONG/data=!4m7!3m6!1s0x2e68e7b711ac7ff3:0x5c7c7802f8cf38a6!8m2!3d-6.8646639!4d107.5923967!16s%2Fg%2F11srb55980!19sChIJ83-sEbfnaC4RpjjP-AJ4fFw?authuser=0&hl=id&rclk=1","MIXUE UPI GERLONG","4,6","(372)","Es Krim","·","Jl. Gegerkalong Girang No.27","","","https://lh3.googleusercontent.com/gps-cs-s/APNQkAGvVH0Ap69BEsQ1qkO5mg3S6gHuLExeuXp3eTn981RRQVZQnUhJnk3ufTNRkERCx1piOYfnzhWfhTRWUF92CHiRlNnK8rMXzAOp3gnXtWNl30QJXq8eV3mpsw76-WiznCfkKoALzQ=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Tempat rekomed buat kerjain tugas sambil makan","eskrim","""","","",""
"https://www.google.com/maps/place/Misnow+Bandung+Rumah+Mode/data=!4m7!3m6!1s0x2e68e7004b180205:0xf09da160ddefbb70!8m2!3d-6.8827223!4d107.5998483!16s%2Fg%2F11y6hjyfpd!19sChIJBQIYSwDnaC4RcLvv3WChnfA?authuser=0&hl=id&rclk=1","Misnow Bandung Rumah Mode","5,0","(20)","Es Krim","·","Jl. Dr. Setiabudi No.41","Tutup","· Buka Sel pukul 10.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAEXOIM5JuPG4EdzpLBjDhoUv9rVZFLPRMEzgG6ED67so9d13PAfyX6EUQMq7VZV6tgrSgnRWD-fa4ofKFRbNRnqhTORVVMs7PrMvvcvAQ6CAGm8YZkPPbAQFUCziMrjhbNF26P_=w80-h106-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Menunya enak enak wajib coba, pelayanannya juga baik ramah-ramah👍🏼""","","","","",""
"https://www.google.com/maps/place/Scoop+%26+Skoops+Cihapit/data=!4m7!3m6!1s0x2e68e77a1744db4d:0x7ddc78f3eb27c225!8m2!3d-6.908259!4d107.621759!16s%2Fg%2F11tj7ybtns!19sChIJTdtEF3rnaC4RJcIn6_N43H0?authuser=0&hl=id&rclk=1","Scoop & Skoops Cihapit","4,9","(165)","Es Krim","·","Jl. Cihapit No.8C","Tutup","· Buka Sel pukul 12.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFHWFJiDjON4fpM3SwwDjyWbM56JZcQ3kmWETn6DCt250FwlTNbSj2pEDIhN4ru8nGeycqxCMf10Sm0yKxnMqdKOe40qWkAtus-7QK_ZMLadA9U88XpzLPZTmwAmqWOUtgOQfLE=w137-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""","Eskrim","terfavorit so far, enak banget eskrimnya wajib coba kl ke bandung""","","",""
"https://www.google.com/maps/place/Momoyo+Dago/data=!4m7!3m6!1s0x2e68e7b969ad8061:0x5aa0d7f6e5139a4c!8m2!3d-6.8830206!4d107.6149948!16s%2Fg%2F11vc2g4jfw!19sChIJYYCtabnnaC4RTJoT5fbXoFo?authuser=0&hl=id&rclk=1","Momoyo Dago","4,9","(1.802)","Es Krim","·","Jl. Ir. H. Juanda No.244","","","https://lh3.googleusercontent.com/gps-cs-s/APNQkAGPJuKeXdAezZDVOp5SMjjig_4SAaKdyuCkiPGiuNDVqp-VugyrGTj-hYItc0_AeOJPAHA1azI8Msw_PYilnGy_T6cuOQSmd1S95rVTtLoUsVgouE8FqwUessGKkTq5WXNZiF9sSHOXwrvc=w80-h106-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""tempatnya luas enak, bersih,","eskrim","nya juga worth it, topp banget laah""","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTF2YzJnNGpmdxgBOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=p6r4ab2_PL2fseMP29bQ2Q4&ei=p6r4ab2_PL2fseMP29bQ2Q4&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online",""
"https://www.google.com/maps/place/Sweet+Cantina/data=!4m7!3m6!1s0x2e68e63aaf516bc1:0xc43a3d3d5ec9131c!8m2!3d-6.9173474!4d107.6092231!16s%2Fg%2F11cls_80vc!19sChIJwWtRrzrmaC4RHBPJXj09OsQ?authuser=0&hl=id&rclk=1","Sweet Cantina","4,5","(1.044)","Es Krim","·","·","Segera tutup","· 22.00 · Buka Sel pukul 09.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAH4AhPnwZnN4D1bLpXuLWT2fycmNiTaGDjdUwAewicZkdZwAcjasmvn798PySjYKFg3DxYMsW6541mg8lsWsElU2wt0gymt_A49zcKg7kt-TVtdUT76U-aXY_h3B222U8kHXmyL=w102-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Harga eskrimnya cukup terjangkau, satu skup Rp 22.000.""","","","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTFjbHNfODB2YxgBOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=p6r4ab2_PL2fseMP29bQ2Q4&ei=p6r4ab2_PL2fseMP29bQ2Q4&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online",""
"https://www.google.com/maps/place/Es+Krim+Miami%2F+Ice+Cream+Miami/data=!4m7!3m6!1s0x2e68e6851c1afc3b:0x20938b5d274baac8!8m2!3d-6.879452!4d107.5830136!16s%2Fg%2F11csbsn3pv!19sChIJO_waHIXmaC4RyKpLJ12LkyA?authuser=0&hl=id&rclk=1","Es Krim Miami/ Ice Cream Miami","4,7","(15)","Es Krim","·","Jl. Dangdeur Kaler No.4","Tutup","· Buka Sel pukul 08.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAEjfb7331cex-VDyKrjB6KudqjyJEH3xH8bNOechwynvHWYKRjF2z9Vxl3-LG4NPGG9BNXyjGg9Gq0N3HeeP79b8rlhGHUkpgqZRpLuZVPW8pVl40U51fGbtMk6Ohsrkh0MTJii=w163-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Banyak varian rasa, harga pantas.""","","","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTFjc2JzbjNwdhgBOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=p6r4ab2_PL2fseMP29bQ2Q4&ei=p6r4ab2_PL2fseMP29bQ2Q4&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online",""
"https://www.google.com/maps/place/Mocin+Ice+Cream+and+Drinks/data=!4m7!3m6!1s0x2e68e1007b733087:0xbf20df8306a0e557!8m2!3d-6.8409919!4d107.5849415!16s%2Fg%2F11vj_dnzng!19sChIJhzBzewDhaC4RV-WgBoPfIL8?authuser=0&hl=id&rclk=1","Mocin Ice Cream and Drinks","5,0","(12)","Es Krim","·","Alfamart Jl.cigugur girang pasir muncang, Depan No.245, RT.03/RW.18","","","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFgyZuov8k1rc4QeMXviIs10nbltYvhACSABCASvOCzvlzabfWdVvlJBbXCZIe7k08pwbVf3vVFHv9NZGYywPMOWvdByOkwGoHg-uU_734DevIGLZ9OB7vpnEgbnHXdD2DP6E4riITrGg0=w124-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Tempat nongkrong sambil beli","eskrim","bersama anak2 ku tercinta""","","",""
