"hfpxzc href","qBF1Pd","W4Efsd","Cw1rxd","R8c4Qb","W4Efsd 2","W4Efsd 3"
"https://www.google.com/maps/place/Buah+Batu/data=!4m7!3m6!1s0x2e68e842afb9284f:0x5c978873507aaa49!8m2!3d-6.94849!4d107.63402!16s%2Fg%2F11hd8hrsjr!19sChIJTyi5r0LoaC4RSap6UHOIl1w?authuser=0&hl=id&rclk=1","Buah Batu","Perhentian bus","","Rute","",""
"https://www.google.com/maps/place/Terminal+Cicaheum/data=!4m7!3m6!1s0x2e68e723c4ab118f:0xe3d7bdabd7b7a97!8m2!3d-6.9025937!4d107.6567214!16s%2Fg%2F11h_vwn7jh!19sChIJjxGrxCPnaC4Rl3p7vdp7PQ4?authuser=0&hl=id&rclk=1","Terminal Cicaheum","Layanan Transportasi","","Rute","·","Jl. A. Yani No.830"
"https://www.google.com/maps/place/Sub+Terminal+Riung+Bandung/data=!4m7!3m6!1s0x2e68c2971ba2e293:0xa98cbb90b69ae307!8m2!3d-6.9493699!4d107.6832859!16s%2Fg%2F11bv3yhsgt!19sChIJk-KiG5fCaC4RB-OatpC7jKk?authuser=0&hl=id&rclk=1","Sub Terminal Riung Bandung","Terminal Bus","","Rute","·","Jl. Riung Saluyu"
"https://www.google.com/maps/place/Halte+TMB+Cicaheum/data=!4m7!3m6!1s0x2e68e79273fb038d:0xddf555e58213c97!8m2!3d-6.902285!4d107.656592!16s%2Fg%2F11c31nzs10!19sChIJjQP7c5LnaC4RlzwhWF5V3w0?authuser=0&hl=id&rclk=1","Halte TMB Cicaheum","Perhentian bus","","Rute","",""
"https://www.google.com/maps/place/Perintis+Kemerdekaan+Bandung/data=!4m7!3m6!1s0x2e68e63a3edf3d77:0xe621d55c0933f9ad!8m2!3d-6.91396!4d107.60792!16s%2Fg%2F11tfp5wcps!19sChIJdz3fPjrmaC4RrfkzCVzVIeY?authuser=0&hl=id&rclk=1","Perintis Kemerdekaan Bandung","Perhentian bus","","Rute","",""
"https://www.google.com/maps/place/Bandung+City+Square/data=!4m7!3m6!1s0x2e68e66d5d890f17:0xbde5cdad6efb0b90!8m2!3d-6.90717!4d107.58649!16s%2Fg%2F11f5g04t9g!19sChIJFw-JXW3maC4RkAv7bq3N5b0?authuser=0&hl=id&rclk=1","Bandung City Square","Perhentian bus","","Rute","",""
"https://www.google.com/maps/place/Transportasi+bus/data=!4m7!3m6!1s0x2e68e964470330a3:0x2a50cca5c03a4010!8m2!3d-6.9498449!4d107.6251462!16s%2Fg%2F11t9wnx22h!19sChIJozADR2TpaC4REEA6wKXMUCo?authuser=0&hl=id&rclk=1","Transportasi bus","Agen Tiket Bus","","Rute","·","Jl. Soekarno-Hatta No.456"
"https://www.google.com/maps/place/Rest+Bus+Bandung-+Indramayu/data=!4m7!3m6!1s0x2e68e776bee2821b:0x1f6af6594918c5db!8m2!3d-6.9087129!4d107.5975528!16s%2Fg%2F11j1sg2t80!19sChIJG4LivnbnaC4R28UYSVn2ah8?authuser=0&hl=id&rclk=1","Rest Bus Bandung- Indramayu","Agen Tiket Bus","","Rute","·","Jl. Pasir Kaliki No.85"
"https://www.google.com/maps/place/Pasteur+Bandung/data=!4m7!3m6!1s0x2e68e665e229469f:0x39f440fc6525bfaa!8m2!3d-6.89706!4d107.591782!16s%2Fg%2F11z309z6yj!19sChIJn0Yp4mXmaC4Rqr8lZfxA9Dk?authuser=0&hl=id&rclk=1","Pasteur Bandung","Perhentian bus","","Rute","",""
"https://www.google.com/maps/place/Terminal+Lembang/data=!4m7!3m6!1s0x2e68e0e2635bd729:0x998528a21b7a8742!8m2!3d-6.81743!4d107.62228!16s%2Fg%2F11f5g03gd9!19sChIJKddbY-LgaC4RQod6G6IohZk?authuser=0&hl=id&rclk=1","Terminal Lembang","Terminal Bus","","Rute","",""
