"hfpxzc href","qBF1Pd","MW4etd","UY7F9","W4Efsd","W4Efsd 2","W4Efsd 3","W4Efsd 4","W4Efsd 5","FQ2IWe src","Jn12ke src","ah5Ghc","ah5Ghc 2","ah5Ghc 3","doJOZc","W4Efsd 6"
"https://www.google.com/maps/place/Ultimate+Warriors+Gym/data=!4m7!3m6!1s0x2e6f1de038cbf08f:0x79624579141a6efa!8m2!3d-6.75713!4d108.5614917!16s%2Fg%2F11vjghvvts!19sChIJj_DLOOAdby4R-m4aFHlFYnk?authuser=0&hl=id&rclk=1","Ultimate Warriors Gym","4,9","(68)","Tempat Fitness","·","Ruko Citraland, Jl. Perum Citraland No.17 Blok Capri","Segera tutup","· 21.00 · Buka Sel pukul 06.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAGwTqxsIdv8L0xYDCOKSOyVF8HLdYt4fX-SV8ndc3b0w2BmI41Ykl8QMkAmeDlx6rT8e5J7abiHDPGFy1RWafhsI-Si7eIaE1-AIKN4OxmRCbLbdqQ2kompUZ2aHWhzFUPsyXBC=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Keren","tempat gym","nya, harga terjangkau, alat berkualitas.""","",""
"https://www.google.com/maps/place/CHAMPION+GYM+cirebon/data=!4m7!3m6!1s0x2e6ee2723c4785b1:0x5111c87b9be9b0!8m2!3d-6.718992!4d108.5515045!16s%2Fg%2F11f156hbpq!19sChIJsYVHPHLibi4RsOmbe8gRUQA?authuser=0&hl=id&rclk=1","CHAMPION GYM cirebon","4,4","(165)","Tempat Fitness","·","·","Segera tutup","· 21.00 · Buka Sel pukul 07.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFdTPc1nrF2VN4SlEjh0gYuh-Ss0RVSjrv6fbmdp4Jeu0eq1X-hBra2oeyfA8sVs9tYBcI3dy2VEzgLOZHhe9O9c_0PV6tw9bkuYmNxMjHFrgOwrBggfonNVrhia-TGMx7iJrvoeA=w138-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""","Tempat gym","dengan harga yang paling terjangkau.""","","Jl. Arya Kemuning No.47"
"https://www.google.com/maps/place/Sayaka+Fight+Campt/data=!4m7!3m6!1s0x2e6f1d0048a03001:0xafb4e14d76e7a50b!8m2!3d-6.7410442!4d108.5286182!16s%2Fg%2F11ycs3cts9!19sChIJATCgSAAdby4RC6Xndk3htK8?authuser=0&hl=id&rclk=1","Sayaka Fight Campt","5,0","(9)","Tempat Fitness","·","Jl. Puri Taman Sari No.E 10","","","https://lh3.googleusercontent.com/gps-cs-s/APNQkAGz6ijnE76tviWrObmi-FOtqH_SlDDeLR8KUsxIpgdBLo-jlVYrJdQ9SJMXKgBC2o_mkY--2Nj41atPP_ZMCKj27LIxg1fFlG8Ys-qC1dEIPkO0hY7qROt2eS8Ks1KPSDGXBt3p0bedXtqY=w80-h142-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""","Tempat","latihan boxing ini menurut saya recommended banget.""","",""
"https://www.google.com/maps/place/Pemuda+Sport+Centre/data=!4m7!3m6!1s0x2e6f1df5d341a055:0xa7a1c1faa7ebaf85!8m2!3d-6.7303185!4d108.5410162!16s%2Fg%2F11b7fx2jkl!19sChIJVaBB0_Udby4Rha_rp_rBoac?authuser=0&hl=id&rclk=1","Pemuda Sport Centre","4,3","(1.107)","Kompleks Olahraga","·","Jl. Pemuda Raya No.42","Buka","· Tutup pukul 00.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFm6mM63b8_U0RSOZ3fhIK3dvmbLWnOJ0bKRRy3oriYbuJozoys4kj55i8FfbG0Ssa2iFBnHK_yl_TnZ37Riy3owV0eVg89ReLPozzFkRkUdt5b-vVKk45fpO9U4KA1OBOdNU9afg=w138-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Lengkap banget ada","tempat Gym",", Futsal badminton dan Kolam Renangnya juga.""","",""
"https://www.google.com/maps/place/Taman+Cipto+Sport+Centre/data=!4m7!3m6!1s0x2e6ee20c7bee47bd:0x21163df67073f97b!8m2!3d-6.7229342!4d108.5428737!16s%2Fg%2F11fxzr4q9x!19sChIJvUfuewzibi4Re_lzcPY9FiE?authuser=0&hl=id&rclk=1","Taman Cipto Sport Centre","4,5","(690)","Kompleks Olahraga","·","·","Segera tutup","· 21.00 · Buka Sel pukul 06.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAEblZ7hgEA9XqJSJd2JC1mFF81UDLnLiHUdnmu6M0b7gbqk0foWdmVuybg17Czpwcjf1Ryxd7iCbjJ-hY_lDpGVaXON8kaKUSfeXQAX-W9wrdun1QgiYdbV4tnpBiXVVV3x0eWG=w163-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Kolam renang,","gym",", futsal, yoga, muaythai.""","","Jl. Taman Cipto"
"https://www.google.com/maps/place/D%27gym+Fitness+Center/data=!4m7!3m6!1s0x2e6ee2184168066d:0xd60ef87dfe473c6c!8m2!3d-6.7105456!4d108.5359995!16s%2Fg%2F11f37cz52f!19sChIJbQZoQRjibi4RbDxH_n34DtY?authuser=0&hl=id&rclk=1","D'gym Fitness Center","4,6","(112)","Tempat Fitness","·","Jl. Tuparev No.323","Segera tutup","· 21.00 · Buka Sel pukul 06.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAHMBAIrxhhD1hckw78uS0KtpxO7e28ao6aKqnSUOrnkdkPCPnDjZZSeFaNiyhOKCtX6Z8OrvJjzxLRmW5bO8UnaCjk1IZXzgaI2YzH6AjfENnudv8IgMW4KhTckXS1yfpgowAwM=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""","Tempat gym","nyaman, bersih fasilitas lengkap dan ada kelas jg🤩🔥🔥""","",""
"https://www.google.com/maps/place/Bro+gym/data=!4m7!3m6!1s0x2e6ee15538a51731:0xfdbd4a1d3d1a139e!8m2!3d-6.7116554!4d108.5042324!16s%2Fg%2F11t7x_fxh7!19sChIJMRelOFXhbi4RnhMaPR1Kvf0?authuser=0&hl=id&rclk=1","Bro gym","4,8","(89)","Tempat Fitness","·","·","Buka","· Tutup pukul 23.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAG7tJIchylAPYahaAe_f-SImeqEDyzX_Je2IuLXizEHo39hfqtEYJCF09j41a3MWB72_ohn9Rf3o6H_mwI0I_32L301UEyGlrRi1OC6QnlN_NKPR2RUT1CjTUHO6c_NWmulXhrz=w80-h106-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Bro","Gym","salah satu rekomendasi","","Jl. Fatahillah, RT.09/RW.04"
"https://www.google.com/maps/place/Helios+Fitness/data=!4m7!3m6!1s0x2e6f1d724d544d25:0xd618138cb3bdae50!8m2!3d-6.74116!4d108.570831!16s%2Fg%2F11ft5s0cvm!19sChIJJU1UTXIdby4RUK69s4wTGNY?authuser=0&hl=id&rclk=1","Helios Fitness","4,9","(31)","Tempat Fitness","·","7H5C+G8P","Buka","· Tutup pukul 22.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFYnBOn4xqnOcFsmgHu6X72btW59VoQef-1RvXykx7PT-EwAVLM2gE_uw5uhD9DNvIIHVAkf60rtLG-2HHF-BOgabjIivPLiNM4XeCJrHwvH-15fVVBRYY4HRCtrS4PRyj52cirtdOxVu8x=w163-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Amazing ..coach nya ramah , harga nya murah, lengkappp banget""","","","",""
"https://www.google.com/maps/place/MPower+Studio/data=!4m7!3m6!1s0x2e6ee275b4e10b49:0x7532b4b0d5091f67!8m2!3d-6.725375!4d108.5506137!16s%2Fg%2F11cs480tbr!19sChIJSQvhtHXibi4RZx8J1bC0MnU?authuser=0&hl=id&rclk=1","MPower Studio","4,9","(64)","Pusat kebugaran","·","·","Tutup","· Buka Sel pukul 07.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAEyYvGE7xX-gkMDNsTcCFVpTUq1FNAtr3UN8KQ-_ksVbPkffHVJFdu1klFcn0k-yW2eB00LiC6wE4M0tTTYxCN_ZdfSRcP5bDdRX_H95Q8rL-k-_IpnicZzT4IznLszs1q69dIv=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Salah satu","tempat gym","terdebest di Kota Cirebon.""","","Jl. DR. Cipto Mangunkusumo No.117 Lantai 2"
"https://www.google.com/maps/place/Galaxy+Fitness/data=!4m7!3m6!1s0x2e6ee10071ca4699:0xc5f8bc186e51d84b!8m2!3d-6.7033989!4d108.4992989!16s%2Fg%2F11xfkljz0g!19sChIJmUbKcQDhbi4RS9hRbhi8-MU?authuser=0&hl=id&rclk=1","Galaxy Fitness","4,8","(51)","Tempat Fitness","·","7FWX+CC2, GG.masjid jami' alkharomah+ Jl. Otto Iskandardinata No.50m, RT.04/RW.02","Buka","· Tutup pukul 22.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAGfDJTygCYilMzN9wvVNzGUIk-RBfJRW89fUFc0Y0LOudgnoSNBXCAb4z8qffrLiKnukCawp-bq2rVfky8dfi4JTF13JF0j0S-dcsaWOqJ7jfoxDLJEyxDbGmgpoOH7bcS4Sw3JdAGaR-pQ=w80-h106-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Stafnya ramah dan profesional, Rekomendasi","tempat gym","yang bagus!""","",""
