"hfpxzc href","qBF1Pd","MW4etd","UY7F9","AJB7ye","AJB7ye 2","W4Efsd","W4Efsd 2","W4Efsd 3","W4Efsd 5","W4Efsd 6","FQ2IWe src","Jn12ke src","ah5Ghc","ah5Ghc 2","M4A5Cf"
"https://www.google.com/maps/place/Kedai+Mamah+Ramdhan/data=!4m7!3m6!1s0x2e6f1d1925fdeee3:0x759ab0277065d94d!8m2!3d-6.7384528!4d108.5353576!16s%2Fg%2F11hzxrxcqk!19sChIJ4-79JRkdby4RTdllcCewmnU?authuser=0&hl=id&rclk=1","Kedai Mamah Ramdhan","","","","","Restoran","·","Jl. Terusan Sekar Kemuning No.29","Buka 24 jam","","https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=jat2AFdrXu4qxSy6VjA3cg&cb_client=search.gws-prod.gps&w=80&h=92&yaw=128.12549&pitch=0&thumbfov=100","","Makan di tempat","Bawa pulang","·"
"https://www.google.com/maps/place/Warung+Sederhana/data=!4m7!3m6!1s0x2e6f1dbf3356c863:0x53595f7b11778ae3!8m2!3d-6.7350789!4d108.5348085!16s%2Fg%2F11gjs_n25z!19sChIJY8hWM78dby4R44p3EXtfWVM?authuser=0&hl=id&rclk=1","Warung Sederhana","4,8","(177)","·","Rp 1–25.000","Rumah Makan","·","·","Tutup","· Buka Sel pukul 08.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAGZpidQ5HQGZf99rDgkD4CGcAJFgjNK59Zy5U_czQq256xWYkWJsn2FJfUdIR0rh38oy6eIvlnovk5P2bWSGvGWGk5Ecxt245xlHaQpKXVB_YSpuefbHNploqN-FsJ4_F0YB8Mejg=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Masakan dan sambelnya enak,harga terjangkau pula, tempat strategis.""","",""
"https://www.google.com/maps/place/Cyas+Chill+Cafe+%26+Eatery/data=!4m7!3m6!1s0x2e6f1d7098f83815:0xdd74d5d2f3c07a80!8m2!3d-6.738908!4d108.5383829!16s%2Fg%2F11wwny024r!19sChIJFTj4mHAdby4RgHrA89LVdN0?authuser=0&hl=id&rclk=1","Cyas Chill Cafe & Eatery","4,9","(14)","·","Rp 25–50 rb","Kafe","·","Jl. Kandang Perahu No.14","Buka","· Tutup pukul 21.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAEuW0PfDrEfevFoOu304EDk0cBj7wOFq9D5_IbyLsBleqwJIPynnlLEBBvH8TzbqecC1wA_6L02ezs6l7Uxp94q9LksCoqCVICT1am3CBlfElbWKBWWLx56zBKJXWS6cj8hlTubNw=w80-h106-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Kalo","makanan",""
"https://www.google.com/maps/place/MIE+AYAM+ATUY+SKP/data=!4m7!3m6!1s0x2e6f1d07f1286f45:0xf215f7988f46148c!8m2!3d-6.7401525!4d108.5352498!16s%2Fg%2F11z5q3c36x!19sChIJRW8o8Qcdby4RjBRGj5j3FfI?authuser=0&hl=id&rclk=1","MIE AYAM ATUY SKP","","","","","Toko Makanan","·","Jl. Sekar kemuning , Karyamulya, Taman Sekar Kemuning Permai","Buka","· Tutup pukul 22.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAGagdYnF-OQWKqVMixEpq2__Q_b94u4Xq4dHfR-TR39hO1SaM2yXpR4mVmCHXACURzz8VOQMitH8g60r-CotzBRQikfASSNB63J0ANNsMlAV8qHkVxpEHAxX_3nG0YzHNT4mm8TGUOOlNQd=w92-h92-k-no","","","",""
"https://www.google.com/maps/place/Pekka+Zone+X+Mie+Pak+Ran/data=!4m7!3m6!1s0x2e6f1df3c5bc92e3:0xdb1594d157088c96!8m2!3d-6.7360284!4d108.5342259!16s%2Fg%2F11src_c6zg!19sChIJ45K8xfMdby4RlowIV9GUFds?authuser=0&hl=id&rclk=1","Pekka Zone X Mie Pak Ran","5,0","(6)","","","Kedai Kopi","·","7G7M+HMQ samping warteg, Jl. Perjuangan Gg. Kampus","Buka","· Tutup pukul 22.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFn6nKUw_WAVNNKVkjGjWrnTxWIhLhpgNNqobcb71LQhvdOtPSKzLLRJnzBCRqq-4Zr788186qkTytq5FFDYP-hyZOKGGY347ZoShu7lb8_xNXZgCo6lpyhsCF4qQpezvbLjQo=w163-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Kopi dan mie gepreknya mantul, recommended""","",""
"https://www.google.com/maps/place/Bungsu+Laundry/data=!4m7!3m6!1s0x2e6f1d000b2d65ef:0x5400198c0a446408!8m2!3d-6.7382469!4d108.5358833!16s%2Fg%2F11n4fld8b_!19sChIJ72UtCwAdby4RCGRECowZAFQ?authuser=0&hl=id&rclk=1","Bungsu Laundry","5,0","(2)","","","Toko umum","·","Jl. Kandang Perahu No.53","Buka","· Tutup pukul 21.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAGV2XbYcfNq826qdBnFcV2XLa19sumMF__Cu0eet3eJS--OmRvkUh8_bozEIXHW5nIkeED1au6B4YGEMFKjHUB303vRw7c8v8pqeaz_UgZ77QFXX4HzT0Mv9GqQdMRsdJCQR_k2kaVbHJJh=w80-h118-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Laundrynya wangi, pelayanannya oke""","",""
"https://www.google.com/maps/place/Waroeng+De%22Pojok/data=!4m7!3m6!1s0x2e6ee239401afe3b:0xbbdd3f5bcd0c168c!8m2!3d-6.73889!4d108.5383502!16s%2Fg%2F11h9x5hp0q!19sChIJO_4aQDnibi4RjBYMzVs_3bs?authuser=0&hl=id&rclk=1","Waroeng De""Pojok","5,0","(6)","","","Rumah Makan","·","Jl. Kandang Perahu No.14","Buka","· Tutup pukul 21.30","https://lh3.googleusercontent.com/gps-cs-s/APNQkAEjJir5BVHMGEofxa2Ape6JmVzet-LVly8YGY-8BqKz-rEvFHYHize_5t_H6IMnXti9iAye9tObBjtSXHWRWzDJgscXGyRfi4Dy3A6xZw7eyqct7PHFWF3jivfc0m-TfPRlaj_R=w92-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Pelayanan nya baik bnget yg punya nya juga baik banget🙏""","",""
"https://www.google.com/maps/place/Waroeng+Makan+GSP/data=!4m7!3m6!1s0x2e6f1d4b3a1ee665:0x8675d656f975e46b!8m2!3d-6.7412413!4d108.5317732!16s%2Fg%2F11gh9pwfqt!19sChIJZeYeOksdby4Ra-R1-VbWdYY?authuser=0&hl=id&rclk=1","Waroeng Makan GSP","4,4","(122)","·","Rp 25–50 rb","Restoran","·","Jl. Nusa Endah","Tutup","· Buka Sel pukul 11.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAHwlUUMMrFY7sxpWTsv9JJfLnCasIoLOIEQ_2Ng0KJHe7GAEodeAYfLB0gTFuvx4_0JfPII57i3p3U80hzDTfJyZIgjJ-V66S8f9gYITv24_HT0Z3bjY34-yE8QYoFa-mC9fZAt=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Semoga dibenahi nih tempatnya padahal makanannya enak lhoo.""","",""
"https://www.google.com/maps/place/Agen+Kebab+Ayue/data=!4m7!3m6!1s0x2e6f1deb07c2bce5:0xaa802534da7d4b43!8m2!3d-6.7405678!4d108.5346603!16s%2Fg%2F11sjjtqgtg!19sChIJ5bzCB-sdby4RQ0t92jQlgKo?authuser=0&hl=id&rclk=1","Agen Kebab Ayue","5,0","(2)","","","Toko bahan makanan","·","Perumahan Griya Mas Matahari, Blk. D No.3","Buka 24 jam","","https://lh3.googleusercontent.com/gps-cs-s/APNQkAGlnd3dSwp214psRB4QgZ3ztxUgQ0jRFmbMGaKvc-ev7TnAvFVUvP9MHIDE2tNRB9JATBYW6fs2mbgrfZl9-8pOovrTJcciklmjVhUi9S-32ssy3hm4c54PfV0C9iDmcwpnnGKPPQ=w80-h177-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Kebutuhan buat dagang kebab & burger ada disini""","",""
"https://www.google.com/maps/place/Warkop+Memanggil/data=!4m7!3m6!1s0x2e6f1da23a3306a7:0x9972a0926c322ab!8m2!3d-6.7359176!4d108.5369091!16s%2Fg%2F11trh0l_9t!19sChIJpwYzOqIdby4RqyLDJgkqlwk?authuser=0&hl=id&rclk=1","Warkop Memanggil","4,8","(76)","·","Rp 1–25.000","Kafe","·","Jl. Komp. PLTG","Buka","· Tutup pukul 03.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAG-CuDXrc5mliqOYvNQldYRGsOnYRBlFAoPEOSd00nn23hPfWFeW5wMdYbNqntIBwyUI3MwFB4_qsZjNYtkBybsBSjKMiuY65_8QgLA-6MrFJxdrdaWflGBkWA7ml3gW70jeHuhSQ=w80-h142-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""tempat nya nyaman, makanann enak dan murah""","",""
