"hfpxzc href","qBF1Pd","MW4etd","UY7F9","W4Efsd","W4Efsd 2","W4Efsd 3","W4Efsd 5","W4Efsd 6","FQ2IWe src","Jn12ke src","ah5Ghc","AJB7ye","AJB7ye 2","ah5Ghc 2","ah5Ghc 3","M4A5Cf","e4rVHe"
"https://www.google.com/maps/place/Pizza+Rainbow+Mantulll/data=!4m7!3m6!1s0x2e6f1de20f6fd75b:0x61fb5020e2e28c43!8m2!3d-6.7435412!4d108.5230798!16s%2Fg%2F11hz8yflt2!19sChIJW9dvD-Idby4RQ4zi4iBQ-2E?authuser=0&hl=id&rclk=1","Pizza Rainbow Mantulll","","","Pizza","","","","","https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=EntmF95uhktppf7QURcsGw&cb_client=search.gws-prod.gps&w=80&h=92&yaw=300.37387&pitch=0&thumbfov=100","","Makan di tempat","","","Bawa pulang","Pesan antar","·","Tidak ada ulasan"
"https://www.google.com/maps/place/Aisyah+Cookies/data=!4m7!3m6!1s0x2e6f1d2995814a57:0xfa6ea9c64f9547f9!8m2!3d-6.7403341!4d108.5395608!16s%2Fg%2F11ftm4zfss!19sChIJV0qBlSkdby4R-UeVT8apbvo?authuser=0&hl=id&rclk=1","Aisyah Cookies","5,0","(2)","Toko Kue","·","Jl. Kandang Perahu","Tutup","· Buka Sel pukul 09.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAH8Smch8TK4GeaxT10mdt6jRwVOzSGxIJXGSS8yudibtf2MqII_uordaubSIP8GWXg5XxrQcn7H5WgXODcqrN-NCFKfLxUO0uymXoCv38-WBdgu_JkRU-ueU1J4sCZ2t2OkNY_gEA=w122-h92-k-no","","Pesan antar","","","","","",""
"https://www.google.com/maps/place/Kedawung+Street/data=!4m7!3m6!1s0x2e6ee30017f54aff:0xea04c25914586362!8m2!3d-6.7106789!4d108.5283285!16s%2Fg%2F11vqdt29f_!19sChIJ_0r1FwDjbi4RYmNYFFnCBOo?authuser=0&hl=id&rclk=1","Kedawung Street","4,7","(36)","Kedai Kopi","·","Jl. Sultan Ageng Tirtayasa Jl. Pulomas No.240","Buka 24 jam","","https://lh3.googleusercontent.com/gps-cs-s/APNQkAHCL_XM1qnFH97lF3Bce49bwtclPUEi0lmozI6HhjYOTJo8tOsH7f2RDx-ilHbIILLIHxvc-mnevpslWbLmgxtts1glxFjUuQXT8sL6S4ZrKMaSra0uF6QE4X2bOC5w1Dars1Y=w80-h173-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Pizzanya enakkkk.""","·","Rp 1–25.000","","","",""
"https://www.google.com/maps/place/Baked+pan+house/data=!4m7!3m6!1s0x2e6f1d9114ffa563:0xd927fb8acadda370!8m2!3d-6.7554872!4d108.5569797!16s%2Fg%2F11kybzq6s4!19sChIJY6X_FJEdby4RcKPdyor7J9k?authuser=0&hl=id&rclk=1","Baked pan house","5,0","(1)","Pizza","·","Jl. Puri Kalijaga No.B 4","Tutup","· Buka Sel pukul 11.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAEdDPbcGdEkkLcU8gaV-4UYKHAaRruch1u5bEJkWxaVRF1_NuwXQtNC7uYTDQh3NakLHWpiiaZuPCoHosrqoK2bLQjB8RYaa9E0gb9B0uGj3VNGuaUcVkKx4UYJNPsJDP6blBA0=w80-h106-k-no","","Makan di tempat","","","Bawa pulang","Pesan antar","·",""
"https://www.google.com/maps/place/Pizza+panjang+A+Bayu/data=!4m7!3m6!1s0x2e6ee3003cb422c9:0x5d0d3a49146bf57e!8m2!3d-6.7042271!4d108.559581!16s%2Fg%2F11x6htgy30!19sChIJySK0PADjbi4RfvVrFEk6DV0?authuser=0&hl=id&rclk=1","Pizza panjang A Bayu","5,0","(1)","Toko Roti","·","7HW5+8R4, Jl. Moh. Toha","Buka","· Tutup pukul 22.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAGNI5pbhfPA9B8frpmUDbJCe-cv81R1biIVprjaiMzwICrf1XrlLjw_zWlydIATN_wbVyw--wUtDFVH9aELrSYoJUzFOddk5ZKJrdsCIDZvHN_VXxw6ihjS084LhhIuy3YJjliaQndIMmzG=w80-h106-k-no","","Bawa pulang","","","","","",""
"https://www.google.com/maps/place/My+Story+Cafe,+Bistro+%26+Social+House/data=!4m7!3m6!1s0x2e6ee27e574245bb:0xf5e4d5a97c618bf5!8m2!3d-6.7240546!4d108.5674806!16s%2Fg%2F11cjp8f1t7!19sChIJu0VCV37ibi4R9YthfKnV5PU?authuser=0&hl=id&rclk=1","My Story Cafe, Bistro & Social House","4,5","(1.300)","Restoran","·","·","Buka","· Tutup pukul 22.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAGIuAuVhfXaD04pUKmrwIQdhVhjIBauVZiUoO1nkvl23mwExdHMg6tINk30gkC3bbO-hD8PvlKRgz8K0gnnizhQ4tdDZjNQ4mHwzM969sCmjaNBN9C80yJt-Uc81ZejLnL7OPlU-A=w80-h106-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Baru pertama kali nyobain menu","·","$$","pizza","nya sama carbonarra""","",""
"https://www.google.com/maps/place/Alif+Bake+%28+PIZZA+BOSS+%29/data=!4m7!3m6!1s0x2e6ee3007f79c25b:0xda485167baf231da!8m2!3d-6.6786271!4d108.5488565!16s%2Fg%2F11m_6fkk72!19sChIJW8J5fwDjbi4R2jHyumdRSNo?authuser=0&hl=id&rclk=1","Alif Bake ( PIZZA BOSS )","5,0","(1)","Pesan-Antar Pizza","·","8GCX+GGX, Jl. Kiyanti GG. Soban 2, RT.13/RW.03","","","https://lh3.googleusercontent.com/gps-cs-s/APNQkAHyFQD9MbUG3kBtfSJNxd2OTIVRDjgGQDtixbDsdiVLVnz11BpZXxoqV-uZfjugdEVuZtMnhi9L_GksJqRVEBZuQEccxKf8hnK0EQ-R3nWb_iVhHswjjr9gAztsKP5cjEGdyw-YrI4sDOU=w80-h106-k-no","","Pesan antar","","","","","",""
"https://www.google.com/maps/place/Domoid+Coffee+and+Resto/data=!4m7!3m6!1s0x2e6f1d6e8de9c589:0x374c6f4ebd971f47!8m2!3d-6.7288848!4d108.5520994!16s%2Fg%2F11tx5gwk8c!19sChIJicXpjW4dby4RRx-XvU5vTDc?authuser=0&hl=id&rclk=1","Domoid Coffee and Resto","4,7","(2.924)","Kedai Kopi","·","Jl. DR. Sudarsono No.45","Buka","· Tutup pukul 00.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAHjZnSJ6GrYivqZAGvezmZ2Qu-QfgwT8i24ej4sIdDu6Tqi3d8duLn1Ghzgl5sUpyiYdovdAy-tpi52t5V_34m4rRyIgXUoC2R7P-9TYPLTtOg8rGSVkE7PQIaXCuxEcfqkUb3Txw=w80-h106-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Favorit meat lover","·","Rp 50–75 rb","pizza",", ramen dan sushinya.""","",""
"https://www.google.com/maps/place/Pizza+murah+cirebon/data=!4m7!3m6!1s0x2e6f1d0e8897e96b:0x27c0074acc1fdb51!8m2!3d-6.7283364!4d108.5687666!16s%2Fg%2F11nz3fvv8s!19sChIJa-mXiA4dby4RUdsfzEoHwCc?authuser=0&hl=id&rclk=1","Pizza murah cirebon","5,0","(2)","Pizza","·","Jl.Pegajahan selatan, Gg. 09 No.33, RT.01/RW.05","Tutup","· Buka Sel pukul 06.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAH4_-PYoxhhfgLK0ndKkU_s8E1qVjVgQ1HjQtsuhMwJaC_KwwDIPk09Ga8g6DHAtUH31eQ498nVtUClbIeXsySTLlyIzENQYj5lwoXETqVcxs5xORbZCWbtYjIKJHXlT5JxXvY0sw=w92-h92-k-no","","Makan di tempat","","","Drive-through","Antar tanpa bertemu","·",""
"https://www.google.com/maps/place/Pizza+Syabil/data=!4m7!3m6!1s0x2e6ee1660a495385:0xc0bddf6a03344406!8m2!3d-6.7078847!4d108.5196665!16s%2Fg%2F11f75z47dp!19sChIJhVNJCmbhbi4RBkQ0A2rfvcA?authuser=0&hl=id&rclk=1","Pizza Syabil","5,0","(1)","Pizza","·","Ds Dawuan Blok Karang Birai No.25 01/03","Tutup","· Buka Sel pukul 09.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAGNINM23lxCn773ZRHzOIpN_Q-sn8vP8hUA6YK0QEBY0TJ5fskkvHT9A33SPX0wmBoMxX0rUlzDAZ8TGl6UmNEC5eLH9P1B98ES2NAyTeNGBD-5QCABckf2q5BQ4F4OV-AT5dEf=w122-h92-k-no","","Makan di tempat","","","Bawa pulang","Pesan antar","·",""
