"hfpxzc href","qBF1Pd","MW4etd","UY7F9","W4Efsd","W4Efsd 2","W4Efsd 3","W4Efsd 4","W4Efsd 5","FQ2IWe src","Jn12ke src","ah5Ghc","ah5Ghc 2","ah5Ghc 3","A1zNzb href","J8zHNe","bbPy1"
"https://www.google.com/maps/place/Cincau+Es+Cream+Cendol/data=!4m7!3m6!1s0x2e6f1dd6009fb051:0x8ded9d5d55704d6a!8m2!3d-6.7290425!4d108.5368362!16s%2Fg%2F11qh2qxnwb!19sChIJUbCfANYdby4Rak1wVV2d7Y0?authuser=0&hl=id&rclk=1","Cincau Es Cream Cendol","5,0","(1)","Es Krim","·","Bima Stadion No.9","Tutup","· Buka Sel pukul 09.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAGnRR9YJgK0plUOlpq4mziVNKJV0K0vutDGsX4xAwn9GvoU2b2QaV_CyqClYAoyDwAKtmRp_a3nrBBnTOOqJS5u6Yz7L6J4C-9EEAh1vZlCKu6TSjEEJwW-3T1MAauEuU4tUb1i=w80-h106-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Enak mantap manisnya""","","","","",""
"https://www.google.com/maps/place/Sijati+Gelato/data=!4m7!3m6!1s0x2e6ee30070c5ede7:0xbc100573faeea690!8m2!3d-6.7181986!4d108.5360782!16s%2Fg%2F11lclhp9hw!19sChIJ5-3FcADjbi4RkKbu-nMFELw?authuser=0&hl=id&rclk=1","Sijati Gelato","4,8","(4)","Es Krim","·","Jl. Sijati No.19","Tutup","· Buka Sel pukul 11.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAHlL6rsSKwiMm4bijZ6vty-ZWB2dPuaOwpzCjXG143mrwriZk0Vi3E-Zw26o7G4E9FfskGLe9ZSYzMlHYvfGJWV8vSmrL1HaroZp0JjKOxBg8Oj_U-mjx49oFAZcm_wM0HwDufzyA=w80-h106-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Gelatonya enak enggak terlalu manis juga mantap deh 👍""","","","","",""
"https://www.google.com/maps/place/MIXUE+FATAHILLAH+PLERED+CIREBON/data=!4m7!3m6!1s0x2e6ee13c89b5922d:0xd7e8d1d1f8f62a94!8m2!3d-6.7113757!4d108.5043934!16s%2Fg%2F11td0p0xkk!19sChIJLZK1iTzhbi4RlCr2-NHR6Nc?authuser=0&hl=id&rclk=1","MIXUE FATAHILLAH PLERED CIREBON","4,4","(76)","Es Krim","·","Jl. Fatahillah No.12 A","Buka","· Tutup pukul 21.30","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFBr_H6uPXfI4bYsQoNUiMVdcEfEdogwHKl9Iqi5HntflqBQlFGGKZFaeWU7I83LkD_XQ-eVEx1jn3k1ISwdTKAojvgMf2TvTDFvR4xAaiJZLA2fDuQXXhDjI7duZdK8M27pWCIgw=w80-h106-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Bagus banget pelayanan nya ramah,","es krim","nya juga enak banget""","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTF0ZDBwMHhraxgBOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=NZr4aZOXLKajnesP3v-x6QU&ei=NZr4aZOXLKajnesP3v-x6QU&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online",""
"https://www.google.com/maps/place/Es+Dawet+Durian+Bar+Bar+Cirebon+%26+Radja+Es+Teler+Sultan/data=!4m7!3m6!1s0x2e6f1d0001f1176b:0x735e735f1476ee2c!8m2!3d-6.7297204!4d108.55243!16s%2Fg%2F11w1zd903x!19sChIJaxfxAQAdby4RLO52FF9zXnM?authuser=0&hl=id&rclk=1","Es Dawet Durian Bar Bar Cirebon & Radja Es Teler Sultan","4,5","(223)","Es Krim","·","7HC2+3XV, Jl. Dr. Setiabudi","Segera tutup","· 21.00 · Buka Sel pukul 09.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAGHKvyQZnTNnQKEpf2xKBcQ9wwM-V6pNjCwFzTtE88aid1PDTxQVAQZq-zlf6oI7kuXelcCLP7VsfdesVXEVUP60wn2KMp2Sw8BCVBdBdc80srvC7nMOO2k7qquiF5QIGJ8mzwMyIFtlMQ=w80-h106-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Saya order","es","teler,","","",""
"https://www.google.com/maps/place/Agen+Camelo+%2B+Rumah+Galih/data=!4m7!3m6!1s0x2e6f1df295706111:0x4c15457e0c882e58!8m2!3d-6.7371668!4d108.5445323!16s%2Fg%2F11df0lvbb_!19sChIJEWFwlfIdby4RWC6IDH5FFUw?authuser=0&hl=id&rclk=1","Agen Camelo + Rumah Galih","3,8","(4)","Es Krim","·","Jl. Sunyaragi Gg. Taman Sari III","Segera tutup","· 21.00 · Buka Sel pukul 07.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFsBvIRHnVvZZrHCGHc5uvwyCuRDxPfEGFdDbpyCQ4ULvOcIum8bEDe-K_qL-ChunHjQcw8w-pA1YpqLaIGLG6V-IJf4oVxva_qxdXIesl3iU64R4J08F2tBRul5aVNZKDiizAY=w80-h142-k-no","","Bawa pulang","","","","",""
"https://www.google.com/maps/place/Kedai+Ice+Cream+Putri/data=!4m7!3m6!1s0x2e6ee333dc3fd2f1:0xff426110fcdf4c8c!8m2!3d-6.6931441!4d108.5319754!16s%2Fg%2F11gv21tqrq!19sChIJ8dI_3DPjbi4RjEzf_BBhQv8?authuser=0&hl=id&rclk=1","Kedai Ice Cream Putri","4,5","(2)","Es Krim","·","Lovina Village, C No.37","Buka","· Tutup pukul 22.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAGxMoZB1P5cdlf0tYwDVZw1d8pS13gqoWNGswKaaDFARDlyZRe_27Y7B-sFMwhUJ5op8PsL9zhxyqOigfD1GONhoqmw-BsmyfvHL92j_wRK1ySrD_oca6F4ImkJ4Qqw9G8rzt6kdQ=w80-h106-k-no","","Makan di tempat","Bawa pulang","","","",""
"https://www.google.com/maps/place/Es+Krim+Mang+Kiman/data=!4m7!3m6!1s0x2e6f1d8d1c0f46dd:0xe3d3d4a2490512bb!8m2!3d-6.7335653!4d108.5510756!16s%2Fg%2F11h5s41_5y!19sChIJ3UYPHI0dby4RuxIFSaLU0-M?authuser=0&hl=id&rclk=1","Es Krim Mang Kiman","5,0","(1)","Es Krim","·","Jl. Gotong Royong, (Depan rumah ketua RT. 03 ) Gang Jari No. 54, Jl. Kesambi Dalam","Tutup","· Buka Sel pukul 09.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAGSSTO_9oPP0zZUSvAeA0oLikZg9X3wH3T-4uIM5BICCky0YcDwuytdxOLC1aVuENvQHaMH4InjXyuEZ0NZmC1pRBi6JN2jCT0Z0wqKjIKjDICheX6UNrFPEYK9KqNsPSW2H-akbQ=w163-h92-k-no","","Bawa pulang","","","","",""
"https://www.google.com/maps/place/c%27ADEM+mineral/data=!4m7!3m6!1s0x2e6f1d10b726d16f:0xc2c7b5d3d9b39d0c!8m2!3d-6.7583167!4d108.5615745!16s%2Fg%2F11mw46q6vx!19sChIJb9EmtxAdby4RDJ2z2dO1x8I?authuser=0&hl=id&rclk=1","c'ADEM mineral","4,3","(3)","Es Krim","·","Jl. Pamengkang Raya No.23","Segera tutup","· 21.00 · Buka Sel pukul 08.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAG_RFyUsN_b2c_DfVwvoQOTv-9_0Yroa2QhvcQdV7nul5vZL4xQ9xEfxv-EpaSUrvNmhfzXTI8Zp8Ht5JdwYPRH2A_mnwlRlhe5fTO4UgDB-HD_i1vPyZeqgYbYS58wOvdLGjO2tg=w163-h92-k-no","","Bawa pulang","","","","",""
"https://www.google.com/maps/place/haus!+Cirebon+Super+Block+Mall/data=!4m7!3m6!1s0x2e6ee302379f9b2d:0x29fb134faa97042c!8m2!3d-6.7186755!4d108.5497486!16s%2Fg%2F11stzy65qc!19sChIJLZufNwLjbi4RLASXqk8T-yk?authuser=0&hl=id&rclk=1","haus! Cirebon Super Block Mall","4,4","(127)","Es Krim","·","Komplek Chelsea, Blue Ruko, Jl. DR. Cipto Mangunkusumo No.26 9 - 10","Buka","· Tutup pukul 22.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAHgPdimrhQpsQLA6LxUdqkrNy7_2JFzVHNxgVXN6pjOMeQ38Pd6kkm-d_DDxXXi7CQ5X7EfkhAI82L7Os7nRNdvkIf947-VrQ1Yt9l8VodUKoUH-LeGf5VHTGyj9MDjfis1atnG=w80-h142-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Produknya enak""","","","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTFzdHp5NjVxYxgBOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=NZr4aZOXLKajnesP3v-x6QU&ei=NZr4aZOXLKajnesP3v-x6QU&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online",""
"https://www.google.com/maps/place/aice+cream/data=!4m7!3m6!1s0x2e6ee35ab6aa0fe1:0x6d2fb09ef6b998cb!8m2!3d-6.7216477!4d108.5623871!16s%2Fg%2F11sf44jc54!19sChIJ4Q-qtlrjbi4Ry5i59p6wL20?authuser=0&hl=id&rclk=1","aice cream","5,0","(2)","Es Krim","·","Jl. Pekalipan No.19","","","https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=d913MevoipL3Iwi0K-6qkw&cb_client=search.gws-prod.gps&w=80&h=92&yaw=83.81931&pitch=0&thumbfov=100","","Bawa pulang","","","","",""
"https://www.google.com/maps/place/Es+Krim+Swasta+Wahidin/data=!4m7!3m6!1s0x2e6ee32a217eca61:0xc9f39fab6f8fd09d!8m2!3d-6.7110442!4d108.5507237!16s%2Fg%2F11wj5dx9rx!19sChIJYcp-ISrjbi4RndCPb6uf88k?authuser=0&hl=id&rclk=1","Es Krim Swasta Wahidin","5,0","(12)","Es Krim","·","Jl. Dr. Wahidin Sudirohusodo No.66","Tutup","· Buka Sel pukul 11.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAEFAg-TUNKzdtsVGWwgc5mDRFhm1uQZePnsLV7SLCLOXvctD0JKRvgyY0-mu3-CWvWzFU0Y7iBrRYRBF0R1SkBb0ofzGmeOlHeZxier0X2RtmPd6t0pmb2q5B332I4oVa5EgdREZA=w163-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""","Es krim","Swasta pake topping matcha tuh bener-bener enak!""","","",""
"https://www.google.com/maps/place/M2D+Ice+Cream/data=!4m7!3m6!1s0x2e6f1d21daa665ed:0x3d923656336cfe1!8m2!3d-6.7493382!4d108.5606583!16s%2Fg%2F11gjn8cqw5!19sChIJ7WWm2iEdby4R4c82Y2Uj2QM?authuser=0&hl=id&rclk=1","M2D Ice Cream","","","Es Krim","·","Jl. Ciremai Raya No.144 A","Segera tutup","· 21.00 · Buka Sel pukul 09.00","https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=U0CZ1YWjWnI4WEygmXveSw&cb_client=search.gws-prod.gps&w=80&h=92&yaw=256.61554&pitch=0&thumbfov=100","","Bawa pulang","","","","",""
"https://www.google.com/maps/place/Es+Krim+Naraa/data=!4m7!3m6!1s0x2e6ee352efc916e3:0x797a074bf264fcd1!8m2!3d-6.7219863!4d108.5273951!16s%2Fg%2F11wjjz9xwb!19sChIJ4xbJ71Ljbi4R0fxk8ksHenk?authuser=0&hl=id&rclk=1","Es Krim Naraa","","","Es Krim","·","Jl. Nyimas Pakungwati","Buka 24 jam","","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFAmFZ_EjSqCmjYqyOgc7kckqsYA0gxy7yEtpdBxawdjdBXEsyrix7s_Y058bQf5fz6b_PHvAEeMJM0EqrWKJeXb7kcVgE9Cxx2yd_PsiEz6cydpuVrd1x_sE0-1CLbdNs1XRvc=w80-h106-k-no","","Bawa pulang","","","","",""
"https://www.google.com/maps/place/Depo+Eskrim+lokal+dan+Diamon+SSR+gruop+putra+mandiri+es+krim+%28Bapak+arifin%2Fibu+lingling%29/data=!4m7!3m6!1s0x2e6ee1a9dcaf323f:0x492a9652ee601639!8m2!3d-6.7007942!4d108.5209463!16s%2Fg%2F11q2n9jxsl!19sChIJPzKv3Knhbi4RORZg7lKWKkk?authuser=0&hl=id&rclk=1","Depo Eskrim lokal dan Diamon SSR gruop putra mandiri es krim (Bapak arifin/ibu lingling)","5,0","(3)","Es Krim","·","Jl. Triguna No.20","Tutup","· Buka Sel pukul 07.00","https://maps.gstatic.com/tactile/pane/result-no-thumbnail-2x.png","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Esnya enak rasa susu dan vanila asli merek diamond,,, makyuuuss,,,""","","","","",""
"https://www.google.com/maps/place/Ice+Cream+Cingcau+Lugina/data=!4m7!3m6!1s0x2e6f1d8650f65129:0xf3bd9abf2aed2fc6!8m2!3d-6.7374339!4d108.5498626!16s%2Fg%2F11whdpgd0d!19sChIJKVH2UIYdby4Rxi_tKr-avfM?authuser=0&hl=id&rclk=1","Ice Cream Cingcau Lugina","","","Toko Makanan","·","Jl. Kesambi","Segera tutup","· 21.00 · Buka Sel pukul 09.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFA_cFrxZuEAjMq0HpyneUs6ip9gaMOE_wNY2JbEGDEMb1UrYFYccDVhoSd4wqHqsfb90CEPT1M1QMyZI4_Y5aOklj_QTP379QR5yqcnO28XycrqYt6o9cDNpkny_8Yw9a8Ite7=w80-h106-k-no","","Bawa pulang","","","","",""
"https://www.google.com/maps/place/Haus!+Ciremai+Raya/data=!4m7!3m6!1s0x2e6f1d13290e4691:0xc92ea1be4dffc8e2!8m2!3d-6.7513519!4d108.5604353!16s%2Fg%2F11rgg5fff6!19sChIJkUYOKRMdby4R4sj_Tb6hLsk?authuser=0&hl=id&rclk=1","Haus! Ciremai Raya","4,4","(128)","Es Krim","·","Jl. Ciremai Raya No.67 B","Buka","· Tutup pukul 22.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAGDFkYK3w_vAMIc7SWvo215Vcfkzd2e6lFh4C_WGL4M5D7ezfboGeXo6w_sigaJYuKwaRP1DsS9tsnzK9kdgFmjN4jp7cV4u2d9JKxAMVoilkLcoWJBrmWkJbW6jwE-v0MzHxXV=w80-h142-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""","Es","creamnya enak tp Sayangnya utk makan d tempat suasananya kurang nyaman""","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTFyZ2c1ZmZmNhgBOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=NZr4aZOXLKajnesP3v-x6QU&ei=NZr4aZOXLKajnesP3v-x6QU&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online",""
