"hfpxzc href","qBF1Pd","MW4etd","UY7F9","AJB7ye","AJB7ye 2","W4Efsd","W4Efsd 2","doJOZc","W4Efsd 3","W4Efsd 4","W4Efsd 5","W4Efsd 6","FQ2IWe src","Jn12ke src","ah5Ghc","A1zNzb href","J8zHNe","bbPy1","M4A5Cf","ah5Ghc 2"
"https://www.google.com/maps/place/Waroeng+De%22Pojok/data=!4m7!3m6!1s0x2e6ee239401afe3b:0xbbdd3f5bcd0c168c!8m2!3d-6.73889!4d108.5383502!16s%2Fg%2F11h9x5hp0q!19sChIJO_4aQDnibi4RjBYMzVs_3bs?authuser=0&hl=id&rclk=1","Waroeng De""Pojok","5,0","(6)","","","Rumah Makan","·","","Jl. Kandang Perahu No.14","","Buka","· Tutup pukul 21.30","https://lh3.googleusercontent.com/gps-cs-s/APNQkAHpxIZMFjqd1XPpYIVqx13MC2GDND4h2Tk3zVaPLwg1NKDunnnafRV1Hp_ugwoLmrf6gbqixVpLhmkosQvRh82EFEOFNyyxzCaYwt6JD7vVSy-lZbLl-iPIH0pQrnBT1M5wbNmm=w92-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Pelayanan nya baik bnget yg punya nya juga baik banget🙏""","","","","",""
"https://www.google.com/maps/place/Kedai+Tenggo/data=!4m7!3m6!1s0x2e6f1d8d084da37b:0xdb421fdd4b55c4ed!8m2!3d-6.7364532!4d108.5490024!16s%2Fg%2F11c1wjs30n!19sChIJe6NNCI0dby4R7cRVS90fQts?authuser=0&hl=id&rclk=1","Kedai Tenggo","4,6","(1.510)","·","Rp 25–50 rb","Restoran","·","","·","Jl. Sunyaragi No.1","Segera tutup","· 21.00 · Buka Sel pukul 11.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAErsbhoxe__gM5QdMMiZzBnpzEcsZsmM8SCJpEvlDtCicQHEG32_V1b9-0Zh8n-WLjumenk6by0C7Lv12qHkaXJOC-4JGw7gaWXZ5cBBj884ZEbe9BjoT_iddXPpg9VjiFGVfqLjg=w163-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Menu makanan enak dan harga terjangkau.""","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTFjMXdqczMwbhgBOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=XZn4aenUMN-RseMP063eiAE&ei=XZn4aenUMN-RseMP063eiAE&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online","","",""
"https://www.google.com/maps/place/Little+Nyonya+Restaurant/data=!4m7!3m6!1s0x2e6ee30074c1bcad:0xc1c52b62beb0d791!8m2!3d-6.7190939!4d108.5562532!16s%2Fg%2F11wn0rbklq!19sChIJrbzBdADjbi4RkdewvmIrxcE?authuser=0&hl=id&rclk=1","Little Nyonya Restaurant","4,9","(410)","·","Rp 25–50 rb","Masakan Asia","·","","Jl. Garuda No.14","","Segera tutup","· 20.40 · Buka Sel pukul 10.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAEv8Lw6s2-Rf61TuRNyJoZIBj4RBurtN4RNik20PftbreO44TbJqSOBS3GPz4GwC4fTKJm60W_B0MefzfmUqTBJ_gT0lgduJutZ3C1U6OrdhzjYwuRzn2ZrBPxrmcuq2c5dbFK2RykMR50b=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Makan dan minumannya enak, servicenya bagus, tempatnya nyaman dan bersih""","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTF3bjByYmtscRgBOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=XZn4aenUMN-RseMP063eiAE&ei=XZn4aenUMN-RseMP063eiAE&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online","","",""
"https://www.google.com/maps/place/RM+Ciganea+Cirebon+Pemuda/data=!4m7!3m6!1s0x2e6f1d2da17e426f:0x1c804e1bbacdd44f!8m2!3d-6.7290402!4d108.5469759!16s%2Fg%2F11shdbq06g!19sChIJb0J-oS0dby4RT9TNuhtOgBw?authuser=0&hl=id&rclk=1","RM Ciganea Cirebon Pemuda","4,5","(228)","·","Rp 25–50 rb","Sunda","·","","Jl. Pemuda Raya No.22","","Segera tutup","· 21.00 · Buka Sel pukul 09.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAGj9ragp1HkLwSXaXS-T1MT6B61_bBi3FlVqbgdL9uESVVr0InBVnVYsf7MCIdtRwddrORokXjFVsKxPLa2F4bWEYWKQpU8DcyNUtHewgRofHwA7uLksWLivqf5aiE5959-GtM4=w80-h106-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Makanan enak, ayamnya berbeda dengan","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTFzaGRicTA2ZxgBOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=XZn4aenUMN-RseMP063eiAE&ei=XZn4aenUMN-RseMP063eiAE&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online","","","restoran"
"https://www.google.com/maps/place/Mie+Ayam+Bas%27Ker+Pas+Di+Hati/data=!4m7!3m6!1s0x2e6f1d177e9043fd:0xa4192a9811a81ddb!8m2!3d-6.7397577!4d108.5348878!16s%2Fg%2F11j7ygpfnx!19sChIJ_UOQfhcdby4R2x2oEZgqGaQ?authuser=0&hl=id&rclk=1","Mie Ayam Bas'Ker Pas Di Hati","5,0","(2)","","","Mi","·","","Jl. Terusan Sekar Kemuning","","Buka","· Tutup pukul 22.10","https://lh3.googleusercontent.com/gps-cs-s/APNQkAGI8EDUVD36tuYFtwtCMv9dRfZm9YQandz3MZAR6ifv96rhFDpvmj-ReqyfGBkQKCQOudQyTPO2VkDFCJGnPBi9Q3XV7zfYLxovK3gvKuzzHvw07sGbV0l_93lVpH6jMtj8brBvFmGCI3xZ=w80-h97-k-no","","Makan di tempat","","","","·","Bawa pulang"
"https://www.google.com/maps/place/Warteg+Berkah+Gaul+Pak+Ali/data=!4m7!3m6!1s0x2e6f1d03565112d7:0x4b453724c84e8354!8m2!3d-6.7357697!4d108.5336202!16s%2Fg%2F11c71fw204!19sChIJ1xJRVgMdby4RVINOyCQ3RUs?authuser=0&hl=id&rclk=1","Warteg Berkah Gaul Pak Ali","4,2","(19)","","","Tegal","·","","·","Jl. Perjuangan No.45","Buka","· Tutup pukul 22.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFnmWcUEal2foTdqa8fwhq7a9wr8fnfbonZjcufOn41aOXHFMjvL9FiG0_xjwXc0GVlGqJUPaeJos26cgmdKiRIrPt2D-_mQBMbLDMo_ejwfZZ7v8Huyy7MDAm-wOzXRa3pOyQ=w80-h106-k-no","","Makan di tempat","","","","·","Bawa pulang"
"https://www.google.com/maps/place/Warung+Khas+Sunda+%28Mamah+Faisal%29/data=!4m7!3m6!1s0x2e6ee36b2f054f43:0xa18d9c675424f2fe!8m2!3d-6.713866!4d108.5355807!16s%2Fg%2F11hmpnq3ss!19sChIJQ08FL2vjbi4R_vIkVGecjaE?authuser=0&hl=id&rclk=1","Warung Khas Sunda (Mamah Faisal)","4,8","(46)","·","$$","Sunda","·","","Jl. Cideng Raya No.124","","Buka 24 jam","","https://lh3.googleusercontent.com/gps-cs-s/APNQkAGm8Zp-2EGNeItzNDSujvwg3TD2J5WLT4cFskjHgAQCGYmru4dGKu-fvhPWcDxJoD_jxuHxuZjhBlPVxtnOV-kyAv58EohdHDYJqD2TSlBQdShrTJXc3urYtFvzzaLOqpbUou4J=w129-h92-k-no","","Makan di tempat","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTFobXBucTNzcxgBOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=XZn4aenUMN-RseMP063eiAE&ei=XZn4aenUMN-RseMP063eiAE&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online","","·","Bawa pulang"
"https://www.google.com/maps/place/Warung+A%27Pandi/data=!4m7!3m6!1s0x2e6f1da122bb497f:0x2e67b6646d38fd3d!8m2!3d-6.7379687!4d108.5355788!16s%2Fg%2F11g1mdr86y!19sChIJf0m7IqEdby4RPf04bWS2Zy4?authuser=0&hl=id&rclk=1","Warung A'Pandi","4,8","(6)","","","Rumah Makan","·","","7G6P+R68, Jl. Kandang Perahu","","Tutup","· Buka Sel pukul 07.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFbgYdteyfR3RWotrjaHS3Nam_zMtJtCT2jc4nnTtXE_2emJTHUrPhG1IZ7gyLts4biOxKxTvqhu7Gtme_UM1XRt8YvTEmtKMp4w2FdRCiIdlVTVyTrJi0nLY2mFV9KqHnUJDs=w80-h106-k-no","","Makan di tempat","","","","·","Bawa pulang"
"https://www.google.com/maps/place/Ayam+Backpacker/data=!4m7!3m6!1s0x2e6f1dfa5ccc0bbf:0x35632946fe79d438!8m2!3d-6.7355829!4d108.5327296!16s%2Fg%2F11fzb0mrrz!19sChIJvwvMXPodby4RONR5_kYpYzU?authuser=0&hl=id&rclk=1","Ayam Backpacker","4,5","(298)","·","Rp 1–25.000","Ayam","·","","·","Jl. Perjuangan Ruko PDK","Segera tutup","· 20.30 · Buka Sel pukul 08.30","https://lh3.googleusercontent.com/gps-cs-s/APNQkAHC2EglxerxXiPgTQtOzlI9BENCNkKXUaNI1ELDO6Mh7wY9BMuRT3FETRvV6NCCwH1XKE9EoLEl_B6bpZVdzkPkTyIngGKDqy8vzY-fP_wpk5CnV85JZQU_ckycfx0EfwqVB__z=w92-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""harganya murah, makanan yaa maknyos , pelayanan ya cepet""","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTFmemIwbXJyehgBOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=XZn4aenUMN-RseMP063eiAE&ei=XZn4aenUMN-RseMP063eiAE&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online","","",""
"https://www.google.com/maps/place/Warung+Cherbon/data=!4m7!3m6!1s0x2e6f1dec95438c1f:0xcc4c240ad0273272!8m2!3d-6.7421219!4d108.5447583!16s%2Fg%2F11bz_0zf83!19sChIJH4xDlewdby4RcjIn0AokTMw?authuser=0&hl=id&rclk=1","Warung Cherbon","4,4","(1.391)","·","Rp 1–25.000","Jawa","·","","·","Jl. Kanggraksan No.88","Segera tutup","· 21.00 · Buka Sel pukul 07.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAE8e7-v4PGueX6phUH4TAjjMHwYgibw5-TNi1w1LQ7hspjMiGg8WJSrJBhIBBYxvAeKCOJ7UBK_AOmceIfc7yGMZf_q5K3KHbMfZG-0ECMN_yz6fI5WzBS_0rlWCDvcOoIc7gwh=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Puas ambil nasi dan lauk sepuasnya dengan pilihan banyak banget.""","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTFiel8wemY4MxgBOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=XZn4aenUMN-RseMP063eiAE&ei=XZn4aenUMN-RseMP063eiAE&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online","","",""
