"hfpxzc href","qBF1Pd","MW4etd","UY7F9","AJB7ye","AJB7ye 2","W4Efsd","W4Efsd 2","W4Efsd 3","W4Efsd 5","W4Efsd 6","FQ2IWe src","Jn12ke src","ah5Ghc","ah5Ghc 2","M4A5Cf"
"https://www.google.com/maps/place/KedaiP!/data=!4m7!3m6!1s0x2e6f1d412c9208df:0x4b300a142edd0e16!8m2!3d-6.7358674!4d108.5313942!16s%2Fg%2F11vy7d4b36!19sChIJ3wiSLEEdby4RFg7dLhQKMEs?authuser=0&hl=id&rclk=1","KedaiP!","5,0","(17)","","","Toko Makanan Sehat","·","Jl. Perjuangan No.10a","Tutup","· Buka Sel pukul 08.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAH0NaD1WfCDIAxDF4ZMm8YjO110jjR3a5creAiirwC4JW8Pl_sSkljOuOSPeIg0Pf_yKeQ1yLq5feMSNRKlZAZReTTV69eAfx0fWTfOEKCAis9dkOrqA81Xp3coVvKysswPXok=w80-h106-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Chicken karage nya enakk bangettt 💛💛💛""","",""
"https://www.google.com/maps/place/Kedai+13/data=!4m7!3m6!1s0x2e6f1d0025bf1711:0xc4604754313c9c8c!8m2!3d-6.736763!4d108.534862!16s%2Fg%2F11nj5frgm4!19sChIJERe_JQAdby4RjJw8MVRHYMQ?authuser=0&hl=id&rclk=1","Kedai 13","","","","","Broker Makanan","·","Jl. Kandang Perahu Gg. Untag No.13","","","https://maps.gstatic.com/tactile/pane/result-no-thumbnail-2x.png","","","",""
"https://www.google.com/maps/place/Kedai+PAJENG/data=!4m7!3m6!1s0x2e6f1d3be56538e3:0x98cb812dd40d1970!8m2!3d-6.7298869!4d108.5247597!16s%2Fg%2F11s90rqcjh!19sChIJ4zhl5Tsdby4RcBkN1C2By5g?authuser=0&hl=id&rclk=1","Kedai PAJENG","4,4","(29)","·","Rp 1–25.000","Kedai Kopi","·","7GCF+3WR, Jl. Jaka Yuda","Buka","· Tutup pukul 00.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAHVwvmTv2refzEapZmovjAimYAgtR6HBzck829LO4zqkNDuhAakVuWS6BlhzEWk6zBfXbDVZmz1ii8Larka91wVMg6crdoSJbQl65x8tZVsur7hQK7PR41rZ1NyNZmcpP10gDWyjJ6cDw46=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Tempat enak santai harga murah mantap...""","",""
"https://www.google.com/maps/place/Kedai+Abi+Harjamukti/data=!4m7!3m6!1s0x2e6f1d28261b317f:0xc44ad54b34c15e7e!8m2!3d-6.7469783!4d108.5353373!16s%2Fg%2F11nxsxyhm4!19sChIJfzEbJigdby4Rfl7BNEvVSsQ?authuser=0&hl=id&rclk=1","Kedai Abi Harjamukti","4,6","(18)","·","Rp 1–25.000","Rumah Makan","·","as syuhada. Di dalam ada Perempatan belok kiri, Jl.kalitanjung.kp penyuken rt02, rw05 Gg. Masjid","Buka 24 jam","","https://lh3.googleusercontent.com/gps-cs-s/APNQkAEnm3EHVBJHGYGxtRIl4GvGpL5WyjK3iTlgGzco8YArPEYzGCl4HVgOzY62OiKMaB8towmo0Q7QiG0dKnO4Ef18H4-GY6ppR4F8WjIM4jnt7DxHQVXl8mU4Zvptqm--HOLrtAyA=w85-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Menunya bervariasi, rasanya enak terutama sambalnya, dan harganya standar""","",""
"https://www.google.com/maps/place/Kedai+Mamah+Ramdhan/data=!4m7!3m6!1s0x2e6f1d1925fdeee3:0x759ab0277065d94d!8m2!3d-6.7384528!4d108.5353576!16s%2Fg%2F11hzxrxcqk!19sChIJ4-79JRkdby4RTdllcCewmnU?authuser=0&hl=id&rclk=1","Kedai Mamah Ramdhan","","","","","Restoran","·","Jl. Terusan Sekar Kemuning No.29","Buka 24 jam","","https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=jat2AFdrXu4qxSy6VjA3cg&cb_client=search.gws-prod.gps&w=80&h=92&yaw=128.12549&pitch=0&thumbfov=100","","Makan di tempat","Bawa pulang","·"
"https://www.google.com/maps/place/kedai+malam+yug%3Ddhasari/data=!4m7!3m6!1s0x2e6f1d0023bdda8d:0x6f7d7a917078a03a!8m2!3d-6.735076!4d108.5348151!16s%2Fg%2F11x68czkdc!19sChIJjdq9IwAdby4ROqB4cJF6fW8?authuser=0&hl=id&rclk=1","kedai malam yug=dhasari","5,0","(1)","","","Kedai Kopi","·","7G7M+XW8, Jl. Yudhasari II","","","https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=xtHOkrZzX1j1J2HA6VMR-g&cb_client=search.gws-prod.gps&w=80&h=92&yaw=112.870865&pitch=0&thumbfov=100","","Makan di tempat","",""
"https://www.google.com/maps/place/kedai+dozan/data=!4m7!3m6!1s0x2e6f1d007bd8889b:0xbfd31a5738189082!8m2!3d-6.7388787!4d108.5369195!16s%2Fg%2F11w9hzf9qk!19sChIJm4jYewAdby4RgpAYOFca078?authuser=0&hl=id&rclk=1","kedai dozan","","","","","Brunch","·","7G6P+CQV, Gg. Gua Sininih","Buka","· Tutup pukul 21.00","https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=OLXfeJWVv8hjKNV9dOekYw&cb_client=search.gws-prod.gps&w=80&h=92&yaw=229.141&pitch=0&thumbfov=100","","Makan di tempat","Bawa pulang","·"
"https://www.google.com/maps/place/KEDAI+KAVIN/data=!4m7!3m6!1s0x2e6f1d0022ee5403:0x7a3ce6216728311!8m2!3d-6.7336577!4d108.5347379!16s%2Fg%2F11x1cf_0vx!19sChIJA1TuIgAdby4REYNyFmLOowc?authuser=0&hl=id&rclk=1","KEDAI KAVIN","4,9","(7)","·","Rp 1–25.000","Brunch","·","Jl. Yudhasari II No.25","Segera tutup","· 20.00 · Buka Sel pukul 10.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAHE-P_3_ehNyfETJT2shOMd3qhdub63gIt8FGHiLgq3W_ZklQs3hFZiS5LLnnKuWODF2nqxQUN5PBxUv4qfAOXOMUzbNR8DodV9PDDRmt-Obj6CwCxdhEFmK5CkPCAv61ikE_tS=w92-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Mie bangladesh nya enak banget disiniiiiii😍 bumbunya kerasa.""","",""
"https://www.google.com/maps/place/Kedai+Kopi+R/data=!4m7!3m6!1s0x2e6f1d68e7f8d38d:0x8121013e745e250a!8m2!3d-6.7510129!4d108.5410047!16s%2Fg%2F11h55f0cs5!19sChIJjdP452gdby4RCiVedD4BIYE?authuser=0&hl=id&rclk=1","Kedai Kopi R","4,7","(153)","·","Rp 1–25.000","Kedai Kopi","·","·","Buka","· Tutup pukul 21.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAETF0dCk_R-W_puqoBRMdUl0Dv9eoc3RWphFkrEQVieu0pApeFaNtphOB9y114XUt_dSz0gdRgiffVXRrvztOqKYyqV3jRm9feojS5pFsYk6-hgiEIZeg5ZW8lnOo6AOPUaPvLv=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""tempat nyaman, makanan sedap, minuman ok, pelayanan mantap..""","",""
"https://www.google.com/maps/place/Kedai+Mbak+%C3%A8lin/data=!4m7!3m6!1s0x2e6f1d0016d4a4b1:0xdd16a76e74cca4d6!8m2!3d-6.7350372!4d108.5294556!16s%2Fg%2F11yb2yq8j6!19sChIJsaTUFgAdby4R1qTMdG6nFt0?authuser=0&hl=id&rclk=1","Kedai Mbak èlin","5,0","(2)","","","Masakan Asia","·","Jl. Perjuangan II No.47","Buka","· Tutup pukul 22.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAGsAURqBMQgC66LFd3GEk4ncY1Xyc3WngjD-X_7b2D7Ls443QnZYaofl1ZFWccyzcBmrhwuNV_06waoxSOTrzkgYk8NcLmloEeOqlvFbgajDBfrZMq3ZKvBNIpnlbaPhBk224Jn2g=w122-h92-k-no","","Makan di tempat","Bawa pulang","·"
