"hfpxzc href","qBF1Pd","MW4etd","UY7F9","W4Efsd","W4Efsd 2","doJOZc","W4Efsd 3","W4Efsd 4","W4Efsd 5","W4Efsd 6","W4Efsd 7","UsdlK","Cw1rxd","R8c4Qb","Jn12ke src","ah5Ghc","lcr4fd href","Cw1rxd 2","R8c4Qb 2"
"https://www.google.com/maps/place/Indomaret+Kepongpongan/data=!4m7!3m6!1s0x2e6f1e7955555571:0x372229b9d487d8ba!8m2!3d-6.7530638!4d108.5170923!16s%2Fg%2F1pztkgwv7!19sChIJcVVVVXkeby4RutiH1LkpIjc?authuser=0&hl=id&rclk=1","Indomaret Kepongpongan","4,2","(45)","Minimarket","·","","·","Buka 24 jam","6GW8+QPM, Jl. Pangeran Cakrabuana No.Rt.01/01","","·","(021) 1500280","","Situs Web","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Dekat rumah, ada atm""","http://www.indomaret.co.id/","","Rute"
"https://www.google.com/maps/place/Indomaret+Fresh+Tentara+Pelajar/data=!4m7!3m6!1s0x2e6ee26e9d72582b:0x46e2e02a3b1b86b!8m2!3d-6.7147222!4d108.5538383!16s%2Fg%2F1pzt4vjcg!19sChIJK1hynW7ibi4Ra7ixowIubgQ?authuser=0&hl=id&rclk=1","Indomaret Fresh Tentara Pelajar","3,4","(111)","Minimarket","·","","·","Buka 24 jam","Jl. Tentara Pelajar","","·","(0231) 223341","","Situs Web","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Tempatnya luas bersih pelayanannya ramah dan cepat""","http://www.indomaret.co.id/","","Rute"
"https://www.google.com/maps/place/Alfamart+Cakrabuana/data=!4m7!3m6!1s0x2e6f1e6e11305d8f:0x20e884b1cc34fe4b!8m2!3d-6.7557979!4d108.5097457!16s%2Fg%2F11ckky54kh!19sChIJj10wEW4eby4RS_40zLGE6CA?authuser=0&hl=id&rclk=1","Alfamart Cakrabuana","4,0","(297)","Minimarket","·","","·","Jl. Pangeran Cakrabuana Desa, RT.03/RW.06","Buka 24 jam","","·","(021) 1500959","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Alfa yg lengkap depan mountoya""","","",""
"https://www.google.com/maps/place/Gado-Gado+Pa+Eko+Depan+Toko+Arafah/data=!4m7!3m6!1s0x2e6f1dfc92bc0d9f:0xc677fd9f80a1afe1!8m2!3d-6.7371977!4d108.5270415!16s%2Fg%2F11c1vpg0y4!19sChIJnw28kvwdby4R4a-hgJ_9d8Y?authuser=0&hl=id&rclk=1","Gado-Gado Pa Eko Depan Toko Arafah","4,4","(68)","Vegetarian","·","","·","7G7G+4RF, Jl. Perjuangan II","Tutup","· Buka Sel pukul 10.00","·","0819-0988-6182","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Enak banget, bikin ketagihan seriussss""","","",""
"https://www.google.com/maps/place/Kita+Mart+%28Pengecer+blue+gaz%29/data=!4m7!3m6!1s0x2e6f1d1ee4007f4f:0x9f517cd877613e5e!8m2!3d-6.7517264!4d108.555697!16s%2Fg%2F11f765z1dp!19sChIJT38A5B4dby4RXj5hd9h8UZ8?authuser=0&hl=id&rclk=1","Kita Mart (Pengecer blue gaz)","4,6","(120)","Toko","·","","·","Segera tutup","Jl. Gn. Galunggung Permai","· 21.00 · Buka Sel pukul 07.00","·","0895-3915-74300","","Situs Web","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""","https://www.bluegaz.co.id/","","Rute"
"https://www.google.com/maps/place/Yomart+Tuparev/data=!4m7!3m6!1s0x2e6ee21443ae7b7b:0xcf875bfe48344088!8m2!3d-6.7112979!4d108.5424101!16s%2Fg%2F11bz_2zcvd!19sChIJe3uuQxTibi4RiEA0SP5bh88?authuser=0&hl=id&rclk=1","Yomart Tuparev","4,2","(101)","Minimarket","·","","·","Jl. Tuparev No.85a","Buka","· Tutup pukul 22.00","·","0815-7224-2153","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""coffee terbaik, harga murmer💯""","","",""
"https://www.google.com/maps/place/Makmuri/data=!4m7!3m6!1s0x2e6ee3b35c67aa37:0x332b36aa7ce0e62b!8m2!3d-6.7177312!4d108.5531009!16s%2Fg%2F11f8ht7y3t!19sChIJN6pnXLPjbi4RK-bgfKo2KzM?authuser=0&hl=id&rclk=1","Makmuri","4,5","(2)","Toko Swalayan","·","","Jl. Arya Kiban No.39","·","Buka","· Tutup pukul 23.00","","0822-1422-13096","","Rute","","","","",""
"https://www.google.com/maps/place/Indomaret+Gunung+Galunggung/data=!4m7!3m6!1s0x2e6f1dbcc00e767d:0xab12123a067d026b!8m2!3d-6.7517476!4d108.5567721!16s%2Fg%2F11gccgphy9!19sChIJfXYOwLwdby4RawJ9BjoSEqs?authuser=0&hl=id&rclk=1","Indomaret Gunung Galunggung","4,0","(130)","Minimarket","·","","·","Buka","Jl. Gn. Galunggung Permai No.140","· Tutup pukul 22.00","","","","Situs Web","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""","http://www.indomaret.co.id/","","Rute"
"https://www.google.com/maps/place/Indomaret+A+Yani+Bypass/data=!4m7!3m6!1s0x2e6f1d9c130bce4f:0x6475524b40d3e551!8m2!3d-6.7417961!4d108.5647365!16s%2Fg%2F11bc7prgsq!19sChIJT84LE5wdby4RUeXTQEtSdWQ?authuser=0&hl=id&rclk=1","Indomaret A Yani Bypass","4,3","(71)","Minimarket","·","","·","Buka","Jl. Ahmad Yani","· Tutup pukul 22.00","·","(0231) 220782","","Situs Web","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Tokonya nyaman""","https://indomaret.co.id/","","Rute"
"https://www.google.com/maps/place/Assalam+mini+market/data=!4m7!3m6!1s0x2e6f1d409bf7972d:0x2619dc6827f3f822!8m2!3d-6.7613079!4d108.5317238!16s%2Fg%2F11tx_v479x!19sChIJLZf3m0Adby4RIvjzJ2jcGSY?authuser=0&hl=id&rclk=1","Assalam mini market","3,2","(5)","Minimarket","·","","6GQJ+FMH, Jl. Jenderal Sudirman","","","","","","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Lumayan Bagus Penjualannya.""","","",""
