"hfpxzc href","qBF1Pd","MW4etd","UY7F9","W4Efsd","W4Efsd 2","W4Efsd 3","W4Efsd 4","W4Efsd 5","W4Efsd 6","UsdlK","Cw1rxd","R8c4Qb","Jn12ke src","ah5Ghc"
"https://www.google.com/maps/place/Fotocopy+Wa%27+Min/data=!4m7!3m6!1s0x2e6f1dfa5c8eed33:0x613753b34f63968e!8m2!3d-6.7355265!4d108.5325869!16s%2Fg%2F11g03m8czz!19sChIJM-2OXPodby4RjpZjT7NTN2E?authuser=0&hl=id&rclk=1","Fotocopy Wa' Min","4,0","(5)","Kantor Perusahaan","·","7G7M+Q2P dpn kampus syariah, Jl. Perjuangan","Tutup","· Buka Sel pukul 08.00","·","0831-2097-8232","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Murah, cepat dan rapiiii"""
"https://www.google.com/maps/place/Express+Print+Shop+Percetakan+Online+Cirebon+Digital+Printing+Cirebon+24+JAM+by+NAISEZ./data=!4m7!3m6!1s0x2e6f1d6e0bfcb76b:0xe8c7ad55e7bc08e9!8m2!3d-6.7343907!4d108.5480786!16s%2Fg%2F11ts198h73!19sChIJa7f8C24dby4R6Qi851Wtx-g?authuser=0&hl=id&rclk=1","Express Print Shop Percetakan Online Cirebon Digital Printing Cirebon 24 JAM by NAISEZ.","5,0","(1)","Percetakan Komersial","·","belakang kuburan kristen, Jl. DR. Cipto Mangunkusumo","Buka 24 jam","","·","0819-1972-7277","","Situs Web","","Janji temu online"
"https://www.google.com/maps/place/Anugrah+Utama+Photo+Copy+Digital+%26+Print/data=!4m7!3m6!1s0x2e6ee21c391d0a8b:0xcbb33562a938b949!8m2!3d-6.7146595!4d108.526471!16s%2Fg%2F11cs1rd87b!19sChIJiwodORzibi4RSbk4qWI1s8s?authuser=0&hl=id&rclk=1","Anugrah Utama Photo Copy Digital & Print","4,1","(49)","Toko Fotokopi","·","·","Buka","· Tutup pukul 22.00","Jl. Sultan Ageng Tirtayasa","0823-1948-6666","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Hasil"
"https://www.google.com/maps/place/Sultan+Print/data=!4m7!3m6!1s0x2e6f1d92927b935d:0x2e0bdc85d87501cd!8m2!3d-6.7392091!4d108.5485551!16s%2Fg%2F11hbc2bf41!19sChIJXZN7kpIdby4RzQF12IXcCy4?authuser=0&hl=id&rclk=1","Sultan Print","4,1","(480)","Printer Digital","·","Depan Pom Bensin, Rumah Sakit Ciremai Cirebon, Jl. Kesambi sebelum Lampu merah No.144","Tutup","· Buka Sel pukul 08.00","·","0811-1111-1265","","Situs Web","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Harga printing A3 berwarna 2400/lembar."""
"https://www.google.com/maps/place/OKI+PRINT/data=!4m7!3m6!1s0x2e6f1df0a65b822f:0x380bca421137136b!8m2!3d-6.7342587!4d108.5346447!16s%2Fg%2F11dzd1qqzk!19sChIJL4JbpvAdby4RaxM3EULKCzg?authuser=0&hl=id&rclk=1","OKI PRINT","","","Kantor Perusahaan","·","Jl. Yudhasari II No.6","Tutup","· Buka Sel pukul 08.00","·","0819-0982-5533","","Rute","",""
"https://www.google.com/maps/place/Cirebon+Printing/data=!4m7!3m6!1s0x2e6f1d92d8846ce9:0xfda4f759cedc1125!8m2!3d-6.7406534!4d108.5474693!16s%2Fg%2F11f3n9g0g1!19sChIJ6WyE2JIdby4RJRHczln3pP0?authuser=0&hl=id&rclk=1","Cirebon Printing","4,6","(308)","Printer Digital","·","·","Tutup","· Buka Sel pukul 08.00","Jl. Kanggraksan","0821-1929-2027","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png",""""
"https://www.google.com/maps/place/Saudara+Copy+Center+Pemuda/data=!4m7!3m6!1s0x2e6f1da89c902b61:0x30bf5c8cf8d75d49!8m2!3d-6.7295926!4d108.5449913!16s%2Fg%2F11fhrt5lgg!19sChIJYSuQnKgdby4RSV3X-IxcvzA?authuser=0&hl=id&rclk=1","Saudara Copy Center Pemuda","4,2","(9)","Toko Fotokopi","·","7GCV+5X9, Jl. Pemuda Raya","Buka","· Tutup pukul 22.00","·","0821-1533-5380","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Tempat"
"https://www.google.com/maps/place/Percetakan+%26+Digital+Printing+FON+PRINT/data=!4m7!3m6!1s0x2e6f1d0038c1b9f1:0x27623c664882926c!8m2!3d-6.751195!4d108.5519332!16s%2Fg%2F11yqx97x98!19sChIJ8bnBOAAdby4RbJKCSGY8Yic?authuser=0&hl=id&rclk=1","Percetakan & Digital Printing FON PRINT","5,0","(2)","Percetakan Komersial","·","Kmp, Jl. Pramuka Jl. Pesantren No.5, RT.04/RW.02","Buka","· Tutup Sel pukul 06.00","·","0896-3695-1912","","Rute","",""
"https://www.google.com/maps/place/Mingkuang+Copy+Servise/data=!4m7!3m6!1s0x2e6f1e73c5925307:0x367a78229a98d75e!8m2!3d-6.7539111!4d108.5145801!16s%2Fg%2F11f2grx8xp!19sChIJB1OSxXMeby4RXteYmiJ4ejY?authuser=0&hl=id&rclk=1","Mingkuang Copy Servise","3,6","(17)","Toko Percetakan","·","·","Buka","· Tutup pukul 21.30","Jl. Pangeran Cakrabuana Ruko Bukepin No.12A","0812-2202-2030","","Rute","","Belanja di toko"
"https://www.google.com/maps/place/MDK+Digital+Print/data=!4m7!3m6!1s0x2e6f1d04d5b64d27:0x728cdb517a280f1c!8m2!3d-6.7406475!4d108.5474338!16s%2Fg%2F11shq4ypn5!19sChIJJ0221QQdby4RHA8oelHbjHI?authuser=0&hl=id&rclk=1","MDK Digital Print","","","Layanan cetak digital","·","Jl. Kanggraksan Selatan No.33/35 002, RT.001","Buka","· Tutup Sel pukul 05.00","·","0811-2409-789","","Situs Web","",""
"https://www.google.com/maps/place/SJ+Digital+Printing/data=!4m7!3m6!1s0x2e6f1ded9dd1ab27:0x65a821b8800c3bb0!8m2!3d-6.7383528!4d108.5430967!16s%2Fg%2F11bc7stcw1!19sChIJJ6vRne0dby4RsDsMgLghqGU?authuser=0&hl=id&rclk=1","SJ Digital Printing","4,8","(18)","Toko Percetakan","·","·","Tutup","· Buka Sel pukul 08.30","Jl. Evakuasi No.2A","0821-2522-0007","","Rute","",""
"https://www.google.com/maps/place/Percetakan+Nayya+Printing+Cirebon/data=!4m7!3m6!1s0x2e6f1decc6ecd691:0x84f40e8ae6ac34f!8m2!3d-6.7389151!4d108.5487517!16s%2Fg%2F11g8cyj4kt!19sChIJkdbsxuwdby4RT8NqruhATwg?authuser=0&hl=id&rclk=1","Percetakan Nayya Printing Cirebon","4,2","(97)","Toko Percetakan","·","·","Tutup","· Buka Sel pukul 08.00","Jl. Kesambi No.242, RT.01/RW.09","0853-2042-2080","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Solusi cetak digital anda"""
"https://www.google.com/maps/place/ID+Printing+Percetakan+Cirebon/data=!4m7!3m6!1s0x2e6f1de4734dbdd1:0x924a7e242fb609f7!8m2!3d-6.7421125!4d108.5451033!16s%2Fg%2F11fc927df4!19sChIJ0b1Nc-Qdby4R9wm2LyR-SpI?authuser=0&hl=id&rclk=1","ID Printing Percetakan Cirebon","4,9","(75)","Percetakan Komersial","·","Jl. Kanggraksan","Tutup","· Buka Sel pukul 08.00","·","0878-7240-4963","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Good lah buat ID Printing Percetakan Cirebon sukses terus"""
"https://www.google.com/maps/place/Sun+Pollar+Percetakan+%26+Digital+Printing/data=!4m7!3m6!1s0x2e6f1d932d75063f:0x942b4c49790d1588!8m2!3d-6.7413123!4d108.5464932!16s%2Fg%2F11bw4cytn1!19sChIJPwZ1LZMdby4RiBUNeUlMK5Q?authuser=0&hl=id&rclk=1","Sun Pollar Percetakan & Digital Printing","4,4","(55)","Printer Digital","·","·","Tutup","· Buka Sel pukul 08.00","7G5W+FHH","(0231) 484368","","Situs Web","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Hasil nya memuaskan"""
