"hfpxzc href","qBF1Pd","MW4etd","UY7F9","W4Efsd","W4Efsd 2","W4Efsd 3","W4Efsd 4","W4Efsd 5","FQ2IWe src","Jn12ke src","ah5Ghc","A1zNzb href","J8zHNe","bbPy1","ah5Ghc 2","ah5Ghc 3"
"https://www.google.com/maps/place/ICE+TO+MEET+YOU/data=!4m7!3m6!1s0x2e69ed9c931ac12f:0x222454cc3281de59!8m2!3d-6.356144!4d106.8509039!16s%2Fg%2F11stgj120r!19sChIJL8Eak5ztaS4RWd6BMsxUJCI?authuser=0&hl=id&rclk=1","ICE TO MEET YOU","5,0","(1)","Es Krim","·","Jl. Menpor Palsigunung No.6","Tutup","· Buka Sel pukul 11.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAEDy6RbCtWpX-1uPqSZb62fIjqossoNH3C4TQTI44Mm2lnQ45BoiznBB-w_e4AZgX8SMA4PABHwjaMcZaa5LQy5jbXXhzh2ALhfgcmuWhA31zthb3tutMRfX5i8-3q_dpDxXkw=w122-h92-k-no","","Bawa pulang","","","","",""
"https://www.google.com/maps/place/Toko+Es+cream+sundae/data=!4m7!3m6!1s0x2e69eb8505ff1b6d:0xce68f87b5fb0edd5!8m2!3d-6.382926!4d106.8257313!16s%2Fg%2F11v9hfllnb!19sChIJbRv_BYXraS4R1e2wX3v4aM4?authuser=0&hl=id&rclk=1","Toko Es cream sundae","5,0","(3)","Es Krim","·","JR8G+R7H","Tutup","· Buka Sel pukul 08.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAGbiwljvHRZFUR3Aa0ZTWf0k0m2qofz76Y75dGdtvapYqhOvSt0HVHL5lOWtoC-8Uq_EzMjZ0Ov0B_ApQ8C-Pn33i-soitV28o9xnbgHJGZdyNiX9WiHUADmZO3DtTQZ4VDO6_6_Q=w92-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Enak, murah, pelayanan grecep...""","","","","",""
"https://www.google.com/maps/place/Taman+Jus+%26+Ice+Cream/data=!4m7!3m6!1s0x2e69ee9b28cc59a1:0xecc3eb61b6cba128!8m2!3d-6.3512632!4d106.8093981!16s%2Fg%2F11f3sg9zp5!19sChIJoVnMKJvuaS4RKKHLtmHrw-w?authuser=0&hl=id&rclk=1","Taman Jus & Ice Cream","4,6","(161)","Es Krim","·","Jl. Timbul No.15 2, RT.2/RW.3","Segera tutup","· 22.00 · Buka Sel pukul 09.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAHkfDRmjB8Wj_2C0rlQPv79bZd1uyP-1n4IalyDTvB_xfpq1o8jhjjfUpNHtRNKzZGnPns_EFxHmQPB1UqpDZIKjqlu7_ZU3y6vbIyKSCSBcA-4OoEJXvopcuUFwFOQgc4xc1-3=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Minuman dan","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTFmM3NnOXpwNRgBOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=Y7H4acDlMunjseMPzb-uwQs&ei=Y7H4acDlMunjseMPzb-uwQs&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online","","es","creamnya enak smua..
Harga juga bersahabat dikantong"""
"https://www.google.com/maps/place/Top+Durian+Depok/data=!4m7!3m6!1s0x2e69ed15b1b9eeb9:0xda0388b00d3abd73!8m2!3d-6.3554704!4d106.8516531!16s%2Fg%2F11smr_6w2g!19sChIJue65sRXtaS4Rc706DbCIA9o?authuser=0&hl=id&rclk=1","Top Durian Depok","4,5","(2)","Es Krim","·","Jl. Kompol M. Jasin, Jl. Akses UI Jl. Klp. Dua Raya No.57","Tutup","· Buka Sel pukul 10.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAF7DByMU3s5vJco3109EELQ_wRCTbLRKVnJXAgWS4aC6rJWBRsl3sVywZcbf57oXX7Fm_UCKU6BjLxVdFiKXUKpRV1vfUUMWWYsK3p66luNXB7YQmBnJIV3SPcpgKaaKIgiYQ_A0RThxO4=w80-h142-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Terima jasa service kursi kantor dan kursi lipat""","","","","",""
"https://www.google.com/maps/place/McDonald%27s+dessert+kiosk+Depok+town+square/data=!4m7!3m6!1s0x2e69ede9a560afb5:0x3fd7ffabeb79a3cf!8m2!3d-6.3725125!4d106.8323398!16s%2Fg%2F11sf4bm7sh!19sChIJta9gpentaS4Rz6N566v_1z8?authuser=0&hl=id&rclk=1","McDonald's dessert kiosk Depok town square","3,1","(7)","Es Krim","·","JRGJ+XWW","Segera tutup","· 22.00 · Buka Sel pukul 10.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAHj2Q3RP0LGjH_lhM3XFsBZCJfNT8VJ4G2Bd4atjqCIOj8MvyCkgkcGJlntN-3t7FIWyJS3qmnh678ihj5dPc7iWYZHq0q1aaOG05UNszgbhaw7fvrr-vNahDUFPhYuOdDaMvyQuIaXfUdK=w163-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Lumayan lah kalau lagi mau","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTFzZjRibTdzaBgBOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=Y7H4acDlMunjseMPzb-uwQs&ei=Y7H4acDlMunjseMPzb-uwQs&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online","","eskrim","enak dan murah meriah."""
"https://www.google.com/maps/place/Tens+Coffee+Kantin+Vokasi+UI/data=!4m7!3m6!1s0x2e69ed6df8f472a5:0x5f616297cf3a8408!8m2!3d-6.3688523!4d106.8217531!16s%2Fg%2F11ks6jynf_!19sChIJpXL0-G3taS4RCIQ6z5diYV8?authuser=0&hl=id&rclk=1","Tens Coffee Kantin Vokasi UI","5,0","(262)","Kedai Kopi","·","Universitas Indonesia, Kantin vokasi ui","Tutup","· Buka Sel pukul 08.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAHRinjZ4T-lqVhBtTeCc9sXXP4Y3dkJznqJ4NIHVvAnUHDSgBoGB-nFWXwE75N-6hqDn1lamnHDRk-JmeIx_nBiERp3zGhx9gm1ao4N-HOn9Tscj5gISmGftQPTDQPmdVVtOz8TIOs20VU=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Rasa","","","","eskrim","enak dan bawahnya di kasih roti, rasa eskrimnya rasa vanila."""
"https://www.google.com/maps/place/Juragan+Es+Krim+Seru+By+Walls/data=!4m7!3m6!1s0x2e69edac8afd9869:0x62a0c76e32d9845!8m2!3d-6.3518342!4d106.8524092!16s%2Fg%2F11hz7g5b7_!19sChIJaZj9iqztaS4RRZgt43YMKgY?authuser=0&hl=id&rclk=1","Juragan Es Krim Seru By Walls","5,0","(4)","Es Krim","·","JVX2+7X7, Lrg. Brigade","Tutup","· Buka Sel pukul 08.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFoGafot3rn4O9uXZfbR5BVmt7Zk08vcmPG20ur3F6WsL1EBSYctKE-gAh3F6FsZCq97DD6kYpj9nK8T2kyBuubwAIgMx-BoXnNhRW2rQURocYEcXUUH-RcjNs3PenzvnVHpfsv2g=w80-h106-k-no","","Pesan antar","","","","",""
"https://www.google.com/maps/place/Kedai+Es+Krim+NJib+%28N%EC%A7%91%29/data=!4m7!3m6!1s0x2e69ed0028aa3d85:0x853f52ab14f77ce0!8m2!3d-6.3803372!4d106.8251209!16s%2Fg%2F11wmx9swsd!19sChIJhT2qKADtaS4R4Hz3FKtSP4U?authuser=0&hl=id&rclk=1","Kedai Es Krim NJib (N집)","5,0","(2)","Es Krim","·","Jl. KH. Ahmad Dahlan No.58A, RT.001/RW004","Tutup","· Buka Sel pukul 10.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFGqev8GUWApids7uP_0qR8rVRQbicssEEJOeWrcccbbalkhVb3imKgyYx-G5TmUkNO3a1x-GH-_bGbMxtcAh6J4zOC0iGap9Jpj8MHmq63owTQjF_S01KYk8Ixi8IBIH4lUTfU9EgIkvA=w80-h142-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""","","","","Es","krimmya enak, nyusu, dan toppingnya gak pelit, cocok banget."""
"https://www.google.com/maps/place/Seloyang+Ice+Cream/data=!4m7!3m6!1s0x2e69ed935325626f:0xf5fe9788e6f45083!8m2!3d-6.3682706!4d106.8339102!16s%2Fg%2F11vdrlc04y!19sChIJb2IlU5PtaS4Rg1D05oiX_vU?authuser=0&hl=id&rclk=1","Seloyang Ice Cream","","","Es Krim","·","Jl. Margonda No.433","Tutup","· Buka Sel pukul 10.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAGbiydQWvgzqQjgyLJzLXIRc7G_YAUtuTiR3ES2EOpyd9rKB7uesAunk6Db6D6JZMXSen2b_IYtaHXA6VK7TDQLzepEvwCb53DpVEtN--ZJvwbW9bMDYyHEFYVaS_wUPD9NtqsP2Q=w80-h106-k-no","","Bawa pulang","","","","",""
"https://www.google.com/maps/place/Xi+Yue+Margo+City/data=!4m7!3m6!1s0x2e69ed004a785df7:0x415995a1cbdb9223!8m2!3d-6.3730114!4d106.8345214!16s%2Fg%2F11vyhfkynw!19sChIJ9114SgDtaS4RI5Lby6GVWUE?authuser=0&hl=id&rclk=1","Xi Yue Margo City","2,7","(3)","Es Krim","·","Jl. Margonda Raya No.358","","","https://lh3.googleusercontent.com/gps-cs-s/APNQkAEsYsHoUTnVxcnoT8vJZ4_dYrdRO1LnnrrhRA8pxL-ceAJmUGDjhKHd3nKSz87kzeKfOfV79zF-YzdPcQJ0bmMW20EEuAR59leEpanHHDszs2PchzG6psVJO5rL1LFAYAhee7UE=w80-h106-k-no","","Bawa pulang","","","","",""
"https://www.google.com/maps/place/Qin+Qin+-+Beji/data=!4m7!3m6!1s0x2e69edda54dfbe89:0x4914b7804d4e6765!8m2!3d-6.377229!4d106.8251771!16s%2Fg%2F11l29b3_mq!19sChIJib7fVNrtaS4RZWdOTYC3FEk?authuser=0&hl=id&rclk=1","Qin Qin - Beji","4,4","(69)","Es Krim","·","JRFG+433, Jl. Ridwan Rais","","","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFO8WnAyq9rJaKpb-ldR0h8-zHjGDZvgDsVUbYdW99wvuaT_qoZU46IzsQALlhkGAgIGG3wuqNtnrhcwYXWGKqaLRX2l-YHWCS5DQ8n445rxvTEIwChBUbbGmwYubtX_YBkMKP2=w80-h106-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Rasa nya enak, lembut, harga merakyat.""","","","","",""
"https://www.google.com/maps/place/RaYa+Store/data=!4m7!3m6!1s0x2e69eb5d0bab85a3:0xcea7562feab78305!8m2!3d-6.3837524!4d106.8209759!16s%2Fg%2F11y9_y7lb7!19sChIJo4WrC13raS4RBYO36i9Wp84?authuser=0&hl=id&rclk=1","RaYa Store","","","Es Krim","·","Jl. Ridwan Rais perumahan Politeknik UI No.03","Tutup","· Buka Sel pukul 07.30","https://lh3.googleusercontent.com/gps-cs-s/APNQkAE-g5istGB7wNqPZYF5MK9wQ3RdzXZUOVBjR-m11T2SevKtoRqriUJkkTxqXwiZkLVM_wABECH_d131zq_h-Vj17GHCpeWRgva57ygpixF-Wuy2DgNQP07X4JoTAPMZaJzQqwMVpQamitfa=w97-h92-k-no","","Bawa pulang","","","","",""
"https://www.google.com/maps/place/Durian+Penuh/data=!4m7!3m6!1s0x2e69ec163477ea99:0xf2d56cf4b12426af!8m2!3d-6.3611667!4d106.8328217!16s%2Fg%2F11c5qmvvhg!19sChIJmep3NBbsaS4RryYksfRs1fI?authuser=0&hl=id&rclk=1","Durian Penuh","5,0","(1)","Es Krim","·","Jl. Sawo Blk. St. Ui No.46","","","https://lh3.googleusercontent.com/gps-cs-s/APNQkAEcT-_kXklZHeP2oUeYV_JdULJT4QM6JC5V6ULwK2IhZbBEBohR3cayoRaeIFeQ9W_m6W8ksKw-m0EqJR1g44jmgO0yFcgn60GTLBdWyuWYRjdPt85t1fgKTAh1ZE6UU2roCjZy-g=w80-h106-k-no","","","","","","",""
"","","","","","","","","","","","","","","","",""
