"hfpxzc href","qBF1Pd","MW4etd","UY7F9","W4Efsd","W4Efsd 2","W4Efsd 3","W4Efsd 4","W4Efsd 5","FQ2IWe src","doJOZc","W4Efsd 6","Jn12ke src","ah5Ghc","ah5Ghc 2","ah5Ghc 3"
"https://www.google.com/maps/place/Harini+Studio+%28Body+Fit+for+Woman%29/data=!4m7!3m6!1s0x2e69ec6b69e9f9d3:0xa83577346f85d871!8m2!3d-6.364095!4d106.8429796!16s%2Fg%2F11f0l3y2_k!19sChIJ0_npaWvsaS4RcdiFbzR3Nag?authuser=0&hl=id&rclk=1","Harini Studio (Body Fit for Woman)","4,6","(212)","Pusat Kebugaran","·","Jl. Rtm","Tutup","· Buka Sel pukul 08.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAExxQFZtSmqX5vMWExrWvkPUiLz8_JmDN7uL8B5TMB87ig5dqrcYfr5EfQPb-Umuk9s33hBXnICwcIKhjjlWfnmMCwLZ3MqqTuIqC5M6pSofZTJ5hgMkULPfmZHPcieXhNFEZmm=w122-h92-k-no","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""","Tempat workout","terbaik versi aku dri tahun 2020"""
"https://www.google.com/maps/place/IC+Fitness/data=!4m7!3m6!1s0x2e69ed002b99655b:0x8c5474b5b86c1b1c!8m2!3d-6.3422897!4d106.8187226!16s%2Fg%2F11n571pxtx!19sChIJW2WZKwDtaS4RHBtsuLV0VIw?authuser=0&hl=id&rclk=1","IC Fitness","5,0","(3)","Tempat Fitness","·","Jl. Moch. Kahfi II No.3, RT.8/RW.8","Segera tutup","· 22.00 · Buka Sel pukul 07.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAEyexbcVK56Yo-KkBWAiZ_-d5ZpyNoI1X2N8cFTaYU_O2E3wJbBblZFHqbylNDjpIkKuEeSfadzAEtpVzoZcBKmFBbuYSYlkNThigHLE51dew-q8_HHNOGURCuhH6rDOzzXu_wQccxboYWk=w80-h142-k-no","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""","Gym","nya bagus, rapih, bersih, ac dingin, alat nya baru"""
"https://www.google.com/maps/place/Bang+Day+Gym/data=!4m7!3m6!1s0x2e69ec7b910242b1:0x45650cafa2a1b261!8m2!3d-6.3731564!4d106.8583056!16s%2Fg%2F1q4kp2g18!19sChIJsUICkXvsaS4RYbKhoq8MZUU?authuser=0&hl=id&rclk=1","Bang Day Gym","4,1","(74)","Tempat Fitness","·","JVG5+P8M, Jl. Raya Duta Pelni","Segera tutup","· 22.00 · Buka Sel pukul 07.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFqOPJlxFnZhltitjaYriT6y25VOE25t6dCKHr2OKs6vo4b52lKocFr-NQKrdRJEbBR_pI8nvRrxrrKTvAVF8bKnI4G4gXgBfU_CyFiRLk5REMycVTCwsaElLZ85PMlusOoTBHz3g=w122-h92-k-no","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Untuk PTnya brp ya?""","",""
"https://www.google.com/maps/place/TF+Gym+Tanah+baru/data=!4m7!3m6!1s0x2e69efa2709a301b:0x4487a2265a9484ce!8m2!3d-6.3717306!4d106.7964161!16s%2Fg%2F11h1z7sdck!19sChIJGzCacKLvaS4RzoSUWiaih0Q?authuser=0&hl=id&rclk=1","TF Gym Tanah baru","4,9","(54)","Pusat Kebugaran","·","·","Segera tutup","· 22.00 · Buka Sel pukul 08.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAGeh5xXab3ArLY9CSIoRMnKWtXoNtiuzX7LPUaIjVAfvWLcjdgCJZAvHfJf1WV6_cl30Zl0RAbCLKv_5Wpa21OwLC_J6sAbViTANI567zblvPlljl9yPfyKKl_v4cHVkBuZf0yl=w80-h106-k-no","","Ruko, Puri Angkasa Residence 3 Jl. Curugan No.69","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Bingung mau nyari","tempat gym","yang enak, nyaman, dan murah?"""
"https://www.google.com/maps/place/DEAL+2+FIT/data=!4m7!3m6!1s0x2e69efa324baf801:0xf71a04d9cbc647b2!8m2!3d-6.363413!4d106.800395!16s%2Fg%2F11j1sk2drv!19sChIJAfi6JKPvaS4RskfGy9kEGvc?authuser=0&hl=id&rclk=1","DEAL 2 FIT","4,8","(61)","Tempat Fitness","·","·","Segera tutup","· 22.00 · Buka Sel pukul 09.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAGsv6q4kX6V2gBCzBF5EDbAx8iLDbM_AFOAUIYk6u2O4c8L3iq_gNMisChyPDCbZSQZ2BHNuZfskzYWm6uWb_YbFXcNEuJb2ra7hYXgTZXY2gZQ9oC3UFB89Xt7lTmtUfyT9iKJ2NOwXAU7=w122-h92-k-no","","4, Jl. Antariksa Raya No.63 12, RT.12/RW.2","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""","Tempat","nya bagus mantap👍"""
"https://www.google.com/maps/place/RUCI+STUDIO+BY+AYUNAKULASADEWA/data=!4m7!3m6!1s0x2e69ed8bf8539aeb:0x84b8de2332b01c66!8m2!3d-6.3533649!4d106.8504999!16s%2Fg%2F11fpqrqdpq!19sChIJ65pT-IvtaS4RZhywMiPeuIQ?authuser=0&hl=id&rclk=1","RUCI STUDIO BY AYUNAKULASADEWA","4,7","(22)","Tempat Fitness","·","Jl. Kol. Pol Pranoto No.mor 15, RT.04/RW.06","Tutup","· Buka Sel pukul 08.30","https://lh3.googleusercontent.com/gps-cs-s/APNQkAEo2HC7n8kodth3HaSYWomMFJua4KXWUuojACdhywx_B9Tv5kJ1jp_pb95CXsyoaxGL43Ty7J-wRrPt_l1gStrvHTA8G144IiaCRsbGePgyvLGT0V3w7clDHTMLqyFyPhEDG4c=w122-h92-k-no","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Dapet serunya dapet sehatnya... Alhamdulillah bisa buat ngilangin ...""","",""
"https://www.google.com/maps/place/Rex+Gym+Srengseng+Sawah/data=!4m7!3m6!1s0x2e69ed000fc9685d:0x5751baa36faab877!8m2!3d-6.3484879!4d106.8200177!16s%2Fg%2F11lyv_zrvv!19sChIJXWjJDwDtaS4Rd7iqb6O6UVc?authuser=0&hl=id&rclk=1","Rex Gym Srengseng Sawah","4,8","(42)","Pusat kebugaran","·","RT.2/RW.7","Buka","· Tutup pukul 23.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAE3d0y4lDgzsNqYFS0TwkYfbLsxcERXInl8ksIeovClUtgmwjUC_SDvjpgw6GB8Tbqpk_i2wn4bYao1tzKpePZ1BmdrJNTRqscCWw_uf3vC3xm0IAj1IgQOPeGjhLovdK6GGZSBF81rWJTj=w163-h92-k-no","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""","tempat gym","baru dgn"
"https://www.google.com/maps/place/NPS+Gym/data=!4m7!3m6!1s0x2e69ec11582144e3:0xbcad400b75f65760!8m2!3d-6.372347!4d106.8322181!16s%2Fg%2F11gfc_806q!19sChIJ40QhWBHsaS4RYFf2dQtArbw?authuser=0&hl=id&rclk=1","NPS Gym","4,5","(2)","Pusat kebugaran","·","Depok Town Square (Detos), Jl. Margonda No.1 lt 2","","","https://maps.gstatic.com/tactile/pane/result-no-thumbnail-2x.png","","","","","",""
"https://www.google.com/maps/place/SR+Climbing+Gym/data=!4m7!3m6!1s0x2e69ed005db8208b:0x98031029fc26a2c5!8m2!3d-6.3637496!4d106.8413587!16s%2Fg%2F11x5p2vtmy!19sChIJiyC4XQDtaS4RxaIm_CkQA5g?authuser=0&hl=id&rclk=1","SR Climbing Gym","5,0","(2)","Tempat Fitness","·","JRPR+GG5, Jl. Griya Tugu Asri","","","https://maps.gstatic.com/tactile/pane/result-no-thumbnail-2x.png","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Ini dimana ya""","",""
"https://www.google.com/maps/place/Diklat+Aufa/data=!4m7!3m6!1s0x2e69ec6c33a13ea5:0xcde215e545773055!8m2!3d-6.3672652!4d106.8463903!16s%2Fg%2F11g73383g8!19sChIJpT6hM2zsaS4RVTB3ReUV4s0?authuser=0&hl=id&rclk=1","Diklat Aufa","4,5","(31)","Tempat Fitness","·","·","","","https://lh3.googleusercontent.com/gps-cs-s/APNQkAGHeN1mITiR3JB3EfHm_ov4p7NAlo6gK56wUPS7qcoV8ai6u79iEhJ6qy1OrZHCUC6l9zVz9ugx-_FUJq1ItIXi7gPjg8Gow40TSecQ9bg2Y8CDHDOrtXN9vlmo_tREeluKVGJf=w80-h106-k-no","","Jl. Raya Pd. Mandala No.122","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""","Tempat","main bulutangkis"""
