"hfpxzc href","qBF1Pd","W4Efsd","Cw1rxd","R8c4Qb","W4Efsd 2","W4Efsd 3"
"https://www.google.com/maps/place/Seberang+Stasiun+Depok+Baru/data=!4m7!3m6!1s0x2e69ebfce9d41845:0xb20a1e16c462bfa!8m2!3d-6.39002!4d106.82173!16s%2Fg%2F11gh1nt9hr!19sChIJRRjU6fzraS4R-itGbOGhIAs?authuser=0&hl=id&rclk=1","Seberang Stasiun Depok Baru","Perhentian bus","","Rute","",""
"https://www.google.com/maps/place/Stasiun+Depok+Lama/data=!4m7!3m6!1s0x2e69c3e95a8c1253:0x4204e4bc254b63c6!8m2!3d-6.405353!4d106.8177978!16s%2Fg%2F11dxl97x79!19sChIJUxKMWunDaS4RxmNLJbzkBEI?authuser=0&hl=id&rclk=1","Stasiun Depok Lama","Perhentian bus","","Rute","·","Jl. St. Depok Lama"
"https://www.google.com/maps/place/Depok/data=!4m7!3m6!1s0x2e69e94322803665:0xc3993fe69b960adb!8m2!3d-6.3990875!4d106.8045692!16s%2Fg%2F11z42f0m2m!19sChIJZTaAIkPpaS4R2wqWm-Y_mcM?authuser=0&hl=id&rclk=1","Depok","Perhentian bus","","Rute","",""
"https://www.google.com/maps/place/Margo+City/data=!4m7!3m6!1s0x2e69ec0e4fd50ceb:0x9140b017110a0341!8m2!3d-6.37226!4d106.83307!16s%2Fg%2F11rybn6vjb!19sChIJ6wzVTw7saS4RQQMKERewQJE?authuser=0&hl=id&rclk=1","Margo City","Perhentian bus","","Rute","",""
"https://www.google.com/maps/place/Stasiun+Depok+Baru+2/data=!4m7!3m6!1s0x2e69ebe3353d91f7:0xcc8fff5f928ee4be!8m2!3d-6.39138!4d106.82214!16s%2Fg%2F11v3q74_r6!19sChIJ95E9NePraS4RvuSOkl__j8w?authuser=0&hl=id&rclk=1","Stasiun Depok Baru 2","Perhentian bus","","Rute","",""
"https://www.google.com/maps/place/Terminal+Jati+Jajar+1/data=!4m7!3m6!1s0x2e69ea53d10b2a8f:0x49646b6da06d19e4!8m2!3d-6.4254213!4d106.8568221!16s%2Fg%2F11hd8j0x85!19sChIJjyoL0VPqaS4R5BltoG1rZEk?authuser=0&hl=id&rclk=1","Terminal Jati Jajar 1","Perhentian bus","","Rute","·","Jl. Pelangi Raya"
"https://www.google.com/maps/place/Seberang+Depok+Mulya+3/data=!4m7!3m6!1s0x2e69e94e30a7310b:0x9ab748c248e10cce!8m2!3d-6.38868!4d106.805!16s%2Fg%2F11fd561hmn!19sChIJCzGnME7paS4RzgzhSMJIt5o?authuser=0&hl=id&rclk=1","Seberang Depok Mulya 3","Perhentian bus","","Rute","",""
"https://www.google.com/maps/place/MUI+Depok/data=!4m7!3m6!1s0x2e69e957028577c9:0xbaffb24a7d17d273!8m2!3d-6.38908!4d106.81432!16s%2Fg%2F11fd568qh2!19sChIJyXeFAlfpaS4Rc9IXfUqy_7o?authuser=0&hl=id&rclk=1","MUI Depok","Perhentian bus","","Rute","",""
"https://www.google.com/maps/place/Jl+Juanda+Depok+2/data=!4m7!3m6!1s0x2e69ec08dc5fbe1b:0xff54bd43dc823db!8m2!3d-6.37666!4d106.83208!16s%2Fg%2F11gh1nss7n!19sChIJG75f3AjsaS4R2yPIPdRL9Q8?authuser=0&hl=id&rclk=1","Jl Juanda Depok 2","Perhentian bus","","Rute","",""
"https://www.google.com/maps/place/Pool+Hiba+Utama/data=!4m7!3m6!1s0x2e69ebe4b326dd7f:0x2385b24debfe5911!8m2!3d-6.3909095!4d106.8227506!16s%2Fg%2F11b8_r3nps!19sChIJf90ms-TraS4REVn-602yhSM?authuser=0&hl=id&rclk=1","Pool Hiba Utama","Agen Tiket Bus","","Situs Web","·","Jl. Gedoran Depok No.43"
"https://www.google.com/maps/place/Seberang+RS+Bhayangkara+Depok/data=!4m7!3m6!1s0x2e69ec43ed9ebcb9:0xff460dbd2b832743!8m2!3d-6.35527!4d106.84861!16s%2Fg%2F1ptykclkq!19sChIJubye7UPsaS4RQyeDK70NRv8?authuser=0&hl=id&rclk=1","Seberang RS Bhayangkara Depok","Perhentian bus","","Rute","",""
"https://www.google.com/maps/place/Stasiun+Universitas+Indonesia/data=!4m7!3m6!1s0x2e69ec3d87368e6b:0xa363243f32052053!8m2!3d-6.3601158!4d106.8329819!16s%2Fg%2F11r8hjy5v!19sChIJa442hz3saS4RUyAFMj8kY6M?authuser=0&hl=id&rclk=1","Stasiun Universitas Indonesia","Perhentian bus","","Rute","",""
