"hfpxzc href","qBF1Pd","MW4etd","UY7F9","AJB7ye","AJB7ye 2","W4Efsd","W4Efsd 2","W4Efsd 3","W4Efsd 4","W4Efsd 5","FQ2IWe src","Jn12ke src","ah5Ghc","ah5Ghc 2","ah5Ghc 3","doJOZc","W4Efsd 6","M4A5Cf"
"https://www.google.com/maps/place/Warteg+Arya/data=!4m7!3m6!1s0x2e69ec3c063bbab9:0xed34f2d122c87a5a!8m2!3d-6.3551907!4d106.834894!16s%2Fg%2F11fz9jxwn_!19sChIJubo7BjzsaS4RWnrIItHyNO0?authuser=0&hl=id&rclk=1","Warteg Arya","4,4","(129)","·","Rp 1–25.000","Tegal","·","·","Tutup","· Buka Sel pukul 08.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAF8QsSuQRy-axQuMQ7GrkMYQxiFOGNdi_mBZkif4ySria4qRiCHGs2GdhnpPyCt8yf0DrGJZfCqvyp_IbL4rAB9H9WFexWXQt5ZbakIfHtMcSutiQPvQQNcyJxPnpW07TT3S6BE=w163-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Seperti masakan rumahan rasanya, harganya jg murah.""","","","","Jl. Jambu No.43",""
"https://www.google.com/maps/place/WARTEG+DUA+SAUDARA/data=!4m7!3m6!1s0x2e69ed91858231a5:0xe38035781246061!8m2!3d-6.373965!4d106.8323123!16s%2Fg%2F11m846_vh9!19sChIJpTGChZHtaS4RYWAkgVcDOA4?authuser=0&hl=id&rclk=1","WARTEG DUA SAUDARA","4,1","(68)","·","Rp 1–25.000","Tegal","·","·","Buka 24 jam","","https://lh3.googleusercontent.com/gps-cs-s/APNQkAEofzvvit6YRdWWmVj76e6CUnA64lbximvsEqZj-PyF8qZ6-0ekzlI2potTpUvwOyHMVwASABvFMmTkdHTScwqHMvxoZ5k6UouRcvdYaXzzf55aIinF3tJWGTDKHd1ses4N9gB_Gw=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Enak dan murah""","","","","Jl. Margonda No.343",""
"https://www.google.com/maps/place/Warteg+Kharisma+Bahari+Akses+UI+58/data=!4m7!3m6!1s0x2e69ed9efbc9d3f3:0x356c5796d813e06e!8m2!3d-6.3553036!4d106.8518136!16s%2Fg%2F11sdrvpy8y!19sChIJ89PJ-57taS4RbuAT2JZXbDU?authuser=0&hl=id&rclk=1","Warteg Kharisma Bahari Akses UI 58","5,0","(4)","","","Indonesia","·","JVV2+VPG, Jl. Akses UI","Buka 24 jam","","https://lh3.googleusercontent.com/gps-cs-s/APNQkAG_eavNSJPxhjVkGgct3PJHf9PniZrvR9hYCHm_WQarr7xE4o5EOlf7tjGkIhnovzHb3Hhqk81qiH-M15ioEfrVhdbTbxE-8AmhIrzxELufeEkyKERlTqO0oqDRXo1iJr04DKnI=w80-h142-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""","Warteg","murah, enak dan bersih.""","","",""
"https://www.google.com/maps/place/WARTEG+GRAND+BAHARI/data=!4m7!3m6!1s0x2e69ed00166356ff:0xef00213fe47b523f!8m2!3d-6.3554869!4d106.8483728!16s%2Fg%2F11ypkhjznq!19sChIJ_1ZjFgDtaS4RP1J75D8hAO8?authuser=0&hl=id&rclk=1","WARTEG GRAND BAHARI","5,0","(1)","","","Indonesia","·","Jl. Akses UI No.10a","","","https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=2fmj3988Ec3Xygk1tIXATA&cb_client=search.gws-prod.gps&w=80&h=92&yaw=95.17945&pitch=0&thumbfov=100","","Makan di tempat","Bawa pulang","","","","·"
"https://www.google.com/maps/place/Warteg+Nezza/data=!4m7!3m6!1s0x2e69ec1d378cc2db:0x9bba0b9f215473c6!8m2!3d-6.3672566!4d106.8204191!16s%2Fg%2F11bw2f94x5!19sChIJ28KMNx3saS4RxnNUIZ8Lups?authuser=0&hl=id&rclk=1","Warteg Nezza","4,7","(106)","·","Rp 1–25.000","Tegal","·","·","Tutup","· Buka Sel pukul 06.30","https://lh3.googleusercontent.com/gps-cs-s/APNQkAGBHXNDj4vbMrHQer6ZZc4f6fwtD0EsEh84yCz18rpXSwLct4ahmq36WKVnDxc5-YtKsVJ1WzEAoAaGOZan1ISHDETbtjXMyNzO9P4fsXAtVYOv2q7nHQaXrFYNdXU4nxYrdZIzAQ=w80-h106-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""","Warteg","dengan rasa yang paling pas seJabodetabek.""","","Jl. Kabel No.20",""
"https://www.google.com/maps/place/Warteg+Siliwangi/data=!4m7!3m6!1s0x2e69ebe0ce1ef14b:0x62eca3fbd64a8845!8m2!3d-6.399641!4d106.8232981!16s%2Fg%2F1hm2db01x!19sChIJS_EezuDraS4RRYhK1vuj7GI?authuser=0&hl=id&rclk=1","Warteg Siliwangi","4,6","(240)","·","Rp 1–25.000","Jawa","·","·","Buka","· Tutup pukul 23.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAHWNZRut4ywudfOKGUeXpU02yW4bBu5rvw3EXNh64nMUQN8Grc2gZQZTUUU_VYWlFK876dsocV9GXkPcZbVxEn7rTDFofTkfEfPp7exvr9KGTAXCEXhkg7W4IWgbdQ5KSkEHvDTTg=w80-h173-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Rasanya diatas","warteg-warteg","yang sering kita temui, makanya cepat habis""","","Jl. Siliwangi No.18",""
"https://www.google.com/maps/place/Warteg+Dua+Bahagia+24/data=!4m7!3m6!1s0x2e69e97d090ec159:0x860b235796a375ad!8m2!3d-6.4143764!4d106.8158359!16s%2Fg%2F11gdk_7c7q!19sChIJWcEOCX3paS4RrXWjllcjC4Y?authuser=0&hl=id&rclk=1","Warteg Dua Bahagia 24","4,3","(456)","·","Rp 1–25.000","Tegal","·","·","Buka 24 jam","","https://lh3.googleusercontent.com/gps-cs-s/APNQkAGufKwv17OC37DazypRbtAGAn-yE1rhGKT9OLz7j1VAz3hOkqZ3Ox4-5XEmbcSMR-bQHILZY_AI8y_c4Zk6r72HgihIYiP4a13TvdETSR9XrVWcYyUIu4iY0U18J5Yelv_T9OgDjA=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""","Warteg","24 jam cukup bersih, pilihan menu nya banyak.""","","Jl. Kp. Ratu Jaya No.22",""
"https://www.google.com/maps/place/WARTEG+MANG+ADE/data=!4m7!3m6!1s0x2e69ec113c04cc3f:0xd46a8929304d411a!8m2!3d-6.3662694!4d106.8336833!16s%2Fg%2F11g72lzj8c!19sChIJP8wEPBHsaS4RGkFNMCmJatQ?authuser=0&hl=id&rclk=1","WARTEG MANG ADE","4,6","(29)","·","$","Brunch","·","·","Buka 24 jam","","https://lh3.googleusercontent.com/gps-cs-s/APNQkAGTBHeVgjk3E_tNHgkrgBVU6UiGoym97eiJbwGcloKfUbaTeY5rrIrXPsQcncy9w2PA4VCuA0d2BaJ-OezY1LK5UGoJyk9xyvTQxFPV1dm9iT8Z3kmUJ8xF1mqq_MZbiiqFeylO=w80-h173-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Menyediakan kopi  gorengan mie rebus""","","","","JRMM+FFG, Jl. Cengkeh II No.4",""
"https://www.google.com/maps/place/Warteg+simpang+Ramanda+%28+the+real+of+warteg%29/data=!4m7!3m6!1s0x2e69ebc815318a45:0x1c74fcd1897702a1!8m2!3d-6.3898889!4d106.8258768!16s%2Fg%2F11sr6w7r76!19sChIJRYoxFcjraS4RoQJ3idH8dBw?authuser=0&hl=id&rclk=1","Warteg simpang Ramanda ( the real of warteg)","4,8","(20)","·","Rp 1–25.000","Tegal","·","Depan Rabani, Jl. Margonda No.93d","Buka 24 jam","","https://lh3.googleusercontent.com/gps-cs-s/APNQkAHuWd8cDz5CAsbFo7ApI-hY7h_lp_eEenU9uVZMMWw_XSMpp1ISNS5aN7oQGTVmwop9v-CA2PR34EwexnEmhQrDHxM31IqvnjEBbpj99XtZp7lWrEDeO78CGHlbcYiAA76v7UsksA=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""total 14.000 aja dengan rasa yang enak.""","","","","",""
"https://www.google.com/maps/place/Warteg+Sumber+Rejeki/data=!4m7!3m6!1s0x2e69ec1d9b5e71e7:0x11b6956a703d4e9!8m2!3d-6.368023!4d106.8186215!16s%2Fg%2F1q64h45dw!19sChIJ53Femx3saS4R6dQDp1ZpGwE?authuser=0&hl=id&rclk=1","Warteg Sumber Rejeki","4,4","(35)","·","Rp 1–25.000","Tegal","·","·","Buka","· Tutup pukul 23.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAHaNc1xCXAAjb7haXWVWnskH6pPL2m5gMslwQoTHf7ZzPYgqQHfCpIBgrGENoIwTKuDPf9PGwH0-ZB9thbXF3v4gBBADGiZxTtuYBQcCu1MaRYlD5ijbVBJGH75kT1QoLV3lLTfbdHtRbqK=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Rekomendasi banget 👍 untuk harga relatif murah""","","","","Ruko Pertigaan, Jl. Palakali",""
"https://www.google.com/maps/place/Warteg+Sederhana+%28Murah,+Bersih,+Enak%29/data=!4m7!3m6!1s0x2e69ed3636cc151b:0x694d4f9a34e14145!8m2!3d-6.3615861!4d106.821829!16s%2Fg%2F11jzr0j0nd!19sChIJGxXMNjbtaS4RRUHhNJpPTWk?authuser=0&hl=id&rclk=1","Warteg Sederhana (Murah, Bersih, Enak)","5,0","(9)","","","Restoran","·","JRQC+9QP","","","https://lh3.googleusercontent.com/gps-cs-s/APNQkAHtgDGT3Oos8Zys9axjnoj4YElAecKJ3IcNXZOJe4dmcv468LMJrA7ThLsuvhOF_Ur5EdDjekeh-AEAJkdbHCXMCLWZYqCht9lYOPJdfpGFaNSHGI6M4hQZIGLkDdBBuvjdJoWHRg=w80-h106-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""","Warteg","enak, murah, dan penyelamat sewaktu ngekost di kutek.""","","",""
"https://www.google.com/maps/place/Warteg+Ibu+Naim/data=!4m7!3m6!1s0x2e69ec639476ad39:0x2fdb22c400f10341!8m2!3d-6.3659554!4d106.8602999!16s%2Fg%2F1pycsv50n!19sChIJOa12lGPsaS4RQQPxAMQi2y8?authuser=0&hl=id&rclk=1","Warteg Ibu Naim","4,4","(148)","·","Rp 1–25.000","Tegal","·","·","Buka","· Tutup pukul 23.30","https://lh3.googleusercontent.com/gps-cs-s/APNQkAGD1T5vKXOxjKBFUPs3AcGYW0N0-DlNztMYjZqKydlzTJ7xS8GN5eIJ8UKcJoCtm3LLXmwkCkGg1lXbsahIagvs1H42ETzTftmmqhgbB0AXjt0oZAc4GOfdREfYWIlm4acLu8e-=w163-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Asyik aja makan disini Harga standard","warteg","lah...""","","JVM6+J47, Jl. Mekarsari Raya",""
