"hfpxzc href","qBF1Pd","MW4etd","UY7F9","W4Efsd","W4Efsd 2","W4Efsd 3","W4Efsd 4","W4Efsd 5","FQ2IWe src","Jn12ke src","ah5Ghc","A1zNzb href","J8zHNe","bbPy1","doJOZc","W4Efsd 6","AJB7ye","AJB7ye 2"
"https://www.google.com/maps/place/Makan+Bistro+%26+Koffee+Addict/data=!4m7!3m6!1s0x2e3b766d2f5f8683:0x40fb5e7f8c5208c!8m2!3d-2.9755342!4d104.7662032!16s%2Fg%2F11d_2ft08n!19sChIJg4ZfL212Oy4RjCDF-Oe1DwQ?authuser=0&hl=id&rclk=1","Makan Bistro & Koffee Addict","4,4","(343)","Kafe","·","·","Buka","· Tutup pukul 23.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAGzvymiuSFr854KMXf5aqM2pVEEhZrW3nXhbm77wSwx3jgSLMzaDrzrFXMwrx4o4UzwQDYwUi1UGbb_eujx5fsouIDFVTEDzyTnuDJN2KdoqP-5zyfFGmUDiBB3a_Eit_mcPaRe=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Pizzanya juga wajib dicoba dan smoothies nya enak-enak""","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTFkXzJmdDA4bhgBOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=NJz4aZrDAfKfseMP-aG8qAI&ei=NJz4aZrDAfKfseMP-aG8qAI&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online","","","Jl. Veteran No.939 F8","·","Rp 50–75 rb"
"https://www.google.com/maps/place/Kopi+Darat/data=!4m7!3m6!1s0x2e3b77477ec1e283:0x2e50f99bb0f52aa7!8m2!3d-2.9690381!4d104.7590663!16s%2Fg%2F11fpq7v4z_!19sChIJg-LBfkd3Oy4Rpyr1sJv5UC4?authuser=0&hl=id&rclk=1","Kopi Darat","4,6","(785)","Restoran","·","·","Buka","· Tutup pukul 22.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAGKuRCjPuGdUFT88uwdwExIb0URPObrFA6vMt79UpqPoiIGJpHU00oS28UPlCidByrmRyiwRVE_13lZNmVCaFqu5ZoK_MJDvP1IhH0X_diHwK-Dr-j5TeJlKRAMJKXH4Nnx7LM=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Makanan enak dan lengkap apalagi setiap malam minggu ada live musiknya""","","","","","Jl. WR Supratman No.2","·","Rp 50–75 rb"
"https://www.google.com/maps/place/Kedai+Mimieka/data=!4m7!3m6!1s0x2e3b77a0f0e77a95:0xcfa2c6995cad3647!8m2!3d-2.9677908!4d104.7622077!16s%2Fg%2F11sbgl1pwp!19sChIJlXrn8KB3Oy4RRzatXJnGos8?authuser=0&hl=id&rclk=1","Kedai Mimieka","4,6","(180)","Masakan Asia","·","Jl. Mayor Ruslan","Buka","· Tutup pukul 21.30","https://lh3.googleusercontent.com/gps-cs-s/APNQkAEpGxgdgNIN6TzXOFgpu6t09DOPypeSLzQ3Egn9NJm1V6NPAncCh5TdkVUItc_1PmTJgVr5kkUfGz5Q0NZXWYVyjoMktaTnfKe8hv8MvXOODmdSAXFBj9EJl7MFaScxTSGWEvbexQWSeNd_=w80-h106-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Kids friendly banget, staffny ramah, makanan jg enak dan sesuai harga.""","","","","","","",""
"https://www.google.com/maps/place/Kedai+TOKOPI+Pai+Li+Bang/data=!4m7!3m6!1s0x2e3b766cd91baef3:0x90ff45f17f822443!8m2!3d-2.9750409!4d104.7666553!16s%2Fg%2F11cn8x1nnm!19sChIJ864b2Wx2Oy4RQySCf_FF_5A?authuser=0&hl=id&rclk=1","Kedai TOKOPI Pai Li Bang","4,4","(814)","Masakan Asia","·","Jl. Veteran No.999","Buka","· Tutup pukul 22.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFh3lit9uBpnEbNzi7H8zHQicwIb-V17-zK4InduedmEz0pcgrGOBPhCzJEZEEe0ApY4v9xy2no6VD2d6ssLwdwYKx5WRke_f6vegXSYH9JJm7Vf4dRqlV3UQm9GllzpmHC0dQTGw=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Makanan nya memang enak tetapi harganya tidak murah alias harganya mahal.""","","","","","","·","$$$"
"https://www.google.com/maps/place/Fore+Coffee+-+Rajawali+Palembang/data=!4m7!3m6!1s0x2e3b77bb829a4863:0x562d8cb2dc904080!8m2!3d-2.9689375!4d104.7636875!16s%2Fg%2F11z21sldlf!19sChIJY0iagrt3Oy4RgECQ3LKMLVY?authuser=0&hl=id&rclk=1","Fore Coffee - Rajawali Palembang","4,4","(73)","Kedai Kopi","·","2QJ7+CFM 9 Ilir, Palembang City, South Sumatra Jl. Rajawali No.6, RT.018, RW.06. Kel. 9 Ilir","","","https://lh3.googleusercontent.com/gps-cs-s/APNQkAE8rAeo_g6l8QAG0kwLGItzNmKMAjE62l-Nf6wkpNhGzvQHRA299BMYm6klK0LDlYT5hSKdcSV_9AD-0Zvi4H48BOMRKj_UZe4IRFgweHqj963u57LLEw0vO4DdEkTlgpJ_V63gL-mmAk0B=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Tempatnya bagus pelayananya ramah dan enak buat nongki nongki🙏🏻🙏🏻""","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTF6MjFzbGRsZhgBOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=NJz4aZrDAfKfseMP-aG8qAI&ei=NJz4aZrDAfKfseMP-aG8qAI&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online","","","","·","Rp 25–50 rb"
"https://www.google.com/maps/place/SORE%C3%89/data=!4m7!3m6!1s0x2e3b77fb2fa77a61:0x9c1bb4a559b6fb9d!8m2!3d-2.9757601!4d104.7589772!16s%2Fg%2F11p56hd716!19sChIJYXqnL_t3Oy4Rnfu2WaW0G5w?authuser=0&hl=id&rclk=1","SOREÉ","4,6","(417)","Masakan Perpaduan Asia","·","·","Buka","· Tutup pukul 21.30","https://lh3.googleusercontent.com/gps-cs-s/APNQkAEfBM1urt7Chr5Txc4wyfhzaUCKxTShWePc6SWVhN5Tm9gx9O5R8pZFb3yvARr3IXpTimu0MnbOAqXOgwiRNWMK-Dno2Huw4iU5t3wLJo0LJFy41TnOw09F1rHtctwshFDZbgMW=w163-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Nasi goreng beef yg meltique enak, harga 70-an.""","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTFwNTZoZDcxNhgBOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=NJz4aZrDAfKfseMP-aG8qAI&ei=NJz4aZrDAfKfseMP-aG8qAI&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online","","","Jl. Veteran No.176","·","Rp 75–100 rb"
"https://www.google.com/maps/place/Kopieten+Palembang/data=!4m7!3m6!1s0x2e3b7752ac21a765:0x5a557219cf5c2112!8m2!3d-2.9757884!4d104.7603619!16s%2Fg%2F11tc_9xl_q!19sChIJZachrFJ3Oy4REiFczxlyVVo?authuser=0&hl=id&rclk=1","Kopieten Palembang","4,7","(86)","Kedai Kopi","·","Jl. Veteran No.208","Tutup","· Buka Sel pukul 07.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAHX-ffmNcNfy8-TL3l2Mk5yb9vsXA6IAKX-mFm531xsbHOZe6pVHuPJ8ye_iwC53U_Jj9-Y5ZuMHUc8Klgu9xXQwH3mbH_n5w2jqZeRcx41yrKU-75t0OiVIXv8SDY-8L2_A4K5=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Rasanya enak,
Kemarin saya coba makan mie kaldu udangnya enak.""","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTF0Y185eGxfcRgBOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=NJz4aZrDAfKfseMP-aG8qAI&ei=NJz4aZrDAfKfseMP-aG8qAI&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online","","","","·","Rp 50–75 rb"
"https://www.google.com/maps/place/Days+Cafe/data=!4m7!3m6!1s0x2e3b779f69c618eb:0x6e1441378d7bab79!8m2!3d-2.962146!4d104.7697925!16s%2Fg%2F11t75g_x0c!19sChIJ6xjGaZ93Oy4Reat7jTdBFG4?authuser=0&hl=id&rclk=1","Days Cafe","4,7","(629)","Kafe","·","·","Buka","· Tutup pukul 22.00","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Rasanya standar enak✨ pas di lidahku~

Makanan yg dipesan, enak-enakk!""","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTF0NzVnX3gwYxgBOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=NJz4aZrDAfKfseMP-aG8qAI&ei=NJz4aZrDAfKfseMP-aG8qAI&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online","","","Jl. Dr. M. Isa III No.19-21","·","Rp 50–75 rb"
"https://www.google.com/maps/place/Tjipta+Djaja+kopi+dan+padjoan/data=!4m7!3m6!1s0x2e3b77674215faf9:0x856d8da4df39f360!8m2!3d-2.9813014!4d104.7659341!16s%2Fg%2F11rh1hs3bj!19sChIJ-foVQmd3Oy4RYPM536SNbYU?authuser=0&hl=id&rclk=1","Tjipta Djaja kopi dan padjoan","5,0","(51)","Kedai Kopi","·","Jl. Segaran No.97","Buka","· Tutup pukul 22.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAE25yEXndY9kG65a0ltcXu4-7WFVuXFGLbdGS7IJpFNZNZewzo035z908RjPZNliNxKg06eXtTNTQSDiTdk5Ag9GOT1hgCPnJ8b9D-S45rxv_DEKvZV5hoAnJ62uaqMSaZoGxeP2Q=w80-h142-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Rooftopnya asik buat ngobrol, donatnya enak, harganya affordable.""","","","","","","·","Rp 1–25.000"
"https://www.google.com/maps/place/Foodpedia+Perwari+14/data=!4m7!3m6!1s0x2e3b776359465ceb:0x5d0da3911ea1cbb0!8m2!3d-2.9632726!4d104.7627583!16s%2Fg%2F11nnz7psvp!19sChIJ61xGWWN3Oy4RsMuhHpGjDV0?authuser=0&hl=id&rclk=1","Foodpedia Perwari 14","4,6","(170)","Kedai Kopi","·","Jl. Perwari No.14","Buka","· Tutup pukul 22.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFabQ_ThH40JgYMqG8iXuLmK0dTxJV498XfGJIOQrERxGGezld-iCaaEw6ENyMDho7SiwMpzx7L_07NRlaPaTqEHehImwVb8end1VD7VpPDggEtk4LTxQ7TRXuM56dN2e38bAYc=w80-h106-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Makananya enak harga standar..  Wifi lancar..  Pokoknya  the best 👍""","","","","","","·","Rp 25–50 rb"
"https://www.google.com/maps/place/Common+Grounds+Palembang/data=!4m7!3m6!1s0x2e3b766d27fe5691:0x994cf5fb1e8b6ab1!8m2!3d-2.9755795!4d104.7666473!16s%2Fg%2F11gfcycrk6!19sChIJkVb-J212Oy4RsWqLHvv1TJk?authuser=0&hl=id&rclk=1","Common Grounds Palembang","4,5","(438)","Kafe","·","Jl. Veteran No.999","Buka","· Tutup pukul 22.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAGRSybVHaVpx-IGfYVihhl29ejxTY9ObuiLbPfj7ybm4sdZ_hgI6_0vCDo8lheMjYlo7xfZAlIY4Bl1BTRykswEp5cWKDjDH2iTUbQNQjZEQjtqomxRAnf2vA_CnpCGxxi69IUyxw=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Tempatnya nyaman untuk berdiskusi santai dengan sahabat dan rekan kerja.""","","","","","","·","Rp 75–100 rb"
"https://www.google.com/maps/place/Kopi+16+Pro/data=!4m7!3m6!1s0x2e3b7730890be483:0x5706d92ba76d350!8m2!3d-2.9900083!4d104.7639903!16s%2Fg%2F11y2sn4v4x!19sChIJg-QLiTB3Oy4RUNN2upJtcAU?authuser=0&hl=id&rclk=1","Kopi 16 Pro","5,0","(7.965)","Kafe","·","·","Buka","· Tutup pukul 01.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAHsJUk87muvF4suKUO89IjFhjzdpJlfZBOwV0VSNloXFY3Z8ynZtFX2cbavFXx8Oz9JPh-hihMzYcE75g9WCrSMUMEp0YHF_n4WSraVYf_c8OyILBd5ZUXkafENfmudLcrJaVHcF9HPIQVi=w199-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Makanan dan minuman nya enak dan harganya juga terjangkau""","","","","","Pelataran Dermaga, Jl. Ps. 16 Ilir No.126","·","Rp 25–50 rb"
"https://www.google.com/maps/place/Rajawali+Kopitiam/data=!4m7!3m6!1s0x2e3b766e1b3f79b3:0x1cfe4709caec5dbe!8m2!3d-2.9707474!4d104.7641334!16s%2Fg%2F1hm64pyhm!19sChIJs3k_G252Oy4Rvl3syglH_hw?authuser=0&hl=id&rclk=1","Rajawali Kopitiam","4,4","(1.933)","Kafe","·","·","Buka","· Tutup pukul 23.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAGVKQB3eL050P0NJtFzfQgKicersE8kla18dsJDIumoVJwIpTWPkvakRFIjfqOYzME5dInWQPbam3qEr5y3Q-JP-PrKaW3a7A2xVSi5U1jW8QBDvDFuEoUXPa7NhRvSO8oLwRA=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""makanan nya enak enak
harganya terjangkau
tempatnya cocok buat nongkrong2""","https://www.google.com/searchviewer/42?cvd=CLw_EiYKJOICITIfEhgiFtLX29IPEAoML2cvMWhtNjRweWhtGAE6AwjwDQ%3D%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=PJz4aZybGZqNnesPpP3ZoQQ&ei=PJz4aZybGZqNnesPpP3ZoQQ&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online","","","Jl. Rajawali","·","Rp 25–50 rb"
"https://www.google.com/maps/place/Taki+Coffee+%26+Eatery/data=!4m7!3m6!1s0x2e3b77eb859b2f97:0x8a3495c0beaaffb!8m2!3d-2.9539164!4d104.7733262!16s%2Fg%2F11vqp9yfth!19sChIJly-bhet3Oy4R-6_qC1xJowg?authuser=0&hl=id&rclk=1","Taki Coffee & Eatery","4,4","(918)","Restoran","·","Jl. Bukit Kenten","Buka 24 jam","","https://lh3.googleusercontent.com/gps-cs-s/APNQkAGfxHOKWKsjfFmNsqMei_4UPVBFQJ_7XBDn0v8zcUyllN7whVYOJvwO3YVa3i-pLsw_zQQG1kCyJUHX7w83S5Udv06sDwzL8b449REm2dNBoON5cKta5tBJ8G9TvxIuFt3o9EMM=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Makanan dan minuman cukup enak dengan bumbu yang pas.""","","","","","","·","Rp 25–50 rb"
"https://www.google.com/maps/place/MamMee+Bakery+%26+Kopihaus/data=!4m7!3m6!1s0x2e3b76691544a3df:0x848f008ebe960223!8m2!3d-2.9700831!4d104.7706069!16s%2Fg%2F11bw65st75!19sChIJ36NEFWl2Oy4RIwKWvo4Aj4Q?authuser=0&hl=id&rclk=1","MamMee Bakery & Kopihaus","4,6","(1.145)","Kafe","·","Ruko Taman Harapan Indah, Jl. Letda Abdul Rozak No.20 Blok B 15","Buka","· Tutup pukul 22.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAF_j4Ddteunzfd6PCHPQT4iu93miXCnwzb8-SulySV_utczSF8jvpjqqdWDGMzB3g1bDVo-kERa_jcmW-fOi9K2gUSsfZfX6SqWnmP0NvP0fF7fd72JRBRXxC7OJ3TzKEyEzO-Mhw=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Resto tersedia di lantai 1 dan 2. Makanan enak dan harga terjangkau.""","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTFidzY1c3Q3NRgBOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=PJz4aZybGZqNnesPpP3ZoQQ&ei=PJz4aZybGZqNnesPpP3ZoQQ&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online","","","","·","Rp 50–75 rb"
