"hfpxzc href","qBF1Pd","MW4etd","UY7F9","W4Efsd","W4Efsd 2","doJOZc","W4Efsd 3","W4Efsd 4","W4Efsd 5","W4Efsd 6","UsdlK","FQ2IWe src","Jn12ke src","ah5Ghc","W4Efsd 7","ah5Ghc 2","ah5Ghc 3"
"https://www.google.com/maps/place/Awfa/data=!4m7!3m6!1s0x2e3b75e13af84d45:0x1a1970f8df8392ea!8m2!3d-2.9836921!4d104.754754!16s%2Fg%2F1tg2gswt!19sChIJRU34OuF1Oy4R6pKD3_hwGRo?authuser=0&hl=id&rclk=1","Awfa","4,5","(108)","Toko Percetakan","·","","·","Jl. Letkol Iskandar No.316","Buka","·","0897-0000-553","https://lh3.googleusercontent.com/gps-cs-s/APNQkAGmWQ23kLsFkIJDhoIBup8rw0y3DvKBk6E4ZVkZhgiGZ63lGlLmKUT9fxIhZiOt05W9SaOoamh0LB7OGIkI2d7FEcGJ6ynSrMOEQ612wwffy_ZzVNVr_6260PN2s0QXje1zK1bV=w359-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Pelayanan ok, hasil bagus""","· Tutup pukul 04.00","",""
"https://www.google.com/maps/place/Studio+Kreasindo/data=!4m7!3m6!1s0x2e3b7679fcf1f595:0x221bf2c91a2eb2a6!8m2!3d-2.9707684!4d104.7534185!16s%2Fg%2F1tcy1f7l!19sChIJlfXx_Hl2Oy4RprIuGsnyGyI?authuser=0&hl=id&rclk=1","Studio Kreasindo","4,6","(553)","Layanan cetak digital","·","","Jl. Mayor Salim Batubara No.2401","·","Tutup","","0812-9999-7879","https://lh3.googleusercontent.com/gps-cs-s/APNQkAF1dVztF-60_OwmyVhSrw1LNhY0QBhtMr30K-hTJ1MD_5gBWZnTuQmBq6ydkyIZIy1xpR4sbS4EyW-3uqUL4Ej-PdoNW3AtoICr25DOW6IhC6XUBjxxNaHd_vspKdfTozI4iwxz=w163-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Hasil","· Buka Sel pukul 08.30","print","bagus  harga terjangkau."""
"https://www.google.com/maps/place/Imarah+Printing+Advertising,+Penerbitan+%26+General+Supplier/data=!4m7!3m6!1s0x2e3b75d1768e1b3b:0x7b208dd38ee9495f!8m2!3d-2.953721!4d104.732861!16s%2Fg%2F11jh8f4fnb!19sChIJOxuOdtF1Oy4RX0npjtONIHs?authuser=0&hl=id&rclk=1","Imarah Printing Advertising, Penerbitan & General Supplier","4,7","(453)","Layanan cetak digital","·","","·","Jl. Letnan Murod No.22","Tutup","·","0853-6613-1800","https://lh3.googleusercontent.com/gps-cs-s/APNQkAHxRzqOcXRT5_-kAdK7fooSMYpihfnqeFPoBrGwmTjUoblFsaYYlEHDR6VeBxRciitqFQfigXTwE2Q50IVKGbz-2i7qM53IMg8Y_LPeLiCLjD44l9aNX8QMSJoKRMqmtm1MB0sq4kERTn4c=w80-h106-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""","· Buka Sel pukul 09.00","Printing","yg cepat, murah, praktis."""
"https://www.google.com/maps/place/MOLEK+PRINTING/data=!4m7!3m6!1s0x2e3b9f3ef5772f9d:0x3764b43de4cc7b58!8m2!3d-2.9972172!4d104.7438757!16s%2Fg%2F11jzhkd98y!19sChIJnS939T6fOy4RWHvM5D20ZDc?authuser=0&hl=id&rclk=1","MOLEK PRINTING","4,5","(109)","Toko Percetakan","·","","Jl. Makrayu No.872","·","Buka 24 jam","","0813-7333-3400","https://lh3.googleusercontent.com/gps-cs-s/APNQkAHStJFFNSwMk6Wfw8TcKTsz8fmNOfgm4xajR09l6VW3m2nAZ11waSr33BVQ3NsTHHtv-mHKIhPeI7D8HbzT87Uobi6ZhRJnL6nwf81SpW6benbT3ABUOUbEJ33bug1VXOmhG9lNpQ=w80-h106-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Cetakan bisa ditunggu xpress
Murah, bagus, kualitas terbaik.""","","",""
"https://www.google.com/maps/place/Ecoprint+Digital+Printing/data=!4m7!3m6!1s0x2e3b76060427c25b:0xeeea80620d1a5418!8m2!3d-2.9864178!4d104.758468!16s%2Fg%2F1pzyl1jkk!19sChIJW8InBAZ2Oy4RGFQaDWKA6u4?authuser=0&hl=id&rclk=1","Ecoprint Digital Printing","4,5","(151)","Layanan cetak digital","·","","·","Jl. Kapten Cek Syeh No.184/26","Tutup","·","(0711) 5731424","https://lh3.googleusercontent.com/gps-cs-s/APNQkAGTyay2i1Fn1qESwiaRXLBfkOpUpSSiP-PuzZ0aNQ2AEqmxw6de3xVWwYh2FB07VPD_Kfrhiw7AbFLQW29_6ZfcMCVE5CzxheGUYNUu_U6-bO5WBozo8FDGaHbPQm32ShyiodefUQ=w92-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Yang mau","· Buka Sel pukul 08.30","cetak","banner dan lain2 disini pakarnya"""
"https://www.google.com/maps/place/Titip+print+official+palembang/data=!4m7!3m6!1s0x2e3b752d25286dc9:0x41338af2b193fa92!8m2!3d-2.9832704!4d104.7306132!16s%2Fg%2F11vdh23jds!19sChIJyW0oJS11Oy4RkvqTsfKKM0E?authuser=0&hl=id&rclk=1","Titip print official palembang","4,7","(3)","Toko Fotokopi","·","","Jl. Lunjuk Jaya","·","Buka","","0813-6926-4268","https://lh3.googleusercontent.com/gps-cs-s/APNQkAHTfQvRjfWoAMweLdDx4dyQFiesV7gznfXSw1eeSyzHlhk-DI79C4ubIuqX2a97poH3JlVOEZ1J1oWMaMUDhKoO3-WoL7DiGjFBL47Wjd0MpVD2PyRW1BilSLBboS5uV5J3B7JbQR8HEs-Z=w163-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Tersedia juga","· Tutup pukul 22.00","cetak","pas foto dan polaroid."""
"https://www.google.com/maps/place/PAYOPRINT+Station+%28Sukarami%29/data=!4m7!3m6!1s0x2e3b7500255b8d11:0x5f7664cdab8752d6!8m2!3d-2.9431153!4d104.7424016!16s%2Fg%2F11yvr7hh13!19sChIJEY1bJQB1Oy4R1lKHq81kdl8?authuser=0&hl=id&rclk=1","PAYOPRINT Station (Sukarami)","5,0","(2)","Toko Percetakan","·","","Jl. Malaka Lorong Mekar IV No.3556, RT.41/RW.06","·","Buka 24 jam","","0815-3293-0863","https://lh3.googleusercontent.com/gps-cs-s/APNQkAEiKl0ZGJrmT58h98OjF_2oRd14yqi74BQCnPqjqeGtwh3-CQ2n0dVGBzRDQxnQ_TT4QugKCYLtqEBab0H3Gv7RQrxM0DmEwy2qg0eLOOnpDPDLX1A66UFBFfXDZ51qK08B08c3j7bpiQNi=w80-h106-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""FAST respon dan kualitas terbaik""","","",""
"https://www.google.com/maps/place/PALEMBANG+PRINTING/data=!4m7!3m6!1s0x2e3b7469d7930105:0xee1f9d4168770891!8m2!3d-2.9365479!4d104.7238002!16s%2Fg%2F11b76tvxlb!19sChIJBQGT12l0Oy4RkQh3aEGdH-4?authuser=0&hl=id&rclk=1","PALEMBANG PRINTING","4,5","(84)","Layanan cetak digital","·","","Lrg. Mayor Nawawi No.447","·","Tutup","","0813-7976-3989","https://lh3.googleusercontent.com/gps-proxy/ALd4DhGXOS2FN70ZxAU63uaZ1a1fOZp7yX0GlS5QedJba4MD5m7DHCy2Ney0eGmXT6i6dN5ZEM8kP2u-DnAIRj0rTCc8_px3ab5yoeX9pn2Gz3SE9oUzg7euZd_xDibUjH50A6cnRqRuJSlCMqrYih0bkGr-PvwvkjoCNX1ZIFYU_fvuCYEmFiugKDWWzlx8qRvTN_DZwg=w80-h106-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Sangat membantu semoga tetap jaya dan makin maju""","· Buka Sel pukul 07.00","",""
"https://www.google.com/maps/place/SINAR+ABADI+%28Copy+Center+-+Stationery+-+Print+Photo+-+Administrative+Service+-+Graphic+Design%29/data=!4m7!3m6!1s0x2e3b77ea2db640f9:0xa8e7f2343c899aa3!8m2!3d-2.9684276!4d104.8122733!16s%2Fg%2F11j0rw8tw5!19sChIJ-UC2Lep3Oy4Ro5qJPDTy56g?authuser=0&hl=id&rclk=1","SINAR ABADI (Copy Center - Stationery - Print Photo - Administrative Service - Graphic Design)","4,2","(20)","Toko Fotokopi","·","","Jl. May Zen","·","Segera tutup","","0822-1731-0581","https://lh3.googleusercontent.com/gps-cs-s/APNQkAH4jmrG2XI8MP4sWtbSbAuB0gafKygNbzi-HSPW_y4dxnStnehyxKFv5qmpRnU0Rt8sxW-MnEXIrqbqJcIc-spVf_ZMoKQgG3b3IInxkZIuz0TEggD3mGPhHxRnU8FxYqG7OnVsuxjj15jD=w80-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Ini langganan aku bgtt,fotocopy gambar 4 cuma 1k doang woww""","· 21.00 · Buka Sel pukul 08.00","",""
"https://www.google.com/maps/place/Selaras+Digital+Printing+Palembang/data=!4m7!3m6!1s0x2e3b75c4889ee1f5:0x8afed4516dd4ce88!8m2!3d-2.9707802!4d104.7368752!16s%2Fg%2F113fgyymc!19sChIJ9eGeiMR1Oy4RiM7UbVHU_oo?authuser=0&hl=id&rclk=1","Selaras Digital Printing Palembang","4,6","(27)","Layanan cetak digital","·","","Jl. Angkatan 45 No.21-29 / 952","·","Tutup","","0851-0088-3396","https://lh3.googleusercontent.com/gps-cs-s/APNQkAEw5A421PdF8qCct7OLfytiR3kkLLm4N5yxQAveVVEvMpSC7xviEa3eMQRzpkeeocGlk0VWDTf7IdFOtEnoswsJCWdd5cYDGBEBzsnqH_kE3NJG9lXhzmThqvyKA2ghfCpbmfpjDktSBfae=w122-h92-k-no","","","· Buka Sel pukul 08.00","",""
