"hfpxzc href","qBF1Pd","W4Efsd","W4Efsd 2","W4Efsd 3","Cw1rxd","R8c4Qb"
"https://www.google.com/maps/place/Tangga+Buntung/data=!4m7!3m6!1s0x2e3b9e0b62957711:0xd7a39bece756d227!8m2!3d-3.0134706!4d104.7462293!16s%2Fg%2F11bc73bvgw!19sChIJEXeVYgueOy4RJ9JW5-ybo9c?authuser=0&hl=id&rclk=1","Tangga Buntung","Perhentian bus","·","Jl. Pangeran Sido Ing Lautan","","Rute"
"https://www.google.com/maps/place/SMAN+1+Palembang/data=!4m7!3m6!1s0x2e3b75f2da577d31:0xd2b86d769629ef98!8m2!3d-2.988374!4d104.729627!16s%2Fg%2F11f5g00n95!19sChIJMX1X2vJ1Oy4RmO8plnZtuNI?authuser=0&hl=id&rclk=1","SMAN 1 Palembang","Perhentian bus","","","","Rute"
"https://www.google.com/maps/place/Polrestabes+Palembang/data=!4m7!3m6!1s0x2e3b9df3c2e80fb9:0xc77c7eab1676de20!8m2!3d-3.0017!4d104.77042!16s%2Fg%2F11s7_3sbvc!19sChIJuQ_owvOdOy4RIN52Fqt-fMc?authuser=0&hl=id&rclk=1","Polrestabes Palembang","Perhentian bus","","","","Rute"
"https://www.google.com/maps/place/Pegadaian+Palembang+1/data=!4m7!3m6!1s0x2e3b76043d2f8fcd:0xe8d2b89103050e3!8m2!3d-2.98951!4d104.7587!16s%2Fg%2F11tfp673lq!19sChIJzY8vPQR2Oy4R41AwEIkrjQ4?authuser=0&hl=id&rclk=1","Pegadaian Palembang 1","Perhentian bus","","","","Rute"
"https://www.google.com/maps/place/AGEN+DAMRI+TERMINAL+ALANG+ALANG/data=!4m7!3m6!1s0x2e3b736472171533:0x2b87bca55bac00eb!8m2!3d-2.916556!4d104.680926!16s%2Fg%2F1tfhpxm_!19sChIJMxUXcmRzOy4R6wCsW6W8hys?authuser=0&hl=id&rclk=1","AGEN DAMRI TERMINAL ALANG ALANG","Agen Tiket Bus","·","3MMJ+99F, Jalan Bypass","","Rute"
"https://www.google.com/maps/place/Citra+Grand+City+A/data=!4m7!3m6!1s0x2e3b7497962f17ed:0x2d0a8f84f62f4176!8m2!3d-2.92821!4d104.68213!16s%2Fg%2F11b7r6dfch!19sChIJ7Rcvlpd0Oy4RdkEv9oSPCi0?authuser=0&hl=id&rclk=1","Citra Grand City A","Perhentian bus","·","Jl. Bypass Alang-Alang Lebar","","Rute"
"https://www.google.com/maps/place/Gramedia+A/data=!4m7!3m6!1s0x2e3b744229189f8d:0xd0e8431822b6d6ac!8m2!3d-2.9396644!4d104.7226184!16s%2Fg%2F11b77zw05h!19sChIJjZ8YKUJ0Oy4RrNa2IhhD6NA?authuser=0&hl=id&rclk=1","Gramedia A","Perhentian bus","·","Jl. Kolonel H. Barlian","","Rute"
"https://www.google.com/maps/place/Sentosa+B/data=!4m7!3m6!1s0x2e3b77d5e7dc8351:0xeab6df6c42560093!8m2!3d-2.9939273!4d104.8039753!16s%2Fg%2F11b7hv_6t6!19sChIJUYPc59V3Oy4RkwBWQmzftuo?authuser=0&hl=id&rclk=1","Sentosa B","Perhentian bus","","","","Rute"
"https://www.google.com/maps/place/Karya+Jaya/data=!4m7!3m6!1s0x2e3b9eb00a008637:0x959bc73952aa4d12!8m2!3d-3.0636498!4d104.7388609!16s%2Fg%2F11bc737_6q!19sChIJN4YACrCeOy4REk2qUjnHm5U?authuser=0&hl=id&rclk=1","Karya Jaya","Perhentian bus","·","Jalan Terminal Karya Jaya","","Rute"
"https://www.google.com/maps/place/SDN+156+Palembang/data=!4m7!3m6!1s0x2e3b767a28962183:0x154f066dec2bc32d!8m2!3d-2.96473!4d104.75818!16s%2Fg%2F11tfp5xyp3!19sChIJgyGWKHp2Oy4RLcMr7G0GTxU?authuser=0&hl=id&rclk=1","SDN 156 Palembang","Perhentian bus","","","","Rute"
