"hfpxzc href","qBF1Pd","MW4etd","UY7F9","W4Efsd","W4Efsd 2","doJOZc","W4Efsd 3","W4Efsd 4","UsdlK","Cw1rxd","R8c4Qb","Jn12ke src","ah5Ghc","W4Efsd 5","W4Efsd 6","W4Efsd 7","ah5Ghc 2"
"https://www.google.com/maps/place/BAROKAH+FOTOCOPY/data=!4m7!3m6!1s0x2e3b7680c6f57e2d:0xbb25a026b384bce6!8m2!3d-2.9552842!4d104.7569112!16s%2Fg%2F11g6w6w90c!19sChIJLX71xoB2Oy4R5ryEsyagJbs?authuser=0&hl=id&rclk=1","BAROKAH FOTOCOPY","3,7","(37)","Toko Fotokopi","·","","2QW4+57H, Jl. Bali No.2251","·","0897-8447-925","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Lengkap, bisa cetak","Segera tutup","· 21.00 · Buka Sel pukul 06.30","","foto"
"https://www.google.com/maps/place/Agung+Foto/data=!4m7!3m6!1s0x2e3b7672bbc244cf:0x72e6873e3a15857d!8m2!3d-2.9760172!4d104.7569347!16s%2Fg%2F1hc30n5v4!19sChIJz0TCu3J2Oy4RfYUVOj6H5nI?authuser=0&hl=id&rclk=1","Agung Foto","4,8","(47)","Toko Fotokopi","·","","·","Jl. Veteran No.292 A","(0711) 312675","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Cepat, pelayanannya prima dan owner-nya baik hati""","Tutup","· Buka Sel pukul 08.00","·",""
"https://www.google.com/maps/place/Fotocopy+Ridho/data=!4m7!3m6!1s0x2e3b765c78e15f9d:0xdc1273666706708b!8m2!3d-2.9636752!4d104.7811835!16s%2Fg%2F11b7q4rsk5!19sChIJnV_heFx2Oy4Ri3AGZ2ZzEtw?authuser=0&hl=id&rclk=1","Fotocopy Ridho","4,6","(46)","Toko Fotokopi","·","","2QPJ+GFF, Lorong Sukarela","·","(0711) 713606","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""tempat nya cukup luas, dan bagusnya buka sampai malam""","Buka","· Tutup pukul 23.00","",""
"https://www.google.com/maps/place/Fotocopy+51/data=!4m7!3m6!1s0x2e3b7428fb991d11:0x8cc09a4a3d392173!8m2!3d-2.9494138!4d104.7485839!16s%2Fg%2F11bylbz3t8!19sChIJER2Z-yh0Oy4RcyE5PUqawIw?authuser=0&hl=id&rclk=1","Fotocopy 51","4,5","(32)","Toko Fotokopi","·","","Jalan Kandis 1 Kel. Talang Aman","·","0831-4564-1997","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Tempat","Buka","· Tutup pukul 22.00","","fotokopi"
"https://www.google.com/maps/place/Anntri+cell+%26+fotokopi/data=!4m7!3m6!1s0x2e3b77000ca1dad5:0x4b2d222c0c36392b!8m2!3d-2.9763175!4d104.7756431!16s%2Fg%2F11nbtt5rk4!19sChIJ1dqhDAB3Oy4RKzk2DCwiLUs?authuser=0&hl=id&rclk=1","Anntri cell & fotokopi","5,0","(1)","Toko Fotokopi","·","","2QFG+F69","","","","Rute","","","Segera tutup","· 21.00 · Buka Sel pukul 06.00","",""
"https://www.google.com/maps/place/RAHMAN+NET+%26+FOTO+COPY/data=!4m7!3m6!1s0x2e3b75fd2ec41213:0x508f8277c74acfd4!8m2!3d-2.9865487!4d104.7494714!16s%2Fg%2F11b76f1rzj!19sChIJExLELv11Oy4R1M9Kx3eCj1A?authuser=0&hl=id&rclk=1","RAHMAN NET & FOTO COPY","4,4","(80)","Toko Fotokopi","·","","·","2P7X+9QQ, Jl. Cemp.","(0711) 355940","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Good Goat Milk
ALMOND milk nutricha
Tersedia di sini""","Buka","· Tutup pukul 22.00","·",""
"https://www.google.com/maps/place/Maripose+Studio+Palembang/data=!4m7!3m6!1s0x2e3b77b61e86ef55:0xd5821c6f9788032b!8m2!3d-2.9670007!4d104.7635862!16s%2Fg%2F11krygb19f!19sChIJVe-GHrZ3Oy4RKwOIl28cgtU?authuser=0&hl=id&rclk=1","Maripose Studio Palembang","5,0","(2.023)","Jasa fotografi","·","","Jl. Bangau No.170a","·","0895-6385-70402","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Tempat fotonya nyaman, bersih, rapi, dan pelayanan nya super baik pol!!""","Tutup","· Buka Sel pukul 10.00","",""
"https://www.google.com/maps/place/TOKO+TRIGUNA+COPIER/data=!4m7!3m6!1s0x2e3b760fa1eb63e1:0x7de1123b560478fd!8m2!3d-2.9844513!4d104.7611098!16s%2Fg%2F1hm2qpq_x!19sChIJ4WProQ92Oy4R_XgEVjsS4X0?authuser=0&hl=id&rclk=1","TOKO TRIGUNA COPIER","4,3","(45)","Toko Fotokopi","·","","·","Jl. Kolonel Atmo No.418","(0711) 353368","","Rute","","","Tutup","· Buka Sel pukul 08.00","·",""
"https://www.google.com/maps/place/Nagatekindo/data=!4m7!3m6!1s0x2e3b767385a78637:0xc9adf561d19597b7!8m2!3d-2.9733308!4d104.7584341!16s%2Fg%2F11b76twrg9!19sChIJN4anhXN2Oy4Rt5eV0WH1rck?authuser=0&hl=id&rclk=1","Nagatekindo","4,3","(16)","Toko Reparasi Mesin Fotokopi","·","","·","Jl. Mayor Ruslan No.1588","(0711) 317066","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Lengkap,bisa service semua mesin.""","Tutup","· Buka Sel pukul 08.00","·",""
"https://www.google.com/maps/place/Yelly+Fotocopy/data=!4m7!3m6!1s0x2e3b76064fe4f091:0xb401ee1f99de907d!8m2!3d-2.987819!4d104.7556396!16s%2Fg%2F11b76fhfd7!19sChIJkfDkTwZ2Oy4RfZDemR_uAbQ?authuser=0&hl=id&rclk=1","Yelly Fotocopy","4,7","(18)","Toko Fotokopi","·","","·","Jl. Datuk Moh. Akib No.148","0813-6762-1731","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Layanan nya OK,
Tepat Cepat,""","Segera tutup","· 21.00 · Buka Sel pukul 07.00","·",""
"https://www.google.com/maps/place/Fotokopi+Koko/data=!4m7!3m6!1s0x2e3b76781fa2acb7:0xe269028bc25425cd!8m2!3d-2.966509!4d104.7533197!16s%2Fg%2F11c57m97gg!19sChIJt6yiH3h2Oy4RzSVUwosCaeI?authuser=0&hl=id&rclk=1","Fotokopi Koko","4,7","(53)","Toko Fotokopi","·","","·","Jl. Kom. Pol. H. M. Damsyik","","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Pelayanan cepat dan teliti!""","Tutup","· Buka Sel pukul 07.30","",""
"https://www.google.com/maps/place/M@vy+Photocopy/data=!4m7!3m6!1s0x2e3b7670a31abeeb:0xd9a4445cf50ab794!8m2!3d-2.9660775!4d104.7581195!16s%2Fg%2F11c1pgj1wq!19sChIJ674ao3B2Oy4RlLcK9VxEpNk?authuser=0&hl=id&rclk=1","M@vy Photocopy","5,0","(2)","Toko Fotokopi","·","","·","Jalan Kebun Semai No. 49, 4081, RT.007/RW.03","0852-6723-1200","","Rute","","","Tutup","· Buka Sel pukul 06.30","·",""
"https://www.google.com/maps/place/Mulya+Jaya/data=!4m7!3m6!1s0x2e3b767820299763:0xff9a5ce4a9c24775!8m2!3d-2.9665244!4d104.7534257!16s%2Fg%2F11b7q1xww3!19sChIJY5cpIHh2Oy4RdUfCqeRcmv8?authuser=0&hl=id&rclk=1","Mulya Jaya","4,7","(111)","Toko Fotokopi","·","","·","Jl. Kom. Pol. H. M. Damsyik","0821-8697-2910","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Harga masih bisa lebih murah dari FC lain""","Tutup","· Buka Sel pukul 07.30","·",""
"https://www.google.com/maps/place/Toko+Siswa+Plus/data=!4m7!3m6!1s0x2e3b761220ec9889:0xa70207160a605b57!8m2!3d-2.9808647!4d104.7654344!16s%2Fg%2F124t4r7hg!19sChIJiZjsIBJ2Oy4RV1tgChYHAqc?authuser=0&hl=id&rclk=1","Toko Siswa Plus","4,5","(72)","Toko Alat Tulis Kantor","·","","·","Jl. Lingkaran1 No.36","(0711) 311786","","Situs Web","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Rekomen
BRG lengkap harganya murah mantap""","Tutup","· Buka Sel pukul 09.00","·",""
"https://www.google.com/maps/place/Fotokopi+Fantasy/data=!4m7!3m6!1s0x2e3b771781eff70b:0x672fc3c6db17b809!8m2!3d-2.9753299!4d104.7704826!16s%2Fg%2F11g1lj5v6f!19sChIJC_fvgRd3Oy4RCbgX28bDL2c?authuser=0&hl=id&rclk=1","Fotokopi Fantasy","5,0","(6)","Toko Alat Tulis","","","","","","","Rute","","","Tutup","· Buka Sel pukul 08.00","",""
"https://www.google.com/maps/place/PRIMA+BARU+ATK/data=!4m7!3m6!1s0x2e3b767bf1882dfb:0xe97fa7296ccc1b92!8m2!3d-2.9623393!4d104.7589176!16s%2Fg%2F11b7ch0lx2!19sChIJ-y2I8Xt2Oy4RkhvMbCmnf-k?authuser=0&hl=id&rclk=1","PRIMA BARU ATK","4,5","(14)","Toko Fotokopi","·","","·","Jl. Mayor Salim Batubara No.2547 A","(0711) 370479","","Rute","","","Tutup","· Buka Sel pukul 09.30","·",""
"https://www.google.com/maps/place/Amelia+Photo+Studio/data=!4m7!3m6!1s0x2e3b7613e0ac4cc1:0xb54a517d79d435b4!8m2!3d-2.9808598!4d104.7687231!16s%2Fg%2F1pzvq1f_q!19sChIJwUys4BN2Oy4RtDXUeX1RSrU?authuser=0&hl=id&rclk=1","Amelia Photo Studio","4,4","(56)","Studio Foto","·","","·","Jl. Slamet Riady No.223","","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Pas dibilangin cuma ngmg2 doank bukannya gantiin fotonya .""","Tutup","· Buka Sel pukul 08.00","",""
"https://www.google.com/maps/place/UC+Print+Percetakan+%26+Digital+Printing+Palembang/data=!4m7!3m6!1s0x2e3b760f34345a6b:0xdaceb1530bd334df!8m2!3d-2.9847252!4d104.7582622!16s%2Fg%2F11c6pmm1bf!19sChIJa1o0NA92Oy4R3zTTC1Oxzto?authuser=0&hl=id&rclk=1","UC Print Percetakan & Digital Printing Palembang","4,6","(95)","Layanan cetak digital","·","","·","Jl. Akbp H. Moh. Amin No.455","0857-6897-8764","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Harga bersaing, hasilnya oke dg kualitas yg baik.""","Tutup","· Buka Sel pukul 08.00","·",""
"https://www.google.com/maps/place/Best+Friend%27s/data=!4m7!3m6!1s0x2e3b767b26a33ef7:0x46fdb95083c58506!8m2!3d-2.9638656!4d104.7627291!16s%2Fg%2F1pzvq1g01!19sChIJ9z6jJnt2Oy4RBoXFg1C5_UY?authuser=0&hl=id&rclk=1","Best Friend's","","","Toko Fotokopi","·","","2QP7+F35","","0821-8224-8881","","Rute","","","","","",""
