"hfpxzc href","qBF1Pd","MW4etd","UY7F9","AJB7ye","AJB7ye 2","W4Efsd","W4Efsd 2","W4Efsd 3","W4Efsd 4","W4Efsd 5","FQ2IWe src","Jn12ke src","ah5Ghc","doJOZc","W4Efsd 6","ah5Ghc 2","ah5Ghc 3","A1zNzb href","J8zHNe","bbPy1","M4A5Cf","M4A5Cf 2"
"https://www.google.com/maps/place/PIZZA+ETVETERAN+PALEMBANG/data=!4m7!3m6!1s0x2e3b75e5ae0029db:0x9d6b379d234fd6!8m2!3d-2.9457075!4d104.7518509!16s%2Fg%2F11hvwg8p22!19sChIJ2ykAruV1Oy4R1k8jnTdrnQA?authuser=0&hl=id&rclk=1","PIZZA ETVETERAN PALEMBANG","5,0","(7)","","","Pizza","·","Jl. Angkatan 66 No.1502","Buka","· Tutup pukul 22.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAGBGILc4ElwqDXZEqqAIxMQynH3hW70QLpvwQgN3nacUCoitv52X62PSnXpdA-CJiBAgO4EHIdH4KH_qY2eH88m-eY-P0u5MdyVigFcJJpGGoeY5Zp9XoakE3B5Cr5kkNUTEq_r=w199-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Tempat nya bagus nyaman bersih makanan nya enak""","","","","","","","","",""
"https://www.google.com/maps/place/Domino%27s+Pizza/data=!4m7!3m6!1s0x2e3b77c77257889d:0x404c4aa9e3f2b5e0!8m2!3d-2.9423769!4d104.7674372!16s%2Fg%2F11rj_m5qwy!19sChIJnYhXcsd3Oy4R4LXy46lKTEA?authuser=0&hl=id&rclk=1","Domino's Pizza","4,5","(218)","·","$$","Pizza","·","Jl. MP. Mangkunegara No.2 & 3","Buka","· Tutup pukul 00.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFaY2oPHyFIJ9hoS8p4FnmWl6MTfsdVqSFyq-AG7rHsH6G8wdh9Y55zwe3Use6b1pY382BCmTgOveXZCAP4_usiH8z4DRIn7Ga2l4jzhNXyFmHoQqLHXrPSe91Ec9yOMTa5hlc=w80-h106-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Pizzanya tidak kering sperti dominos lainnya.""","","Resto pizza delivery yang berdiri lama","","","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTFyal9tNXF3eRgAOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=r534aa3yKp-RseMP96e0sAo&ei=r534aa3yKp-RseMP96e0sAo&fo_s=OA&opi=79508299&ebb=1&cs=0&foub=mcpp","Pesan online","","",""
"https://www.google.com/maps/place/Domino%27s+Pizza/data=!4m7!3m6!1s0x2e3b75a6af34619f:0xdf24a09df7651b3f!8m2!3d-2.9262046!4d104.7137016!16s%2Fg%2F11sgkft32x!19sChIJn2E0r6Z1Oy4RPxtl952gJN8?authuser=0&hl=id&rclk=1","Domino's Pizza","4,5","(578)","·","$$","Pizza","·","·","Buka","· Tutup pukul 00.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAGM_AB_rdlYoQeZ1JILlJd6HxU6JjjhMpc20GWc5pP1mU9mU27OHkS8d-VWWHMVk3MeLIXoKLZw_FjMJv0_71YThFPFbk3NvTXo-IRQy53BBRDX6cBoiPgqjpViRd0f6TdAqYkCog=w92-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Enak pizzanya, khasnya itu kayak ada butiran halus dipizzanya.""","","Km 9 Block A B No 65, Jl. Kolonel H. Barlian No.010, RT.035","","","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTFzZ2tmdDMyeBgAOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=r534aa3yKp-RseMP96e0sAo&ei=r534aa3yKp-RseMP96e0sAo&fo_s=OA&opi=79508299&ebb=1&cs=0&foub=mcpp","Pesan online","","",""
"https://www.google.com/maps/place/Brava+Parlour/data=!4m7!3m6!1s0x2e3b75e0cb07463b:0xc1c59c06b46f435f!8m2!3d-2.977859!4d104.7467303!16s%2Fg%2F11c5cv9zwq!19sChIJO0YHy-B1Oy4RX0NvtAacxcE?authuser=0&hl=id&rclk=1","Brava Parlour","4,6","(134)","·","Rp 250.000+","Italia","·","The Arista Hotel Palembang, Jl. Kapten A. Rivai Lt. Lobby","Buka","· Tutup pukul 00.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFpNqS06g1__-gh6njq5Nr9vG5JErmothnbKxc-zTI6XFo6rwVe_DnjYy6rtZWy1wpd-nzQurM9XEfJqNS04wc2VSW79CyJ9f4rwGLrO6VBYiACzW0mdJ6mZjlrvzt47bONCuBs=w80-h106-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""terus fettuccine carbonara nya emg rasanya asem bau basi atau gimana ya?""","","","","","","","","",""
"https://www.google.com/maps/place/Master+Cheese+Pizza+Palembang/data=!4m7!3m6!1s0x2e3b75da4e213fa9:0xaa327c1d249cbc93!8m2!3d-2.9891719!4d104.7434082!16s%2Fg%2F11fky_grpd!19sChIJqT8hTtp1Oy4Rk7ycJB18Mqo?authuser=0&hl=id&rclk=1","Master Cheese Pizza Palembang","4,2","(29)","·","$$","Pizza","·","2P6V+89M, Jl. POM IX","Tutup","· Buka Sel pukul 10.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAHJOBXCc7zM1P-R2kSgvr3zcYQ-3MWJG5LbyTMpgsSkPhlGGHJhvDTuWR-srHqM2B5BozrBbywKH5itydniUxVoKhrDiGvkeb6_nDEIAIbm3UKs9JeTGww0pYOqQz4YRBZcWqvw=w189-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Panas tempatny..klo makanan lumyan sm pelayanan""","","","","","","","","",""
"https://www.google.com/maps/place/Pizza+Rakyat+Simpang+Lima/data=!4m7!3m6!1s0x2e3b74240f30a381:0xfc63f5baca061888!8m2!3d-2.9439851!4d104.7481342!16s%2Fg%2F11c58n3wkm!19sChIJgaMwDyR0Oy4RiBgGyrr1Y_w?authuser=0&hl=id&rclk=1","Pizza Rakyat Simpang Lima","4,4","(101)","·","$","Pizza","·","·","Segera tutup","· 21.00 · Buka Sel pukul 10.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAGbjhBBAZvE_Y-kCO5lUx-A7ySSKDBXWHX6LQaI_iT_vLAkkdwRyawi9oWw297ldrpRYz69I3VPmS3C84GiB6WDBc0AXOeX5BthBB0hdoPEDWs4ryn_ErnRQx9r1_hddk2tw36A=w80-h142-k-no","","Makan di tempat","","Jl. R.A. Abusamah No.3934","Bawa pulang","Antar tanpa bertemu","","","","·","·"
"https://www.google.com/maps/place/Pizza+real/data=!4m7!3m6!1s0x2e3b770a847625bd:0xaff6d287bea169ed!8m2!3d-2.9593911!4d104.752919!16s%2Fg%2F11fmldlpnb!19sChIJvSV2hAp3Oy4R7WmhvofS9q8?authuser=0&hl=id&rclk=1","Pizza real","4,6","(25)","","","Pizza","·","2QR3+65V, Lorong Karya I","Segera tutup","· 21.00 · Buka Sel pukul 07.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAE37KwYRN1KbLxxBaeZ5Fy8c0wG0MLrqMuFAR-ZlPvAlf-m3cV-A6mAQLqqPbkQzcPNjk6TTgX-qDcbu3GyG9xeED9II_YI6wuCNLeDvDU-r7U0BUGYsAHKXFgqzmdE1XjWej3Smw=w80-h106-k-no","","Makan di tempat","","","Bawa pulang","Antar tanpa bertemu","","","","·","·"
"https://www.google.com/maps/place/Domino%27s+Pizza/data=!4m7!3m6!1s0x2e3b772b6cfc6681:0x5f0f8a931d9da4f3!8m2!3d-2.9806279!4d104.7644871!16s%2Fg%2F11ptr802rr!19sChIJgWb8bCt3Oy4R86SdHZOKD18?authuser=0&hl=id&rclk=1","Domino's Pizza","4,2","(160)","·","$$","Pizza","·","Jl. Lingkaran 1 Jl Lingkaran No.453A, RT.009/RW.002","Buka","· Tutup pukul 00.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAGqHLPDDr_jMvd217ibcMmuoACIR9CPnMxOB2TAj4ttIW2dru4NVrFHjtjLY8KcZHEuNaRVGo6f4SvoXuma5eR4zpyaIUn8lp-gUwEp0ss0aehx3v9h0xTzN7rDC-EnpJtFbRbL=w80-h106-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""","","Resto pizza delivery yang berdiri lama","Pizza","nya enak terutama pie supreme, pelayanannya juga ramah-ramah🥰🥰🥰""","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTFwdHI4MDJychgAOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=r534aa3yKp-RseMP96e0sAo&ei=r534aa3yKp-RseMP96e0sAo&fo_s=OA&opi=79508299&ebb=1&cs=0&foub=mcpp","Pesan online","","",""
"https://www.google.com/maps/place/Pizza+Hut+Delivery+-+PHD+Indonesia/data=!4m7!3m6!1s0x2e3b770abc7d2745:0x7ed09748f8420f9f!8m2!3d-2.9479229!4d104.7852332!16s%2Fg%2F11glfgqb8l!19sChIJRSd9vAp3Oy4Rnw9C-EiX0H4?authuser=0&hl=id&rclk=1","Pizza Hut Delivery - PHD Indonesia","4,6","(376)","·","Rp 75–100 rb","Stan Pizza","·","·","Buka","· Tutup pukul 23.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAGIAGAXchQj_qfAN-3mxefYtzLqO9qhtsQZ32i1hd468mC55M5ULa-FNQY9xJn9f9esDbv9WZwC9oT2K3QYesBrjXHUYtQVAZhAth2FSTYC6TBtXy-sl6hSni8cy8m5_H9Js46A=w80-h106-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Tempatnya nyaman dan sedikit luas,","","Jl. Brigjen Hasan Kasim","pizza","nya juga enak dan lembut""","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTFnbGZncWI4bBgAOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=r534aa3yKp-RseMP96e0sAo&ei=r534aa3yKp-RseMP96e0sAo&fo_s=OA&opi=79508299&ebb=1&cs=0&foub=mcpp","Pesan online","","",""
"https://www.google.com/maps/place/LAVOI+PIZZA/data=!4m7!3m6!1s0x2e3b77003c3f9bfb:0xf8e210c65e815e8c!8m2!3d-2.9630359!4d104.7846256!16s%2Fg%2F11yzd1qbk0!19sChIJ-5s_PAB3Oy4RjF6BXsYQ4vg?authuser=0&hl=id&rclk=1","LAVOI PIZZA","5,0","(4)","","","Pizza","·","2QPM+QVJ, Jl. Urip Sumoharjo","Buka","· Tutup pukul 21.30","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFkubGH87QpHOJw6UlRjV8hOtJrN8XeTYNHdr3hsztfdI5UN3FzEAnGv8HALIau-CXZlJj2gJW6Fhf1kLCvPTcQLwIqh1KXdvXxKCiqKMSv4_4QDfqHskhxSH7borH4UmNT5SW05YbrzJMp=w80-h142-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""","","","Pizza","ala italian.. wajib dicoba guys!!""","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTF5emQxcWJrMBgBOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=r534aa3yKp-RseMP96e0sAo&ei=r534aa3yKp-RseMP96e0sAo&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online","","",""
