"hfpxzc href","qBF1Pd","MW4etd","UY7F9","AJB7ye","AJB7ye 2","W4Efsd","W4Efsd 2","W4Efsd 3","W4Efsd 4","W4Efsd 5","FQ2IWe src","Jn12ke src","ah5Ghc","A1zNzb href","J8zHNe","bbPy1","W4Efsd 6","doJOZc"
"https://www.google.com/maps/place/Ayam+Gepuk+ECO+RAOS+Bogor/data=!4m7!3m6!1s0x2e69c5d60f413731:0xae2a3bebfce74ceb!8m2!3d-6.5919582!4d106.8170711!16s%2Fg%2F11h1lh51m!19sChIJMTdBD9bFaS4R60zn_Os7Kq4?authuser=0&hl=id&rclk=1","Ayam Gepuk ECO RAOS Bogor","4,6","(930)","·","Rp 25–50 rb","Ayam","·","·","Segera tutup","· 21.00 · Buka Sel pukul 09.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAHma0deMs_NsKGe0MMj1aVC6PTdSerfYwse_Hq-1Zu0R25fIU0h80gp4djgssYKxwSuNMZcqWQEWshhWMXnblLCrCHZSXsLor7DQkiLY55J743NfCvtBoKddas8HhhdCydonUpu2A=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Good food good service.""","","","","KPP IPB, Jl. Kol. Ahmad Syam Jl. Baranangsiang 4 No.1 Blok B, RT.03/RW.10",""
"https://www.google.com/maps/place/Raindear+Coffee+%26+Kitchen+Bogor/data=!4m7!3m6!1s0x2e69c5bd055d17b7:0xa76052fb24e986b6!8m2!3d-6.6034326!4d106.8102516!16s%2Fg%2F11h7cqvl4c!19sChIJtxddBb3FaS4RtobpJPtSYKc?authuser=0&hl=id&rclk=1","Raindear Coffee & Kitchen Bogor","4,8","(8.342)","·","$$","Restoran","·","Jl. Bina Marga No.7, RT.04/RW.11","Buka","· Tutup pukul 22.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAF4NRghH5qmov6n6vdAkmq2ahZ69qaPHMqZCBdN9G9azifrkllIqWmJ--s7VKHqF6Fr8Qpy9GBXhqRVemegRviav7vLd6HsKHAJZAsj2WWMYYkTcSwXT9f8qSHPhWxXF2gK-8WdfA=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Nice ambience, nice food, nice hospitality.""","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTFoN2Nxdmw0YxgBOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=xKP4aZPyH_jNseMPzImEiQ8&ei=xKP4aZPyH_jNseMPzImEiQ8&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online","","",""
"https://www.google.com/maps/place/DAPOER+UNGU+DRL/data=!4m7!3m6!1s0x2e69c5be48b77701:0x1cfa8a15984f869a!8m2!3d-6.5625971!4d106.7323395!16s%2Fg%2F11v0dv287p!19sChIJAXe3SL7FaS4RmoZPmBWK-hw?authuser=0&hl=id&rclk=1","DAPOER UNGU DRL","5,0","(21)","·","Rp 1–25.000","Restoran","·","Kampus IPB Bogor, Jl. Raya Dramaga","Buka","· Tutup pukul 22.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFaq_P3CetusnN5tTLFEPgv_tKlHvg-OGdgZq-Cc6-AqBA9Y1o8GbuC0IvcLXyMFsCXlwGO5ySOfxrOnFVkRUfkVNTYQ7Rf1tpxivSeN5-Lj8WK6rlP5RGzmlgJLIzp_rbLpZdzSA=w204-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""mantap lahh pokoknya mah""","","","","",""
"https://www.google.com/maps/place/Pusat+Jajanan+IPB+I+Loji+Sindang+Barang+Bogor/data=!4m7!3m6!1s0x2e69c4ff0be1f6e3:0x387f117781954907!8m2!3d-6.5854108!4d106.7681995!16s%2Fg%2F11c2y432rj!19sChIJ4_bhC__EaS4RB0mVgXcRfzg?authuser=0&hl=id&rclk=1","Pusat Jajanan IPB I Loji Sindang Barang Bogor","4,4","(89)","","","Makanan Kecil","·","·","Segera tutup","· 21.00 · Buka Sel pukul 06.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAHFX5II1ZqykHQuMQd6UFHy_Qxv7ZAyCUDluMDlw8Z-JvdPaf9aGcJ1bn4nywuuEEwJChoocvulw7Co8ANgENj2yfGPC_dxknABUTvnAkJ4BDHcGpEo0FPMsYCl_i94bl_-ndw=w122-h92-k-no","","Makan di tempat","","","","Jl. Harmonis, RT.02/RW.04",""
"https://www.google.com/maps/place/Warung+Mamak/data=!4m7!3m6!1s0x2e69c4b76294bca3:0x83035f14f038132c!8m2!3d-6.5587795!4d106.7330803!16s%2Fg%2F11fylww0j2!19sChIJo7yUYrfEaS4RLBM48BRfA4M?authuser=0&hl=id&rclk=1","Warung Mamak","4,5","(309)","·","Rp 1–25.000","Ayam","·","·","Buka","· Tutup pukul 22.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFfbF6oLuvTudnRlNJVfJtZ3XwwmfGBVtW3t0V8eMhy2e8w1eWkVWVZxZrTNAvEwsB8Z03CSJbRESG5sE3bN-Cu2eCtZxScBp5LCyc9X5E8PRyislbQMA3yBuEmJ2Trwl1EMzI4=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Mayans, ayamnya berasa dihancurinnya sampe halus wkkwk.""","","","","Jl. Babakan Tengah No.29",""
"https://www.google.com/maps/place/RM.+Khas+Sunda+Ibu+Ubed/data=!4m7!3m6!1s0x2e69c4b83446f7ef:0xe1989d389ca8e38!8m2!3d-6.5634086!4d106.7251785!16s%2Fg%2F11bc7s594l!19sChIJ7_dGNLjEaS4ROI7KidOJGQ4?authuser=0&hl=id&rclk=1","RM. Khas Sunda Ibu Ubed","4,5","(113)","·","Rp 25–50 rb","Sunda","·","Jl. Raya Cibungbulang - Bogor No.137","Segera tutup","· 21.00 · Buka Sel pukul 09.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAGMg4V-qbYNbhJJFtKcr8W1LTA7sCQIJ_YlCNOOnwqq-eELT8UU5Im6zaExIin2AG3L8MoiAY8ubhhcAGLlJGDcGk-Fv8SPuCyxaGRTLfODnuNq8KipXZxnbDrxMiFh_vzZpHg4=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Mungkin ke depanny bisa dibuat papan menu beserta hargany.""","","","","",""
"https://www.google.com/maps/place/Restoran+Fatimah+Bogor/data=!4m7!3m6!1s0x2e69c4f2a983f63f:0x1682be6bb9a24096!8m2!3d-6.5683074!4d106.7587399!16s%2Fg%2F11f5dywb8c!19sChIJP_aDqfLEaS4RlkCiuWu-ghY?authuser=0&hl=id&rclk=1","Restoran Fatimah Bogor","4,6","(443)","·","Rp 25–50 rb","Indonesia","·","Jl. KH. R. Abdullah Bin Nuh No.23, RT.01/RW.01","Tutup","· Buka Sel pukul 09.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFloCVUM6zaNezyMya6ZTzs2RuaOpzZBv72iL6fsdOSEN-XY_ZLM93mrC-zAD4lsWF_F9O1mt3D7EM6H170Q9_xtADyxkLIy_M6lsqAVVLbTKtLARxGWO-8Z6kR-8QGGp6Mz6ew=w92-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""THE BEST BANGET","","","","",""
"https://www.google.com/maps/place/Kluwih+Sunda+Authentic/data=!4m7!3m6!1s0x2e69c5dc120272b5:0xa60f986acaaa4b3a!8m2!3d-6.6029521!4d106.8109593!16s%2Fg%2F11c6rj24zl!19sChIJtXICEtzFaS4ROkuqymqYD6Y?authuser=0&hl=id&rclk=1","Kluwih Sunda Authentic","4,4","(12.160)","·","$$","Sunda","·","·","Segera tutup","· 21.00 · Buka Sel pukul 11.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAGyS9a-2sRWFeOr3ulh2tGJJKKyvwTFAcdMPx2RVDr9FWW78vsckEEfjFZ8ZJEo8_EsCCkYUeMaIngidjx1BF_95FwOqC_sMBQoszQ0imMgMILB4dYdAjx2_k-56ydPGareK5x-=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Good food and good service.""","","","","Jl. Bina Marga No.12, RT.04/RW.11",""
"https://www.google.com/maps/place/Cyrano+Korean+Cafe/data=!4m7!3m6!1s0x2e69c5c2215880d1:0xeb706e36d0e3cac4!8m2!3d-6.6060121!4d106.8006501!16s%2Fg%2F11btww42nm!19sChIJ0YBYIcLFaS4RxMrj0DZucOs?authuser=0&hl=id&rclk=1","Cyrano Korean Cafe","4,5","(1.382)","·","Rp 25–50 rb","Korea","·","·","Tutup","· Buka Sel pukul 11.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAGzKJUyiFJaQXYZyshQRAzjOTY1iGe8oVESMF1QoTghORsc4qDVUIEvABpia7_5fMv9XBH50wz5p9o3DUJYcP5pojjmd8O1GlpEdpGA-lj_cgAx3hXNyk7AEsqcd4e0d-BgQFa_cA=w137-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Menu food ok, drink ok.""","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTFidHd3NDJubRgBOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=y6P4ae2mLsWMseMPj_3jwAI&ei=y6P4ae2mLsWMseMPj_3jwAI&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online","","Jl. Suryakencana No.126, RT.01/RW.02",""
"https://www.google.com/maps/place/Sate+Kambing+%26+Ayam+Bara+%28IPB%29/data=!4m7!3m6!1s0x2e69c4b1a9d26949:0xba25ef291615383b!8m2!3d-6.5611798!4d106.7317456!16s%2Fg%2F11cn6mkj8w!19sChIJSWnSqbHEaS4ROzgVFinvJbo?authuser=0&hl=id&rclk=1","Sate Kambing & Ayam Bara (IPB)","4,3","(25)","","","Sate","·","·","Buka","· Tutup pukul 23.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAEMNBOXiKBvWUbCB1DCki74IfulHW0Itg2HW7SzUV4Ytk6Ldgg09af8L2maZApqsKCsbH4g-s6K4OiXUIVUzzPB9i9CUXJ1Irz6RtxqhJ4ik_VAnR4Nyy9mE6AsN7iAL_9vFJvO=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Dan nyimpen nya ngga di freezer.""","","","","Jl. Babakan Raya Blok Bara 4 No.154",""
