"hfpxzc href","qBF1Pd","MW4etd","UY7F9","AJB7ye","AJB7ye 2","W4Efsd","W4Efsd 2","W4Efsd 3","W4Efsd 4","W4Efsd 5","FQ2IWe src","Jn12ke src","ah5Ghc","ah5Ghc 2","ah5Ghc 3","A1zNzb href","J8zHNe","bbPy1"
"https://www.google.com/maps/place/Mixue+Dramaga/data=!4m7!3m6!1s0x2e69c5cdd5ef41d3:0x76b247465325ff02!8m2!3d-6.5682927!4d106.7380361!16s%2Fg%2F11s8mry2jx!19sChIJ00Hv1c3FaS4RAv8lU0ZHsnY?authuser=0&hl=id&rclk=1","Mixue Dramaga","4,4","(377)","·","$$","Es Krim","·","Jalan Raya Dramaga Km.8, Ruko No.16","Buka","· Tutup pukul 23.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFL33rlmjO_OA0vW5uZFpsuIerJcDZ0tyGgA6UTlTP63cefh1VadtO_MLyOsd6GZKxF1Kj7O3rywplrEkeK2lftxwx_wOXKrjHWVHslz8HCVqCKqt3Sd093IV2TQ3wRlqbogAU1vg=w82-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""","Es","krimnya enak, pelayanannya cukup baik.""","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTFzOG1yeTJqeBgBOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=kaT4aabHK_yxwcsPjv6Q2Aw&ei=kaT4aabHK_yxwcsPjv6Q2Aw&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online",""
"https://www.google.com/maps/place/ICE+CREAM+BOGOR+%28Ice+cream+scoop+Bogor%29/data=!4m7!3m6!1s0x2e69c565fb7fb873:0xe295424fca627a82!8m2!3d-6.5816411!4d106.7268487!16s%2Fg%2F11zhln2f9l!19sChIJc7h_-2XFaS4Rgnpiyk9CleI?authuser=0&hl=id&rclk=1","ICE CREAM BOGOR (Ice cream scoop Bogor)","5,0","(2)","","","Es Krim","·","DelimaMountain View A2","","","https://lh3.googleusercontent.com/gps-cs-s/APNQkAF7HzlPIY8M7nwAA5XIzf3PZzsEOiu2_08qI-nnWBb6Tt0twcb0b0wEsKZb2hGmmLdQPQIfnlM9egXiEhPJwbhkKjqAO36OgDoNQamPc1JVFQOpne95Q3p48RTF1IsKbQOnesns5-LmauD-=w178-h92-k-no","","Bawa pulang","","","","",""
"https://www.google.com/maps/place/Ai-CHA+Ice+Cream+%26+Tea+X+Zhengda+-+Pandu+Raya/data=!4m7!3m6!1s0x2e69c527bac463c9:0xe3117ce13272b696!8m2!3d-6.5883625!4d106.8166547!16s%2Fg%2F11scqqx5wm!19sChIJyWPEuifFaS4RlrZyMuF8EeM?authuser=0&hl=id&rclk=1","Ai-CHA Ice Cream & Tea X Zhengda - Pandu Raya","4,6","(206)","","","Es Krim","·","Achmad Adnawijaya St No.147, Jl. Pandu Raya No.147, RT.03/RW.16","Buka","· Tutup pukul 22.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAEKHMb3zIJk5flMTJJDZxVaE36peA5vc-3gzMjOQi3QYBz4R-gGPH0FI4aUHlF3usvBrvOHnFFlbwP54wgPfUusegBprFedcZU0WwEv4o0hyIQdNw7W5-pZnwT33WE4a3zs4dZ2=w80-h106-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Layanannya nyaman","es krim","nya enak murah the bast""","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTFzY3FxeDV3bRgBOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=kaT4aabHK_yxwcsPjv6Q2Aw&ei=kaT4aabHK_yxwcsPjv6Q2Aw&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online",""
"https://www.google.com/maps/place/Espessia+Ice+Cream+IPB+Dramaga/data=!4m7!3m6!1s0x2e69c5ecbb7c780f:0x60ff3c1877cc2293!8m2!3d-6.5593905!4d106.7316748!16s%2Fg%2F11wjjlmzpq!19sChIJD3h8u-zFaS4RkyLMdxg8_2A?authuser=0&hl=id&rclk=1","Espessia Ice Cream IPB Dramaga","","","","","Es Krim","·","Jl. Babakan Raya","Tutup","· Buka Sel pukul 11.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAGLTVhdhToYZPlTyAm_pXXHt_53Wi3oijykR9yXnIFpwotadDpfLoHksdOMFaIrlK68NCsdLqbbKTgOQOece2dHrtfCJXZNwE78uCSj373vR2FmOE-0jvYku8kNU30dH-uV1nhM=w209-h92-k-no","","Bawa pulang","","","","",""
"https://www.google.com/maps/place/Ice+Cream+Baba+Arif+Ciapus/data=!4m7!3m6!1s0x2e69cf28be832e73:0xb57bfef8ef1c8284!8m2!3d-6.6405902!4d106.7776867!16s%2Fg%2F11pcnlq_b_!19sChIJcy6DvijPaS4RhIIc7_j-e7U?authuser=0&hl=id&rclk=1","Ice Cream Baba Arif Ciapus","5,0","(93)","","","Es Krim","·","Jl. Kp. Cimanglid","Tutup","· Buka Sel pukul 06.30","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFlpD0t-HRMJIUZ7jrX5vDurRKwhlh6Ty4hEGnwb4XvxfGRLaha_3HQ8kgxQkBLJd1oizE3Jt6cQ3GMk22UnST-3TKTi_g7gAO-i54kGp4xwT11EboqaM_t0eHoIM1AykkF8kyX6hVZ3Y6j=w80-h106-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""","Es","krimnya enak, murah anak2 suka sekali""","","",""
"https://www.google.com/maps/place/Momoyo+Cimahpar+Bogor/data=!4m7!3m6!1s0x2e69c74b9d7f6091:0x160034918254f730!8m2!3d-6.5892471!4d106.8265299!16s%2Fg%2F11vdfb505v!19sChIJkWB_nUvHaS4RMPdUgpE0ABY?authuser=0&hl=id&rclk=1","Momoyo Cimahpar Bogor","4,7","(727)","","","Es Krim","·","Jl. Tumenggung Wiradireja Ruko Perumahan Haji No.15, RT.04/RW.07","Buka","· Tutup pukul 22.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAHwT32sJ_imrMaru7gNUwDjenLIvuaD0LjBgKkiSpZ0i9Ww26wez1-AiBe2uilNglETapL_0HuBOAW-dQBYFfRuAuXragknvPVguM36mUDutL41CWSLnw4oDqrTupcTLLX-842bM_M3ZpBa=w80-h106-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Enak banget","es krim","'a,, murah lgi❤️""","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTF2ZGZiNTA1dhgBOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=kaT4aabHK_yxwcsPjv6Q2Aw&ei=kaT4aabHK_yxwcsPjv6Q2Aw&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online",""
"https://www.google.com/maps/place/Bingxue+Talang+Bogor+%28Parkir+Gratis%29/data=!4m7!3m6!1s0x2e69c5941a4388d9:0x698696ec353cd3cf!8m2!3d-6.5600625!4d106.8131875!16s%2Fg%2F11xtxjvs4x!19sChIJ2YhDGpTFaS4Rz9M8NeyWhmk?authuser=0&hl=id&rclk=1","Bingxue Talang Bogor (Parkir Gratis)","4,6","(70)","","","Es Krim","·","CRQ7+X78 Samping planet ban, Jl. Kedung Halang UTAMA No.21","Buka","· Tutup pukul 22.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAEVSXTfBs6xgpDiX1rdWU0SnYu46MEm0i4ShPI-D6BV3zSzlPiRonQQZOC2iVIelO3L7yyRPBDp_4IDRTFnTo0ytSgtf3__4IXuUa_9KIZapciM1Fb-rEJnwGozl9cKzf9XSRnE-IYQBos=w80-h142-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""","Es","krimnya enak petugasnya ramah""","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTF4dHhqdnM0eBgBOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=kaT4aabHK_yxwcsPjv6Q2Aw&ei=kaT4aabHK_yxwcsPjv6Q2Aw&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online",""
"https://www.google.com/maps/place/Agen+Resmi+Es+Cream+Aice/data=!4m7!3m6!1s0x2e69c572e472adb7:0x2731a59dc1959899!8m2!3d-6.6009818!4d106.787209!16s%2Fg%2F11nmh__68p!19sChIJt61y5HLFaS4RmZiVwZ2lMSc?authuser=0&hl=id&rclk=1","Agen Resmi Es Cream Aice","4,7","(45)","","","Es Krim","·","Jl. Taman Cibalagung gg zarina No.Rt 01 / 05, RT.04/RW.04","","","https://lh3.googleusercontent.com/gps-cs-s/APNQkAEmPKwm0tH1NMSDVGLxZU4sMSJ7voZOYjPnucvYZ9Le5i7PCN8qNeDUNRWzrOpTLm-UtB4EV9Gl1ivWggkMjhLoT_bjiJsX9krsrdQjenOKU1WTPKTI_aWQzkKwQ1pRyfvUxZIy=w163-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Buka g ya bucket yg 8lt 3 in 1 ad g?""","","","","",""
"https://www.google.com/maps/place/Cooler+City+Surya+Kencana/data=!4m7!3m6!1s0x2e69c5d600535fd9:0xe577011fa4ba9a32!8m2!3d-6.6103858!4d106.8052529!16s%2Fg%2F11kpvs6yfy!19sChIJ2V9TANbFaS4RMpq6pB8Bd-U?authuser=0&hl=id&rclk=1","Cooler City Surya Kencana","4,7","(34)","","","Es Krim","·","Jl. Suryakencana No.315, RT.03/RW.07","","","https://lh3.googleusercontent.com/gps-cs-s/APNQkAGK4naPFx8bFuoX-PP3yWTD-CmPUDWOPhnHL1w4XiySqgiH7YKWSfTEKBJfZTkMjmdD1XtKoDSJQU7kN2ag5fOf17q4-PKIi9KVvlMImITu8HiZh7JgUTED0QUA4qZ66I0Tt_Sy=w80-h177-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""untuk tempatnya cozy ditambah","es krim","matcha nya enak banget..""","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTFrcHZzNnlmeRgBOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=kaT4aabHK_yxwcsPjv6Q2Aw&ei=kaT4aabHK_yxwcsPjv6Q2Aw&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online",""
"https://www.google.com/maps/place/The+Uncle+Dee+Ice+Cream+Tajur/data=!4m7!3m6!1s0x2e69c8be64f91f09:0x4deaf2908a61804e!8m2!3d-6.6416295!4d106.8384719!16s%2Fg%2F11f3m9hhmg!19sChIJCR_5ZL7IaS4RToBhipDy6k0?authuser=0&hl=id&rclk=1","The Uncle Dee Ice Cream Tajur","4,6","(27)","·","$","Es Krim","·","Jl. Muara Tegal 1 No.12, RT.01/RW.01","Tutup","· Buka Sel pukul 10.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAEmz4EsGsubL6W9CpxUFh9LmncCM7FXgF8qx0RXvZUTz-RK9as5jFjuU3zRmRyBRBy_Qr4TnXP4mTZcV3LtM9FxOwAcoJbjEp_MwKovmcE0IriHd1utK_-gFWtGJ5JCbbSdiI_U=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""","Es krim","dengan pilihan banyak rasa, topping, dan pelengkap lainnya.""","","",""
