"hfpxzc href","qBF1Pd","MW4etd","UY7F9","AJB7ye","AJB7ye 2","W4Efsd","W4Efsd 2","doJOZc","W4Efsd 3","W4Efsd 4","W4Efsd 5","FQ2IWe src","Jn12ke src","ah5Ghc","A1zNzb href","J8zHNe","bbPy1","ah5Ghc 2","ah5Ghc 3","W4Efsd 7"
"https://www.google.com/maps/place/Kantin+Rimbawan/data=!4m7!3m6!1s0x2e69c4adc958bd63:0x70c7522f7ff701a9!8m2!3d-6.5565504!4d106.7283398!16s%2Fg%2F11fy9ft27z!19sChIJY71Yya3EaS4RqQH3fy9Sx3A?authuser=0&hl=id&rclk=1","Kantin Rimbawan","4,5","(66)","","","Kantin sekolah","·","","CPVH+98G","","Tutup","https://lh3.googleusercontent.com/gps-cs-s/APNQkAHmVE1Go5JAS0tkHJdXmUIkdp545AJa9O_28RN-oRjR3u6sVdNLcwyNmZ5Me5PLjs_pKxP07lRXkKQO5LmhjXxFXyezX3FP0fZYXy5RzlB9qioAR1ml1HI0h6w680qXIlfqcOH9=w153-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""favoritnya nasi ayam bakar tahu tempe, minumnya susu kelapa muda.""","","","","","","· Buka Sel pukul 08.00"
"https://www.google.com/maps/place/Warung+Blakblakan/data=!4m7!3m6!1s0x2e69c51d328b3e1b:0x74d2ad25706b9e44!8m2!3d-6.5532757!4d106.73051!16s%2Fg%2F11qh262skd!19sChIJGz6LMh3FaS4RRJ5rcCWt0nQ?authuser=0&hl=id&rclk=1","Warung Blakblakan","4,6","(74)","·","Rp 1–25.000","Makanan Siap Saji","·","","·","Jln Sengked","","https://lh3.googleusercontent.com/gps-cs-s/APNQkAHRV-HDqJjGezCd98uvbPaoRgdDZf_fnPcgmVrodruzOJ0oHrMLlzS8XPDOfggG28R_VYKWTx318IHY896g38NHpjPpimeDDME7AEUhWm9NQMWSQu12-yx7eXonxQtHpqWvUgB7=w80-h106-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""seblaknya enak pol, bisa req ga pedes, gaskeun datanggg""","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTFxaDI2MnNrZBgBOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=zKH4acKJCfG84-EPw8mZUA&ei=zKH4acKJCfG84-EPw8mZUA&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online","","","",""
"https://www.google.com/maps/place/RM.+Khas+Sunda+Ibu+Ubed/data=!4m7!3m6!1s0x2e69c4b83446f7ef:0xe1989d389ca8e38!8m2!3d-6.5634086!4d106.7251785!16s%2Fg%2F11bc7s594l!19sChIJ7_dGNLjEaS4ROI7KidOJGQ4?authuser=0&hl=id&rclk=1","RM. Khas Sunda Ibu Ubed","4,5","(113)","·","Rp 25–50 rb","Sunda","·","","Jl. Raya Cibungbulang - Bogor No.137","","Segera tutup","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFehwqi_aZgAaTgS24NOyfoL01qaRKmIXcHnhfuF2dM2TsiaFPVIDlie3eHPDrNw_Fxvx91P53_fbYtLa5utkTfXCKvi0Gw1eVktMwgXOgPxmA_2OzOKkhLy9HouNl_kcc_iso=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Harga ayam kampung 22k perpotong, sayur 5k per porsi.""","","","","","","· 21.00 · Buka Sel pukul 09.00"
"https://www.google.com/maps/place/McDonald%27s+Lodaya+Bogor/data=!4m7!3m6!1s0x2e69c422794c8ec7:0x262c7eea2e16fca2!8m2!3d-6.592374!4d106.8049378!16s%2Fg%2F1hd_2vdpf!19sChIJx45MeSLEaS4RovwWLup-LCY?authuser=0&hl=id&rclk=1","McDonald's Lodaya Bogor","4,6","(10.599)","·","Rp 25–50 rb","Makanan Siap Saji","·","","·","CR44+W4J, Jl. Raya Pajajaran No.21C, RT.03/RW.01","Buka 24 jam","https://lh3.googleusercontent.com/gps-cs-s/APNQkAHu3qMfnrGu2Kn6qzJGCzKIExilnoTosszOTI4_o6CT2D15UcI5OVPZBreIBsIfxPOu_sd6KrvXuQL4a0XsTv5mDe69PG6rhCjtYYbnHgKY_wIl63RbPQWM6VKxwUiBVT6PuuU=w163-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""ayamnya yg spicy enak banget dan nasi nya pun matang sempurna...""","https://www.google.com/searchviewer/42?cvd=CLw_EiYKJOICITIfEhgiFtLX29IPEAoML2cvMWhkXzJ2ZHBmGAE6AwjwDQ%3D%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=zKH4acKJCfG84-EPw8mZUA&ei=zKH4acKJCfG84-EPw8mZUA&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online","","","",""
"https://www.google.com/maps/place/Warkop+Tampomas/data=!4m7!3m6!1s0x2e69c4b1ae556999:0x97adb4c8ee84911!8m2!3d-6.5624094!4d106.7321466!16s%2Fg%2F11b7rttrjn!19sChIJmWlVrrHEaS4REUnojkzbegk?authuser=0&hl=id&rclk=1","Warkop Tampomas","4,6","(380)","·","Rp 1–25.000","Restoran","·","","·","CPQJ+2VJ, Jl. Babakan Raya","Buka 24 jam","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFHz96o6G07FGJb4w5RUHGmcLmg2lV04f4G7Nr3A1jFYxFBzrC5CLBaOetv3KyMKu2ETI4rtPJjuuYEoZV4vUm6eDCWRCKh4mzjeQd9zsBO1cC43_D0UDw0Dn8ma5H8NysK1LMa7A=w80-h160-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""","","","","Makanan","nya enak, pelayan nya ramah dan",""
"https://www.google.com/maps/place/D%27Sawah+Resort,+Resto+%26+Rekreasi/data=!4m7!3m6!1s0x2e69c53197df9f8f:0x659bae776b2c8cdd!8m2!3d-6.5513344!4d106.737015!16s%2Fg%2F11m49y1qyz!19sChIJj5_flzHFaS4R3Ywsa3eum2U?authuser=0&hl=id&rclk=1","D'Sawah Resort, Resto & Rekreasi","4,2","(3.744)","","","Sesuai untuk keluarga","·","","·","Situpanjang, Jl. Cilubang Mekar No.88, RT.003/RW.008","","https://lh3.googleusercontent.com/gps-cs-s/APNQkAGNE82MrFzFUejOWGersJj45IV0msZoA4gjjCwZIz3DJ8jdEC0A8Kts2RD4fQBwD_dMzDm8tYOUdYzSLekdJbctXkFqkDejACC3YHjKgGHXBqB_QJoHOsyBTfRPXb40sHk_HJSpVw7B6cs=w80-h106-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Tempat bagus banget,  untuk","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTFtNDl5MXF5ehgBOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=zKH4acKJCfG84-EPw8mZUA&ei=zKH4acKJCfG84-EPw8mZUA&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online","","makanan","enak, harga standart""",""
"https://www.google.com/maps/place/Kopicentrum+Gedung+Alumni+IPB/data=!4m7!3m6!1s0x2e69c5b00efb42f7:0x403fc07d6f34e60f!8m2!3d-6.602597!4d106.8060551!16s%2Fg%2F11t8lp3sqh!19sChIJ90L7DrDFaS4RD-Y0b33AP0A?authuser=0&hl=id&rclk=1","Kopicentrum Gedung Alumni IPB","4,5","(117)","·","Rp 25–50 rb","Kedai Kopi","·","","Jalan Padjajaran, Pabuaran, RT.04/RW.05","","Buka","https://lh3.googleusercontent.com/gps-cs-s/APNQkAH7j9ORSIxS-UdlwrbztwKlT-CT1cdnUf89I-i9Kz_3fzLbIgabrQA3Leu-zWg_J4zN3mKMq8BOOkZhuztEsDvUdSAt4bfyRRu3Lx-Of0nSkmO4acg0oN522nGn-IbrxePwdUxc=w80-h106-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Makanannya enak, dengan harga segitu worth it bangetlah""","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTF0OGxwM3NxaBgBOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=0qH4aemnLI6o4-EPrLHXuQw&ei=0qH4aemnLI6o4-EPrLHXuQw&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online","","","","· Tutup pukul 22.00"
"https://www.google.com/maps/place/Kantin+Seruni+Jaya/data=!4m7!3m6!1s0x2e69c4b1c4fed0af:0xe0687feb1f819e12!8m2!3d-6.5592503!4d106.7314721!16s%2Fg%2F11csqhvc1p!19sChIJr9D-xLHEaS4REp6BH-t_aOA?authuser=0&hl=id&rclk=1","Kantin Seruni Jaya","4,4","(17)","","","Rumah Makan","·","","Pertokoan Grawida, Jl. Babakan Raya No.110","","Tutup","https://lh3.googleusercontent.com/gps-cs-s/APNQkAH31gPm16QXzK-Zo2wY72Oq6oufML7F2fx3tL4VyjjnZ2FEGssUyeJBzXFHF7JtWx98Oo93nnvG-BM5sGBFOfQ_zg1c-s1EocRRI7WbDqov3iPW6o1LIwqoaLwuvsADOT95eAg=w80-h106-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Ambil sendiri makanannya, bayar setelah makan.""","","","","","","· Buka Sel pukul 07.00"
"https://www.google.com/maps/place/Mie+Gacoan+Bogor+-+Dramaga+raya/data=!4m7!3m6!1s0x2e69c5066c0ded01:0xedce207a98f16693!8m2!3d-6.5699324!4d106.7392578!16s%2Fg%2F11l3872pry!19sChIJAe0NbAbFaS4Rk2bxmHogzu0?authuser=0&hl=id&rclk=1","Mie Gacoan Bogor - Dramaga raya","4,7","(5.002)","·","Rp 1–25.000","Mi","·","","Jl. Nasional 11","","Buka 24 jam","https://lh3.googleusercontent.com/gps-cs-s/APNQkAGDyj7MkSrZQq1kDzxSPxjl3tnfqHLIwMHEmDjowVmLyStXdJMOF0sBpv7dmefBTX-wpRhcNBLLEgv1lwnxv1wZ9LPDqW9RAGphrjUnR1Om_tH3t3-MeN8W1tDeoQvZA-5Z0kQ7=w163-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""tempat nya bersih menu nya enak semua dan harga nya ramah di kantong""","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTFsMzg3MnByeRgBOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=0qH4aemnLI6o4-EPrLHXuQw&ei=0qH4aemnLI6o4-EPrLHXuQw&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online","","","",""
"https://www.google.com/maps/place/Kampus+IPB+Baranangsiang+Bogor/data=!4m7!3m6!1s0x2e69c5d02e09a9fd:0xa7c6a63e01ff3575!8m2!3d-6.5998298!4d106.8066536!16s%2Fg%2F11gbzcjtg2!19sChIJ_akJLtDFaS4RdTX_AT6mxqc?authuser=0&hl=id&rclk=1","Kampus IPB Baranangsiang Bogor","4,1","(67)","","","Universitas","·","","·","CR24+3M6, Jl. Malabar, RT.05/RW.02","Tutup","https://lh3.googleusercontent.com/gps-cs-s/APNQkAG4Fp4_4sGLH1SiNb6H_RfavG_FmUvzFXtz-YvDmZuPsejJ41Z0gse2htHM7gR8ipuT4H3vr328AkKg0GPBuHiyjcxzoTRLbOxJB8QFgisfBuOGZr45QM2kIkM5rQRUGpGHSyjh=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Kampus","","","","IPB","baranang siang bertetangga dengan Botani Square""","· Buka Sel pukul 08.00"
