"hfpxzc href","qBF1Pd","MW4etd","UY7F9","AJB7ye","AJB7ye 2","W4Efsd","W4Efsd 2","W4Efsd 3","W4Efsd 4","W4Efsd 5","FQ2IWe src","Jn12ke src","ah5Ghc","doJOZc","W4Efsd 6","A1zNzb href","J8zHNe","bbPy1"
"https://www.google.com/maps/place/IPB+Shop+Official/data=!4m7!3m6!1s0x2e69c5e6337aaf29:0x6f567a8acc8ee7d4!8m2!3d-6.559435!4d106.7313622!16s%2Fg%2F11l6hqrb71!19sChIJKa96M-bFaS4R1OeOzIp6Vm8?authuser=0&hl=id&rclk=1","IPB Shop Official","5,0","(5)","","","Pasar","·","Jl. Lkr. Dramaga","Tutup","· Buka Sel pukul 08.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAG5G7UQZ91xY9eLAyCoGkshlN7XBy4rTkBqRlw1_IFGdMD065wk7oh-oIZEFJKWz7KpsL7RlIn7zK2eeFn5dC69UroPxwgrpiMLTafmRYKCdYF40KradpKBKO8GgLp0Zrp3NHRa2XdOs-Bx=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Wah udh ada e-commerce nya 🥳🥳""","","","","",""
"https://www.google.com/maps/place/Mahataman+Coffee/data=!4m7!3m6!1s0x2e69c4ae7b198585:0x2bbc5b0dcc886d19!8m2!3d-6.5563685!4d106.7304073!16s%2Fg%2F11bz0wz4vx!19sChIJhYUZe67EaS4RGW2IzA1bvCs?authuser=0&hl=id&rclk=1","Mahataman Coffee","4,6","(202)","·","Rp 1–25.000","Kedai Kopi","·","·","Tutup","· Buka Sel pukul 08.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAHtfyB5u_qUCwDR9zToTDNBcpP6UF3AjEG19HabXH5rqLX6lXgUi3B8R7eG34GYzHWrBkcjx9IWV4AaaQFusQhFIibHZvDauXYpDE_Wejn0bUIlWsNY6uSIdl5AGVH3EDQYYHGzkw=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""kopinya enak, makanannya mantap""","","Jl. Ulin","","",""
"https://www.google.com/maps/place/Kedai+Steak+Nusantara+-+Bogor/data=!4m7!3m6!1s0x2e69c500384eea77:0xe821d5ee65b95608!8m2!3d-6.5705867!4d106.7560668!16s%2Fg%2F11x2hn0k8x!19sChIJd-pOOADFaS4RCFa5Ze7VIeg?authuser=0&hl=id&rclk=1","Kedai Steak Nusantara - Bogor","4,9","(1.232)","","","Restoran","·","Jl. KH. R. Abdullah Bin Nuh No.4, RT.07/RW.07","Segera tutup","· 21.30 · Buka Sel pukul 08.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAEZw5xDp9ZFYppib9u7TXPhMSxRvHhLiXTTiTbC-36sZ-f8XmwrWPpEabf9SI6xiIcw_VEE0YMsML9xFr7Xpnkm9yiunbZZRHsKxbDWw2M-U1jXE9K2HspeLxE4N-oOKkm-unML9JUgnmGf=w80-h106-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Suasananya enak buat kumpul, steaknya juga enak, harganya affordable""","","","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTF4MmhuMGs4eBgBOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=OqH4abWlCqSX4-EP-svi6Q8&ei=OqH4abWlCqSX4-EP-svi6Q8&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online",""
"https://www.google.com/maps/place/Cafe+Taman+Dramaga/data=!4m7!3m6!1s0x2e69c5e943360ca1:0x835e09ace959dc4e!8m2!3d-6.5698718!4d106.7391027!16s%2Fg%2F11qfn6mv_q!19sChIJoQw2Q-nFaS4RTtxZ6awJXoM?authuser=0&hl=id&rclk=1","Cafe Taman Dramaga","4,0","(193)","·","Rp 25–50 rb","Perpaduan","·","Jl. Raya Dramaga No.Km 7, RT.03/RW.1RT01","Buka","· Tutup pukul 23.30","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFLSdgZ9VC3HfmiRJrtWDJqhRhyg0u9YYrlz0R_OdwvVe-vzsUORm-v0wXal29D4xy7GBW1ZYbHbI-yaB_kuf6rtLkEQcgbSxNXf_S_pwg-kelR0oUAzKyZPAMLGdP_LRIXkhddNg=w163-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Buka bersama dengan teman kelompok sekalian bimbingan tugas.""","","","","",""
"https://www.google.com/maps/place/Botani+Mart+IPB/data=!4m7!3m6!1s0x2e69c54a9982a89f:0xcdaa3ccfc271f01d!8m2!3d-6.5647308!4d106.7350418!16s%2Fg%2F11c5_1pq_c!19sChIJn6iCmUrFaS4RHfBxws88qs0?authuser=0&hl=id&rclk=1","Botani Mart IPB","4,6","(1.055)","","","Pusat Perbelanjaan","·","CPPJ+VX8, Jl. Raya Dramaga","Tutup","· Buka Sel pukul 08.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFwL7QVGjqyVg0jaq61sfpuggMwO_99N-jo5TnNM62dbLGqj7yYZpbSSqwYULQFt7oRI5bP7MSdRqti9Emtv81J0GjCKZ_So4uFdD--bZjDwQnV410q_ZT3n9eLO6o48t4f3LM=w164-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Banyak pilihan tanaman, harga terjangkau, pelayanan bagus""","","","","",""
"https://www.google.com/maps/place/Kebun+Merdesa+-+Kopi+%26+Ruang+Kolaborasi/data=!4m7!3m6!1s0x2e69c3d6d38ba7c3:0xe53cc2a7af791e36!8m2!3d-6.5479379!4d106.7314771!16s%2Fg%2F11scc6qhdd!19sChIJw6eL09bDaS4RNh55r6fCPOU?authuser=0&hl=id&rclk=1","Kebun Merdesa - Kopi & Ruang Kolaborasi","4,8","(52)","·","Rp 25–50 rb","Kedai Kopi","·","FP2J+RHH, Jl. Carang Pulang","Buka","· Tutup pukul 23.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFoNOmeQ89tURZUVnUA-10qNudmrqqulMEY_VXB7vzon14To5MJJKnNFDU3nzT_gO_zBTxpEV0NlkQ3RrO59cpQsKsqmV0OqKeGBlR5CAag-u3tYDY8A3GLhgSVLeOyhxvqTiQe=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Rekomen banget mie nyemek sama menu nasi goreng/ayam bakarnya.""","","","","",""
"https://www.google.com/maps/place/Kedai+Sapa+Remaja/data=!4m7!3m6!1s0x2e69c5729d8aa499:0x1c78ac62e895c3e5!8m2!3d-6.5910777!4d106.7867858!16s%2Fg%2F11jrqjl94d!19sChIJmaSKnXLFaS4R5cOV6GKseBw?authuser=0&hl=id&rclk=1","Kedai Sapa Remaja","4,9","(66)","·","Rp 25–50 rb","Kedai Kopi","·","Jl. DR. Sumeru No.12, RT.03/RW.04","Buka","· Tutup pukul 23.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAHKkWUI3ihbuGVwFaJIuhylJDPEjcDv8fN6B67tm4kxVoTkjV6LaoUwDlAkIXHfbj_XDuZwJu3RAc8sw-uP_Xq-4Py0G1K-H4pLUwuaLIBtgawtco5rLSC9oUKhwssJQX1chUmL=w163-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Apalagi cireng ayam nya rekomended sama harga2 minuman nya worth it lah.""","","","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTFqcnFqbDk0ZBgBOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=OqH4abWlCqSX4-EP-svi6Q8&ei=OqH4abWlCqSX4-EP-svi6Q8&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online",""
"https://www.google.com/maps/place/Foodies+Corner/data=!4m7!3m6!1s0x2e69c5001e507cf3:0x2985897939db9219!8m2!3d-6.5589467!4d106.7344439!16s%2Fg%2F11w3l3lfxc!19sChIJ83xQHgDFaS4RGZLbOXmJhSk?authuser=0&hl=id&rclk=1","Foodies Corner","4,6","(39)","·","Rp 1–25.000","Restoran","·","Kampus IPB, Jl. Babakan Tengah No.103-111","Tutup","· Buka Sel pukul 11.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAGDirVvqOiGRVw8-ePHlHdfHXPqrJPgq8yKyEfSSsbXwgtu11nXCrB_MJoWC66kKlNrvO6L3Ui3rglJ3sQhNoU-7vUp6Bwo-IurFHqWmraxL3vQyP3PFlcIYIaf2itndFjokf4=w80-h106-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Seblaknya enak harga per topingnya murah², sumpah recommend bgt sii""","","","","",""
"https://www.google.com/maps/place/Warung+PANGLARIS/data=!4m7!3m6!1s0x2e69c575215f101f:0x8e0724082fb58ac9!8m2!3d-6.5891891!4d106.8088603!16s%2Fg%2F11vxy42ps4!19sChIJHxBfIXXFaS4RyYq1LwgkB44?authuser=0&hl=id&rclk=1","Warung PANGLARIS","5,0","(65)","·","Rp 1–25.000","Kedai Kopi","·","Jl. Lodaya II No.6, RT.02/RW.02","Buka","· Tutup pukul 23.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFvzu4y7IDmsV7qmq707z5Y1Yl0_fa3Bohp70e7BMf7d4aKDsErBztwjQiPs5KF-4SFBxhXZ2gRP92OaFqU9FxccogBJq9yRC54cvCTNTLNT4bXle_69Bd4eIhLyFnlUqIy9jqTZA=w80-h106-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Makanannya enak tchuy, abang abangny jg enak diajak ngobrol""","","","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTF2eHk0MnBzNBgAOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=OqH4abWlCqSX4-EP-svi6Q8&ei=OqH4abWlCqSX4-EP-svi6Q8&fo_s=OA&opi=79508299&ebb=1&cs=0&foub=mcpp","Pesan online",""
"https://www.google.com/maps/place/Kedai+Kita+Babakan+Sari+V/data=!4m7!3m6!1s0x2e69c42cb18b2a3b:0x4a882b670c5d4060!8m2!3d-6.5863499!4d106.8111096!16s%2Fg%2F11d_ylk25k!19sChIJOyqLsSzEaS4RYEBdDGcriEo?authuser=0&hl=id&rclk=1","Kedai Kita Babakan Sari V","4,6","(29)","","","Kafe","·","CR76+FC9, RT.05/RW.02","Tutup","· Buka Sel pukul 05.00","https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=ROKf1yiltq2v9Oymrde2cw&cb_client=search.gws-prod.gps&w=80&h=92&yaw=221.92957&pitch=0&thumbfov=100","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Makan enakkk""","","","","",""
