"hfpxzc href","qBF1Pd","MW4etd","UY7F9","AJB7ye","AJB7ye 2","W4Efsd","W4Efsd 2","W4Efsd 3","W4Efsd 4","W4Efsd 5","FQ2IWe src","Jn12ke src","ah5Ghc","A1zNzb href","J8zHNe","bbPy1","doJOZc","W4Efsd 6"
"https://www.google.com/maps/place/Agreya+Coffee+Bogor/data=!4m7!3m6!1s0x2e69c5cf6fe1be11:0xe627bc0163f8be31!8m2!3d-6.5924597!4d106.816228!16s%2Fg%2F11tgd4hmx3!19sChIJEb7hb8_FaS4RMb74YwG8J-Y?authuser=0&hl=id&rclk=1","Agreya Coffee Bogor","4,8","(4.435)","·","$$","Restoran","·","Jl. Kol. Enjo Martadisastra Jl. Kol. Ahmad Syam No.45 E, RT.04/RW.10","Buka","· Tutup pukul 01.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFanOUGn4iyk3UJt05qEH91feVf2zj_8eCgEcH1-zS_atUl2PisAJ8hNocE2c61N5TiAzUgztxcRnNNHzP4mPiSfTaYu5u7-SnV9ssOo3sDYSi_E-aDrHPKctg3TtVEgPP0LWNv=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""makanannya dan kopinya mantap mantap, tempatnya cozy, servicenya 10/10🫶🏻""","","","","",""
"https://www.google.com/maps/place/IMAH+NINI+COFFEE+%26+VINTAGE/data=!4m7!3m6!1s0x2e69c5d209c29499:0x1ab9677449ae78a6!8m2!3d-6.590997!4d106.806387!16s%2Fg%2F11cjj7kfvy!19sChIJmZTCCdLFaS4RpniuSXRnuRo?authuser=0&hl=id&rclk=1","IMAH NINI COFFEE & VINTAGE","4,5","(1.095)","·","Rp 50–75 rb","Kafe","·","Jl. Sancang No.7, RT.02/RW.06","Buka","· Tutup pukul 22.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAG7RT5JGPex5ZYEkrCJY-blW1uuO2cO3KOyJno9-5wJgNsLlnQURdt3kihIV5i4FmfbWpPkTFpeEWzCprV6e44g_XSQGvmn71VSTTkPhjBP5r6_sssvh9zYuMY-fu7ULRT6U2xG=w138-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Pizza meat loversnya enak, wifinya kenceng sama kopinya terjangkau.""","","","","",""
"https://www.google.com/maps/place/Circuloo+Coffee+%26+Cat/data=!4m7!3m6!1s0x2e69c51897442657:0xcacecbaf5b681d1b!8m2!3d-6.5737157!4d106.7966119!16s%2Fg%2F11smv70nv6!19sChIJVyZElxjFaS4RGx1oW6_Lzso?authuser=0&hl=id&rclk=1","Circuloo Coffee & Cat","4,8","(1.580)","·","Rp 25–50 rb","Kedai Kopi","·","Jl. Pemuda No.24, RT.04/RW.02","Buka","· Tutup pukul 22.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAEZ56kISnEAHqh4rZcub5mk1dgNB4jD85xpExwcmzOvuShL7rm-ituyPdgqfow9-0yZdVYcmFl-XenF51ESURH-rcA1IjGl9RNfUOVGvMuLHda6HmRD5wJGYAKiJqX19J0--qEM=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Aesthetic caffe, enak banget buat nongki sambil ngeejain tugas""","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTFzbXY3MG52NhgBOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=eaD4aZbLD77RwcsPwMai8Q4&ei=eaD4aZbLD77RwcsPwMai8Q4&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online","","",""
"https://www.google.com/maps/place/Crove+coffee/data=!4m7!3m6!1s0x2e69c7004f990571:0xae392b0a6e245bf2!8m2!3d-6.6080662!4d106.8191664!16s%2Fg%2F11vp_4yt5f!19sChIJcQWZTwDHaS4R8lskbgorOa4?authuser=0&hl=id&rclk=1","Crove coffee","4,8","(379)","·","Rp 50–75 rb","Kedai Kopi","·","·","Buka","· Tutup pukul 22.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAHbleb0QLqm_rtNwZtjkxtnD1xkjR7H74i-DYNRpZJDEWIYTzhBLD5_Zjco-1HLbapWItA8qgVPn6KGgx1r_6rB5r0-DzGbx5iInUBainJ6B39iyg5SQfhLVE0nMiHWwNjYOmsKZnhd1Vh9=w163-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Minuman nyoba matcha latte, aman & sesuai standar matcha latte.""","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTF2cF80eXQ1ZhgBOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=eaD4aZbLD77RwcsPwMai8Q4&ei=eaD4aZbLD77RwcsPwMai8Q4&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online","","","Jln Kol H Achmad Syam No.003/014, RT.03/RW.14"
"https://www.google.com/maps/place/Warung+Kopi+Nako/data=!4m7!3m6!1s0x2e69c5e0d8cfb4c7:0x9207fc3f0a71eea6!8m2!3d-6.6096108!4d106.8130039!16s%2Fg%2F11ggr7q8tc!19sChIJx7TP2ODFaS4Rpu5xCj_8B5I?authuser=0&hl=id&rclk=1","Warung Kopi Nako","4,6","(8.556)","·","Rp 25–50 rb","Kedai Kopi","·","·","Buka","· Tutup pukul 00.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAGJsq4AnXevIClKu73UwEmf0NtaRVRnlk7UxJquDtn-24Zf0olTFGS6VcJ7GJamq25WiG8UMcXv-ov24Xs7sBx1N7GbQZbESCFX3SITWjWlGN8amBVPop9lKEOs-X83KcXEZvaS=w149-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Tempatnya bersih dan nyaman banget, rasa kopinya juga ciri khas top👍""","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTFnZ3I3cTh0YxgAOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=eaD4aZbLD77RwcsPwMai8Q4&ei=eaD4aZbLD77RwcsPwMai8Q4&fo_s=OA&opi=79508299&ebb=1&cs=0&foub=mcpp","Pesan online","","","Jl. Pajajaran Indah V No.7, RT.01/RW.11"
"https://www.google.com/maps/place/et+al+coffee/data=!4m7!3m6!1s0x2e69c5d2fef90deb:0xb54bb7bac8447e53!8m2!3d-6.5721018!4d106.7982632!16s%2Fg%2F11h41875kp!19sChIJ6w35_tLFaS4RU35EyLq3S7U?authuser=0&hl=id&rclk=1","et al coffee","4,8","(1.721)","·","Rp 25–50 rb","Kedai Kopi","·","Jl. Waliwis No.7, RT.02/RW.06","Buka","· Tutup pukul 22.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAEqW-3jYz6sUB_W_I0OT8hY9E-fc-jr2rmbpFmnso7B35dhta7wm0gD8v7P3X-O7XCYFT4rbTGvUiD944tCgCM_cH8ifEWlQjAe3LKbesypw6XQtGsgJPyBKfO4QIumwUAuMJEB=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""comfy banget untuk ngobrol, ambience, dan","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTFoNDE4NzVrcBgBOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=eaD4aZbLD77RwcsPwMai8Q4&ei=eaD4aZbLD77RwcsPwMai8Q4&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online","","",""
"https://www.google.com/maps/place/KOBA+Coffee.id/data=!4m7!3m6!1s0x2e69c51e4b6fde1b:0x61ded53eead48692!8m2!3d-6.6007363!4d106.7922251!16s%2Fg%2F11hzsldwlp!19sChIJG95vSx7FaS4RkobU6j7V3mE?authuser=0&hl=id&rclk=1","KOBA Coffee.id","4,6","(1.257)","·","Rp 50–75 rb","Kedai Kopi","·","·","Buka","· Tutup pukul 22.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFFJgQFDuxIBffMqYm1Lecg82V61bgvKndTZk7x8XPMIUDgmp8Xz2hUyJa4qeb30DV5BS8bbR-hEc0WDD9MrIw4tanxHFgd9VNKmrTnDP6-gjyPDD8wV5ACFGb6IbGVqF7qXBw4=w80-h106-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""tempatnya enak, kopi dan makannya enak banget 😊""","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTFoenNsZHdscBgAOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=eaD4aZbLD77RwcsPwMai8Q4&ei=eaD4aZbLD77RwcsPwMai8Q4&fo_s=OA&opi=79508299&ebb=1&cs=0&foub=mcpp","Pesan online","","","Jl. Paledang No.41, RT.01/RW.02"
"https://www.google.com/maps/place/Two+Stories+Resto+%26+Lounge+-+Bogor+Selatan/data=!4m7!3m6!1s0x2e69c5e0dbd120ed:0xb53786d0ad760802!8m2!3d-6.6180993!4d106.8344606!16s%2Fg%2F11b7y791r_!19sChIJ7SDR2-DFaS4RAgh2rdCGN7U?authuser=0&hl=id&rclk=1","Two Stories Resto & Lounge - Bogor Selatan","4,5","(4.987)","·","$$","Restoran","·","Jl. Sukaraja - Katulampa","Buka","· Tutup pukul 02.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAGKSrzkbVCmezXxkWCcO0osq7ZOGofCcq_KiaWasaHgeTZWW9NHzPM_XQOzrPsAYWbsX-5x1gy1vk6EZtC3WK_BuMrwrQUmh8yz7zsp6DBkkrgvLBLR5CmoaQZMMuA-6i2VtI8=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Minumnya matcha latte, dessertnya pesen kitkat blanket.""","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTFiN3k3OTFyXxgAOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=eaD4aZbLD77RwcsPwMai8Q4&ei=eaD4aZbLD77RwcsPwMai8Q4&fo_s=OA&opi=79508299&ebb=1&cs=0&foub=mcpp","Pesan online","","","Resto, pencuci mulut & makanan global"
"https://www.google.com/maps/place/Tsuin+Bogor+Raya+at+Padi+Space/data=!4m7!3m6!1s0x2e69c594b227714d:0x4986dff7cbbf2445!8m2!3d-6.5976351!4d106.8189419!16s%2Fg%2F11qq3kfmf5!19sChIJTXEnspTFaS4RRSS_y_ffhkk?authuser=0&hl=id&rclk=1","Tsuin Bogor Raya at Padi Space","4,7","(526)","·","Rp 50–75 rb","Kafe","·","Jl. Kp. Sawah No.2, RT.01/RW.07","Buka","· Tutup pukul 23.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAEUyzPX9yKUnbXoOC4MmVT_E04gW-P2AVDYfBCAEAkknuIsbhgWhE-sqoFXJwEln_bdmke1o7xa0PLo15Jr2gRT9hCZJbQs4QSomW20mjVCYjcmj-Eev_Yd_02wjoHMaNKg012b3fkAeny1=w80-h106-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Saya coba hot cappuccino dan iced chocolate, lumayan enak.""","","","","",""
"https://www.google.com/maps/place/HATI+COFFEE+AND+KITCHEN,+BOGOR/data=!4m7!3m6!1s0x2e69c53592b66e7b:0x1de05765bcda743f!8m2!3d-6.5738467!4d106.8175206!16s%2Fg%2F11wqh04zp_!19sChIJe262kjXFaS4RP3TavGVX4B0?authuser=0&hl=id&rclk=1","HATI COFFEE AND KITCHEN, BOGOR","4,9","(1.205)","·","Rp 25–50 rb","Kafe","·","Jl. Achmad Adnawijaya No.4, RT.04/RW.13","Buka","· Tutup pukul 00.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAG3_UgY_Wo5RH8UYmw7bFxq3PyPTzLcY1R6wo_yjqP6vzz810_dcFE5lS4l_WEF8rIDl6kxttGxoHl2gPZL74zEKeZqWfzIFoN8fLOp6d-KLQBnt8Q2wcYO5j3D4KVUHPIofSbK=w80-h141-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Tempatnya adem, WiFi-nya kenceng, kopi dan makanannya enak.""","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTF3cWgwNHpwXxgBOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=eaD4aZbLD77RwcsPwMai8Q4&ei=eaD4aZbLD77RwcsPwMai8Q4&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online","","",""
